Date,Open,High,Low,Close,Volume
08/11/2021,"9.95","9.96","9.95","9.96","757"
08/05/2021,"9.96","10.03","9.95","10.03","2,514"
08/03/2021,"9.96","9.96","9.96","9.96","1,150"
07/29/2021,"9.97","9.97","9.96","9.96","2,355"
07/28/2021,"9.96","10.00","9.96","10.00","1,800"
07/27/2021,"9.97","9.97","9.97","9.97","200"
07/22/2021,"9.96","10.00","9.96","10.00","11,363"
07/21/2021,"9.96","9.96","9.96","9.96","9,853"
07/08/2021,"10.01","10.01","10.00","10.00","11,153"
07/07/2021,"10.02","10.02","10.02","10.02","99"
07/06/2021,"9.96","10.02","9.96","10.02","15,657"
07/02/2021,"10.00","10.00","10.00","10.00","258"
07/01/2021,"10.04","10.04","10.00","10.00","4,151"
06/30/2021,"10.04","10.04","10.00","10.02","17,506"
06/29/2021,"10.00","10.00","10.00","10.00","6,676"
06/28/2021,"10.01","10.01","10.01","10.01","2,012"
06/25/2021,"10.03","10.03","10.01","10.01","14,955"
06/24/2021,"10.03","10.03","10.03","10.03","63"
06/23/2021,"10.03","10.03","10.03","10.03","2,537"
06/22/2021,"10.03","10.04","10.01","10.02","49,814"
06/21/2021,"10.02","10.02","10.02","10.02","807"
06/18/2021,"10.01","10.01","10.01","10.01","318"
06/17/2021,"9.97","10.01","9.95","10.01","1,902"
06/16/2021,"10.03","10.03","10.03","10.03","473"
06/15/2021,"10.00","10.01","10.00","10.01","1,594"
06/14/2021,"10.00","10.00","10.00","10.00","506"
06/11/2021,"10.20","10.23","10.06","10.23","15,033"
06/10/2021,"10.01","10.02","10.01","10.02","1,196"
06/09/2021,"10.00","10.00","10.00","10.00","1,028"
06/08/2021,"10.00","10.03","10.00","10.03","3,038"
06/07/2021,"9.95","10.05","9.95","10.04","10,643"
06/04/2021,"10.05","10.05","10.05","10.05","10"
06/03/2021,"10.05","10.05","10.01","10.05","3,502"
06/02/2021,"9.99","9.99","9.98","9.98","392"
06/01/2021,"10.00","10.15","10.00","10.15","71,910"
05/28/2021,"10.01","10.01","10.00","10.00","909"
05/27/2021,"10.02","10.05","9.98","10.02","5,093"
05/26/2021,"10.02","10.05","9.95","10.05","8,601"
05/25/2021,"9.98","9.98","9.96","9.96","1,323"
05/24/2021,"9.98","10.00","9.98","9.98","1,239"
05/21/2021,"9.96","9.99","9.96","9.99","10,248"
05/20/2021,"9.98","9.99","9.98","9.99","2,127"
05/19/2021,"9.95","9.99","9.95","9.98","3,511"
05/18/2021,"10.00","10.02","10.00","10.01","4,060"
05/17/2021,"10.01","10.10","10.00","10.00","33,052"
05/14/2021,"10.01","10.02","9.96","10.00","10,263"
05/13/2021,"9.95","10.02","9.95","10.02","12,850"
05/12/2021,"10.00","10.00","9.98","9.99","10,487"
05/11/2021,"9.99","10.02","9.90","10.00","2,803"
05/10/2021,"10.01","10.01","10.00","10.00","4,852"
05/07/2021,"10.00","10.00","10.00","10.00","53"
05/06/2021,"10.03","10.03","10.00","10.00","6,009"
05/05/2021,"10.05","10.05","10.02","10.02","10,419"
05/04/2021,"10.05","10.05","10.00","10.00","2,996"
05/03/2021,"10.00","10.01","10.00","10.01","17,837"
04/30/2021,"10.01","10.04","10.01","10.04","12,582"
04/29/2021,"10.00","10.05","10.00","10.03","160,994"
04/28/2021,"10.00","10.01","10.00","10.01","370"
04/27/2021,"9.95","10.02","9.95","10.02","7,890"
04/26/2021,"9.96","10.00","9.96","10.00","2,851"
04/23/2021,"10.00","10.00","10.00","10.00","331"
04/22/2021,"9.99","10.02","9.97","10.02","140,649"
04/21/2021,"10.00","10.05","10.00","10.05","10,562"
04/20/2021,"10.00","10.01","10.00","10.01","9,211"
04/19/2021,"10.03","10.03","10.00","10.00","6,192"
04/16/2021,"10.04","10.04","10.00","10.03","25,807"
04/15/2021,"9.97","10.01","9.97","9.99","20,812"
04/14/2021,"10.01","10.05","9.97","9.97","259,183"
04/13/2021,"10.00","10.05","10.00","10.01","51,452"
04/12/2021,"10.00","10.02","10.00","10.00","33,771"
04/09/2021,"10.00","10.06","10.00","10.00","99,980"
04/08/2021,"10.01","10.03","10.00","10.02","231,499"
04/07/2021,"10.00","10.17","10.00","10.00","2,755,851"
