Date,Open,High,Low,Close,Volume
08/11/2021,"65.29","66.07","63.39","64.51","1,774,965"
08/10/2021,"65.00","65.46","63.86","64.83","1,706,030"
08/09/2021,"63.00","64.69","62.21","64.50","1,427,260"
08/06/2021,"64.05","64.50","62.44","63.06","1,731,429"
08/05/2021,"63.93","65.39","63.38","64.59","3,854,966"
08/04/2021,"60.37","62.00","60.25","62.00","2,707,360"
08/03/2021,"60.00","60.71","59.21","60.55","1,517,110"
08/02/2021,"61.98","62.00","59.17","59.67","3,850,031"
07/30/2021,"62.70","64.37","61.90","62.56","1,862,005"
07/29/2021,"62.72","63.79","62.20","63.05","2,196,537"
07/28/2021,"60.01","63.21","59.80","63.06","2,294,382"
07/27/2021,"62.10","62.68","58.46","59.83","3,171,844"
07/26/2021,"62.98","63.57","60.76","62.39","2,029,221"
07/23/2021,"63.24","63.78","61.63","63.69","1,501,573"
07/22/2021,"63.00","63.58","61.25","62.25","1,533,362"
07/21/2021,"62.35","62.98","61.40","62.80","2,346,339"
07/20/2021,"60.80","62.69","59.55","62.28","1,841,386"
07/19/2021,"58.00","60.48","57.01","60.17","2,224,822"
07/16/2021,"60.00","60.66","58.89","59.36","2,507,142"
07/15/2021,"62.15","62.86","58.23","59.58","4,543,883"
07/14/2021,"64.79","65.14","61.82","61.99","3,545,063"
07/13/2021,"66.20","66.50","64.36","64.36","2,353,905"
07/12/2021,"66.21","67.09","64.11","66.40","3,536,956"
07/09/2021,"68.41","69.60","67.09","68.49","2,374,350"
07/08/2021,"64.00","68.50","63.65","68.38","3,806,949"
07/07/2021,"65.41","67.55","64.88","66.61","2,532,275"
07/06/2021,"66.65","66.79","63.86","64.75","3,322,877"
07/02/2021,"67.38","68.13","66.55","66.55","1,512,602"
07/01/2021,"67.99","68.40","66.18","67.38","3,229,734"
06/30/2021,"69.02","69.08","67.68","67.93","3,116,479"
06/29/2021,"70.51","70.51","66.00","68.90","7,943,386"
06/28/2021,"69.78","72.90","69.38","71.28","7,147,206"
06/25/2021,"69.05","69.77","68.16","69.77","2,773,107"
06/24/2021,"69.50","69.85","68.07","69.05","2,191,491"
06/23/2021,"68.70","69.89","67.25","69.25","3,643,276"
06/22/2021,"69.00","70.19","69.00","69.85","3,710,622"
06/21/2021,"69.51","69.63","67.40","69.32","1,746,055"
06/18/2021,"69.70","70.40","69.08","69.75","3,175,374"
06/17/2021,"68.50","70.92","68.10","70.00","3,834,952"
06/16/2021,"69.00","70.00","67.80","69.77","4,769,896"
06/15/2021,"69.51","72.40","69.37","70.00","4,126,444"
06/14/2021,"71.98","72.03","68.91","69.80","3,666,521"
06/11/2021,"73.39","73.50","70.52","71.50","3,487,932"
06/10/2021,"67.75","74.10","67.00","74.03","11,847,130"
06/09/2021,"69.89","74.94","68.63","68.71","7,334,658"
06/08/2021,"75.20","77.36","72.90","76.00","3,033,833"
06/07/2021,"76.75","77.01","70.63","73.88","2,469,832"
06/04/2021,"75.00","79.26","73.80","75.75","1,828,911"
06/03/2021,"79.80","79.99","73.52","73.52","1,571,900"
06/02/2021,"80.02","82.30","77.76","81.00","881,967"
06/01/2021,"80.73","83.11","77.54","80.81","1,019,989"
05/28/2021,"84.99","90.00","78.56","79.82","2,344,785"
05/27/2021,"85.49","88.42","82.21","83.54","1,828,986"
05/26/2021,"84.19","86.00","82.67","85.00","1,173,809"
05/25/2021,"85.50","87.81","80.22","84.00","1,790,008"
05/24/2021,"80.40","88.62","79.91","85.12","2,852,859"
05/21/2021,"77.07","83.99","76.84","78.75","2,107,257"
05/20/2021,"74.00","78.86","74.00","75.40","1,282,875"
05/19/2021,"71.00","75.06","70.99","72.46","1,381,165"
05/18/2021,"68.40","74.65","67.82","73.26","2,029,663"
05/17/2021,"67.99","70.77","65.20","68.00","1,542,165"
05/14/2021,"68.51","71.23","67.48","70.48","1,543,400"
05/13/2021,"71.76","72.59","64.27","66.42","4,605,783"
05/12/2021,"71.61","74.56","70.25","71.76","3,071,109"
05/11/2021,"62.28","77.25","61.50","74.81","5,735,793"
05/10/2021,"68.60","68.90","62.01","65.40","3,230,956"
05/07/2021,"69.29","71.94","68.31","69.02","1,797,504"
05/06/2021,"70.07","70.49","65.56","69.29","2,125,286"
05/05/2021,"74.44","75.84","70.12","70.87","1,159,233"
05/04/2021,"70.32","76.58","69.25","73.98","2,600,317"
05/03/2021,"72.33","73.00","67.75","70.93","2,526,201"
04/30/2021,"73.38","74.50","71.66","72.00","1,230,048"
04/29/2021,"76.37","76.98","70.11","75.29","1,901,542"
04/28/2021,"76.58","77.89","75.41","75.41","811,964"
04/27/2021,"82.40","83.40","75.10","75.37","2,721,944"
04/26/2021,"76.15","82.44","75.70","80.81","3,557,344"
04/23/2021,"76.58","77.40","72.57","74.84","3,099,535"
04/22/2021,"73.20","80.00","71.03","75.50","13,263,830"
04/21/2021,"65.50","70.74","64.84","69.00","23,791,561"
