Date,Open,High,Low,Close,Volume
08/30/2021,"16.35","16.35","16.05","16.19","92,102"
08/27/2021,"16.07","16.28","16.00","16.25","122,615"
08/26/2021,"16.07","16.54","16.00","16.05","105,768"
08/25/2021,"16.17","16.19","15.97","16.04","96,772"
08/24/2021,"15.77","16.15","15.77","16.02","320,131"
08/23/2021,"15.91","15.95","15.48","15.68","285,627"
08/20/2021,"16.21","16.42","15.76","15.89","346,035"
08/19/2021,"16.08","16.44","15.40","16.35","855,127"
08/18/2021,"15.59","15.72","15.35","15.35","219,991"
08/17/2021,"15.66","15.93","15.46","15.60","124,768"
08/16/2021,"15.93","16.10","15.58","15.90","92,086"
08/13/2021,"16.25","16.39","16.05","16.22","54,900"
08/12/2021,"16.04","16.26","15.87","16.24","58,388"
08/11/2021,"16.11","16.36","16.06","16.06","100,096"
08/10/2021,"16.25","16.38","16.07","16.10","42,765"
08/09/2021,"16.11","16.41","15.90","16.10","217,377"
08/06/2021,"15.49","16.42","15.49","16.05","228,089"
08/05/2021,"15.60","15.78","15.25","15.45","363,750"
08/04/2021,"15.50","15.79","15.43","15.54","414,437"
08/03/2021,"15.70","15.88","15.41","15.50","139,089"
08/02/2021,"15.72","16.02","15.51","15.67","146,843"
07/30/2021,"15.53","16.06","15.53","15.65","145,643"
07/29/2021,"15.78","16.06","15.56","15.63","71,674"
07/28/2021,"15.76","16.11","15.61","15.68","67,460"
07/27/2021,"15.57","15.84","15.50","15.64","136,875"
07/26/2021,"15.78","16.69","15.58","15.64","96,235"
07/23/2021,"15.93","15.93","15.76","15.83","145,400"
07/22/2021,"16.15","16.30","15.72","15.81","95,979"
07/21/2021,"15.77","16.38","15.65","16.14","256,301"
07/20/2021,"15.58","15.83","15.30","15.70","140,366"
07/19/2021,"15.55","16.12","15.39","15.49","133,918"
07/16/2021,"15.82","16.28","15.75","15.79","105,909"
07/15/2021,"15.68","16.02","15.68","15.77","138,133"
07/14/2021,"16.04","16.05","15.79","15.82","209,516"
07/13/2021,"16.00","16.09","15.83","16.00","173,830"
07/12/2021,"15.82","16.19","15.82","16.00","121,601"
07/09/2021,"16.00","16.00","15.59","15.82","104,647"
07/08/2021,"16.16","16.17","15.76","15.81","197,437"
07/07/2021,"16.76","16.85","16.50","16.55","415,434"
07/06/2021,"17.17","17.19","16.59","16.70","264,450"
07/02/2021,"17.42","17.42","16.97","17.17","163,540"
07/01/2021,"17.62","17.79","17.30","17.34","299,233"
06/30/2021,"17.74","17.94","17.26","17.62","398,732"
06/29/2021,"17.80","17.97","17.56","17.78","176,996"
06/28/2021,"17.65","17.84","17.22","17.76","516,050"
06/25/2021,"17.55","17.59","17.23","17.55","207,637"
06/24/2021,"17.54","17.65","17.25","17.35","223,413"
06/23/2021,"17.10","17.62","16.76","17.38","300,256"
06/22/2021,"16.88","17.16","16.45","17.07","174,213"
06/21/2021,"16.91","16.91","16.56","16.91","210,570"
06/18/2021,"17.19","17.19","16.75","16.85","247,146"
06/17/2021,"17.62","17.73","17.15","17.26","247,255"
06/16/2021,"17.49","17.71","17.26","17.64","296,703"
06/15/2021,"17.76","17.83","17.41","17.51","209,349"
06/14/2021,"17.91","18.04","17.67","17.76","294,903"
06/11/2021,"17.62","17.95","17.43","17.90","334,185"
06/10/2021,"17.43","17.63","17.24","17.55","164,135"
06/09/2021,"17.19","17.80","17.00","17.40","293,858"
06/08/2021,"17.85","17.95","17.08","17.11","145,692"
06/07/2021,"17.62","17.89","17.42","17.87","496,110"
06/04/2021,"17.19","17.77","17.05","17.77","300,683"
06/03/2021,"16.81","17.16","16.75","17.11","350,430"
06/02/2021,"16.86","17.14","16.61","16.93","386,575"
06/01/2021,"16.77","17.01","16.56","16.78","248,116"
