Date,Open,High,Low,Close,Volume
08/12/2021,"29.44","29.94","28.09","28.49","132,947"
08/11/2021,"29.91","30.74","29.23","29.44","252,782"
08/10/2021,"30.18","30.50","29.59","29.88","169,576"
08/09/2021,"29.09","29.70","28.69","29.44","63,119"
08/06/2021,"28.51","30.07","28.51","28.93","188,056"
08/05/2021,"28.55","28.87","28.32","28.49","82,285"
08/04/2021,"29.63","29.63","28.03","28.39","179,686"
08/03/2021,"29.58","29.70","29.15","29.31","73,930"
08/02/2021,"29.28","29.99","29.02","29.50","75,934"
07/30/2021,"28.52","29.46","28.52","29.00","73,455"
07/29/2021,"29.24","29.70","28.47","28.76","76,635"
07/28/2021,"28.48","29.54","28.23","28.88","209,406"
07/27/2021,"28.83","29.18","28.21","28.35","275,565"
07/26/2021,"29.31","29.49","28.82","29.29","88,841"
07/23/2021,"30.13","31.30","29.31","29.50","87,845"
07/22/2021,"30.00","30.70","29.76","29.91","130,673"
07/21/2021,"30.84","31.26","30.18","30.40","126,224"
07/20/2021,"30.63","31.24","30.48","30.72","179,637"
07/19/2021,"31.81","32.00","30.25","30.38","158,312"
07/16/2021,"33.08","33.61","32.12","32.56","161,383"
07/15/2021,"34.54","34.86","32.98","33.12","103,325"
07/14/2021,"34.80","35.43","34.55","34.79","167,447"
07/13/2021,"35.91","35.91","33.06","34.57","205,940"
07/12/2021,"35.26","36.00","34.55","35.91","88,177"
07/09/2021,"34.73","35.83","34.01","35.56","100,300"
07/08/2021,"35.65","35.86","32.60","34.71","455,553"
07/07/2021,"36.90","36.96","35.31","36.36","291,711"
07/06/2021,"35.24","36.42","35.16","36.42","184,320"
07/02/2021,"34.59","35.50","33.63","35.25","155,646"
07/01/2021,"35.82","36.10","34.27","34.95","447,082"
06/30/2021,"34.88","35.79","34.07","35.50","214,863"
06/29/2021,"36.06","36.67","34.18","35.23","351,086"
06/28/2021,"35.53","35.98","33.17","35.35","270,316"
06/25/2021,"36.93","39.23","34.85","35.00","405,277"
06/24/2021,"35.57","38.20","35.51","36.30","549,451"
06/23/2021,"33.21","35.72","32.35","34.93","909,540"
06/22/2021,"30.30","33.50","30.20","32.63","551,288"
06/21/2021,"29.68","31.70","29.68","30.20","209,055"
06/18/2021,"29.59","30.46","28.75","29.26","99,611"
06/17/2021,"29.89","30.50","28.90","29.89","564,343"
06/16/2021,"29.70","30.14","28.14","29.71","293,565"
06/15/2021,"29.46","30.50","29.29","29.52","153,888"
06/14/2021,"29.88","30.43","28.92","29.02","108,018"
06/11/2021,"29.84","30.20","28.79","30.11","162,588"
06/10/2021,"28.24","30.03","28.00","29.92","110,524"
06/09/2021,"27.80","28.57","27.80","28.25","128,628"
06/08/2021,"28.50","29.49","27.59","27.80","285,194"
06/07/2021,"30.88","31.32","28.38","28.45","339,304"
06/04/2021,"31.10","32.11","30.79","30.98","110,206"
06/03/2021,"33.80","33.80","30.94","30.94","237,850"
06/02/2021,"31.32","33.91","30.47","33.50","1,230,962"
06/01/2021,"30.96","32.19","29.50","31.75","802,780"
05/28/2021,"28.49","31.81","27.79","30.50","777,766"
05/27/2021,"28.15","28.50","26.76","28.00","1,598,079"
05/26/2021,"28.76","30.46","28.00","28.61","5,508,588"
