Date,Open,High,Low,Close,Volume
08/11/2021,"94.03","97.10","92.35","97.09","246,976"
08/10/2021,"98.87","100.02","94.34","94.50","163,911"
08/09/2021,"100.00","100.97","98.38","98.38","231,807"
08/06/2021,"98.78","101.48","92.83","99.79","561,952"
08/05/2021,"101.42","102.26","97.28","98.14","170,374"
08/04/2021,"104.73","106.61","100.95","101.02","144,620"
08/03/2021,"105.87","107.12","104.12","104.63","77,845"
08/02/2021,"104.31","108.75","104.28","105.94","145,346"
07/30/2021,"102.01","104.42","100.79","103.28","187,579"
07/29/2021,"100.28","103.67","99.84","101.81","164,272"
07/28/2021,"99.77","100.32","97.98","99.82","191,329"
07/27/2021,"98.89","99.90","95.39","99.37","126,039"
07/26/2021,"98.97","100.41","98.35","99.49","135,657"
07/23/2021,"97.18","100.00","96.60","98.89","187,876"
07/22/2021,"97.68","98.99","94.82","96.75","171,867"
07/21/2021,"95.38","96.33","93.99","95.23","137,153"
07/20/2021,"94.25","95.26","93.13","95.00","136,707"
07/19/2021,"94.46","94.48","92.00","94.21","104,686"
07/16/2021,"92.29","95.00","91.91","94.44","249,670"
07/15/2021,"96.00","96.00","90.19","92.37","367,479"
07/14/2021,"95.99","97.20","94.52","95.59","172,937"
07/13/2021,"95.86","96.00","94.98","95.51","171,278"
07/12/2021,"95.27","99.26","93.74","95.73","161,207"
07/09/2021,"94.87","96.06","94.12","94.99","154,162"
07/08/2021,"93.08","96.00","91.14","94.81","214,690"
07/07/2021,"91.15","94.76","90.80","94.18","129,087"
07/06/2021,"96.00","96.00","90.35","91.73","97,442"
07/02/2021,"92.79","96.83","92.20","95.71","132,932"
07/01/2021,"94.76","96.05","90.05","93.07","472,345"
06/30/2021,"93.51","95.89","91.83","94.95","368,734"
06/29/2021,"93.87","94.11","92.10","92.97","105,165"
06/28/2021,"95.39","97.02","92.36","93.51","186,413"
06/25/2021,"97.55","98.46","91.68","94.52","236,094"
06/24/2021,"96.26","98.96","96.10","98.34","255,447"
06/23/2021,"95.29","96.60","94.51","95.78","160,909"
06/22/2021,"93.30","96.64","92.30","95.80","357,020"
06/21/2021,"91.51","94.25","88.65","93.19","272,526"
06/18/2021,"84.89","97.65","84.51","91.05","699,924"
06/17/2021,"82.54","87.22","81.53","84.83","269,053"
06/16/2021,"82.66","83.99","81.29","82.26","70,422"
06/15/2021,"82.17","83.72","81.61","81.94","129,185"
06/14/2021,"85.01","88.87","82.69","83.96","285,481"
06/11/2021,"86.09","87.94","83.69","83.99","151,028"
06/10/2021,"86.03","88.30","85.76","86.59","359,115"
06/09/2021,"88.00","88.83","86.38","86.74","216,258"
06/08/2021,"83.59","89.24","83.02","88.40","591,955"
06/07/2021,"81.10","86.00","81.05","84.46","329,146"
06/04/2021,"80.81","82.29","80.57","81.24","363,381"
06/03/2021,"85.32","86.15","81.17","81.40","424,164"
06/02/2021,"87.10","87.31","85.11","86.57","389,782"
06/01/2021,"85.87","87.00","85.02","86.42","124,675"
05/28/2021,"82.43","90.00","81.27","86.42","644,132"
05/27/2021,"81.45","83.38","79.85","82.30","310,315"
05/26/2021,"81.78","82.74","80.09","81.45","594,688"
05/25/2021,"85.85","85.90","81.58","81.90","650,306"
05/24/2021,"88.78","88.78","83.99","86.21","452,664"
05/21/2021,"87.56","91.99","84.95","88.62","2,522,935"
05/20/2021,"84.00","90.05","78.96","88.00","8,753,751"
