Date,Open,High,Low,Close,Volume
08/30/2021,"30.29","30.51","29.50","30.24","155,667"
08/27/2021,"30.39","30.60","29.12","30.13","344,666"
08/26/2021,"30.27","30.64","29.71","30.29","172,780"
08/25/2021,"30.11","30.72","30.01","30.30","159,617"
08/24/2021,"29.80","30.25","29.62","30.08","79,288"
08/23/2021,"30.47","30.47","29.67","29.77","273,611"
08/20/2021,"29.95","30.49","29.77","30.27","186,792"
08/19/2021,"29.58","30.00","29.24","29.88","179,092"
08/18/2021,"29.68","30.39","29.56","29.66","303,570"
08/17/2021,"29.88","29.88","29.21","29.63","135,331"
08/16/2021,"30.05","30.19","29.56","29.82","222,660"
08/13/2021,"30.21","30.88","29.96","30.14","171,560"
08/12/2021,"30.63","30.83","30.20","30.30","154,550"
08/11/2021,"30.32","30.68","30.17","30.55","301,808"
08/10/2021,"30.12","31.13","30.01","30.24","402,171"
08/09/2021,"29.45","30.23","29.30","30.08","420,421"
08/06/2021,"28.44","29.72","28.25","29.59","447,966"
08/05/2021,"28.19","28.45","28.00","28.30","506,862"
08/04/2021,"27.75","28.25","27.75","28.00","132,288"
08/03/2021,"28.23","28.23","27.77","27.95","188,512"
08/02/2021,"28.00","28.21","27.75","28.07","257,822"
07/30/2021,"27.70","28.24","27.56","28.00","300,983"
07/29/2021,"27.70","28.12","27.70","27.89","448,373"
07/28/2021,"28.01","28.15","27.50","27.72","199,447"
07/27/2021,"27.87","28.09","27.65","28.05","178,550"
07/26/2021,"27.86","28.20","27.58","28.00","147,286"
07/23/2021,"27.71","28.09","27.60","28.03","112,414"
07/22/2021,"27.88","28.04","27.53","27.72","491,869"
07/21/2021,"28.22","28.22","27.39","28.00","1,852,891"
07/20/2021,"27.14","28.25","27.14","28.05","517,774"
07/19/2021,"27.80","27.94","26.51","27.15","860,920"
07/16/2021,"28.00","28.10","27.75","27.95","708,107"
07/15/2021,"28.00","28.43","27.50","27.83","6,715,524"
