Date,Open,High,Low,Close,Volume
08/11/2021,"16.50","17.00","16.40","16.50","8,509"
08/10/2021,"16.21","16.95","16.15","16.15","13,122"
08/09/2021,"17.62","18.00","15.95","16.34","7,000"
08/06/2021,"16.44","16.44","16.00","16.07","3,361"
08/05/2021,"16.55","16.55","16.00","16.27","20,511"
08/04/2021,"16.34","16.77","16.08","16.60","1,278"
08/03/2021,"16.60","17.29","16.01","16.34","6,222"
08/02/2021,"17.26","17.36","16.26","16.49","6,588"
07/30/2021,"17.41","17.85","17.03","17.77","2,157"
07/29/2021,"16.92","16.92","16.21","16.90","1,874"
07/28/2021,"14.43","17.69","14.43","17.12","74,815"
07/27/2021,"14.22","14.77","13.64","14.35","58,033"
07/26/2021,"14.47","14.69","14.08","14.45","113,644"
07/23/2021,"14.25","14.97","14.25","14.50","93,739"
07/22/2021,"13.86","14.65","13.65","14.44","197,004"
07/21/2021,"14.40","15.00","13.28","14.11","13,698"
07/20/2021,"15.00","15.25","13.61","14.50","15,016"
07/19/2021,"13.39","14.01","13.14","13.14","16,936"
07/16/2021,"14.09","14.56","13.60","14.22","18,151"
07/15/2021,"14.64","16.00","14.00","14.45","28,345"
07/14/2021,"15.44","16.01","15.14","15.21","10,986"
07/13/2021,"16.11","16.45","15.49","15.49","26,171"
07/12/2021,"16.43","17.53","15.87","16.25","49,041"
07/09/2021,"14.01","15.15","14.00","14.92","31,670"
07/08/2021,"15.00","15.02","14.09","14.09","8,084"
07/07/2021,"15.51","15.95","15.00","15.15","42,763"
07/06/2021,"16.33","16.73","15.50","15.50","37,664"
07/02/2021,"17.06","17.25","15.92","16.30","10,187"
07/01/2021,"18.80","18.80","17.36","17.43","14,475"
06/30/2021,"18.71","18.71","18.13","18.63","2,124"
06/29/2021,"18.57","18.57","18.57","18.57","269"
06/28/2021,"18.50","19.53","18.26","18.80","3,632"
06/25/2021,"19.35","19.35","18.05","18.48","11,328"
06/24/2021,"19.26","20.23","19.04","19.04","2,033"
06/23/2021,"18.46","19.78","18.05","19.53","13,740"
06/22/2021,"19.01","19.50","18.05","18.05","52,377"
06/21/2021,"19.12","19.20","18.71","19.00","28,054"
06/18/2021,"19.04","19.70","18.56","18.70","2,933"
06/17/2021,"19.37","19.73","19.37","19.55","3,079"
06/16/2021,"20.95","20.95","20.05","20.20","3,797"
06/15/2021,"20.65","21.01","20.65","21.01","1,302"
06/14/2021,"20.34","22.00","20.07","20.83","6,907"
06/11/2021,"20.78","20.78","19.96","20.38","7,977"
06/10/2021,"20.26","20.69","19.63","20.06","13,214"
06/09/2021,"20.45","20.68","19.82","20.28","15,494"
06/08/2021,"20.89","20.89","19.59","20.39","17,837"
06/07/2021,"20.43","20.90","20.30","20.30","11,568"
06/04/2021,"20.80","21.02","20.03","20.43","12,645"
06/03/2021,"20.04","21.70","20.04","20.47","6,999"
06/02/2021,"21.00","21.54","20.40","20.54","4,427"
06/01/2021,"21.15","21.50","20.30","20.65","20,533"
05/28/2021,"21.00","21.02","20.35","20.50","16,996"
05/27/2021,"20.66","21.69","20.25","20.26","7,170"
05/26/2021,"20.53","20.89","20.00","20.25","17,905"
05/25/2021,"20.95","20.95","20.25","20.25","3,921"
05/24/2021,"20.78","21.46","20.00","20.24","13,741"
05/21/2021,"22.21","22.21","20.01","20.30","11,083"
05/20/2021,"21.96","22.24","21.33","21.37","1,700"
05/19/2021,"20.70","21.37","20.70","20.97","2,893"
05/18/2021,"22.00","22.00","19.29","20.26","17,297"
05/17/2021,"22.00","22.28","20.70","20.70","5,948"
05/14/2021,"21.80","23.00","21.36","21.36","20,607"
05/13/2021,"22.12","24.01","20.57","22.25","51,150"
05/12/2021,"23.57","24.88","22.24","22.28","7,472"
05/11/2021,"23.00","23.31","23.00","23.31","2,374"
05/10/2021,"22.75","23.07","22.17","22.26","8,910"
05/07/2021,"24.35","25.77","21.89","22.63","27,207"
05/06/2021,"25.30","26.53","23.83","24.34","51,430"
05/05/2021,"24.60","26.31","23.15","24.28","64,772"
05/04/2021,"24.69","26.50","24.50","24.80","9,515"
05/03/2021,"24.40","25.76","23.40","25.02","60,811"
04/30/2021,"24.23","26.16","23.00","24.10","21,538"
04/29/2021,"25.52","25.55","24.24","24.86","12,251"
04/28/2021,"25.75","26.84","24.50","24.93","18,187"
04/27/2021,"27.29","27.35","25.04","25.04","8,047"
04/26/2021,"25.80","26.97","25.48","25.50","9,275"
04/23/2021,"25.19","26.17","24.63","26.09","5,518"
04/22/2021,"23.86","24.46","23.58","24.46","2,592"
04/21/2021,"23.80","25.85","23.80","24.50","2,001"
04/20/2021,"26.05","26.60","23.03","23.08","43,148"
04/19/2021,"29.24","29.25","26.01","26.01","8,745"
04/16/2021,"28.93","29.25","27.87","27.92","5,133"
04/15/2021,"28.93","29.88","27.55","28.07","45,588"
04/14/2021,"29.71","30.28","28.50","29.59","31,976"
04/13/2021,"29.75","29.97","28.61","28.84","40,483"
04/12/2021,"28.84","29.99","28.10","29.01","42,326"
04/09/2021,"29.00","29.00","28.01","28.32","6,980"
04/08/2021,"27.51","29.27","27.31","28.29","14,931"
04/07/2021,"26.89","27.95","26.27","27.85","9,741"
04/06/2021,"27.75","28.66","26.10","26.31","13,521"
04/05/2021,"27.75","28.33","27.60","27.71","104,212"
04/01/2021,"27.84","29.50","26.40","27.95","384,714"
03/31/2021,"27.74","29.70","26.61","27.98","31,886"
03/30/2021,"25.00","26.00","25.00","25.99","13,286"
03/29/2021,"26.00","27.10","25.02","25.69","166,363"
03/26/2021,"26.47","27.50","26.12","26.23","81,173"
03/25/2021,"29.95","30.26","24.41","26.72","119,559"
03/24/2021,"32.01","32.23","29.89","30.32","83,799"
03/23/2021,"33.21","34.00","30.56","32.39","145,170"
03/22/2021,"33.03","35.49","29.93","33.04","89,485"
03/19/2021,"35.25","35.25","33.25","33.25","95,125"
03/18/2021,"34.03","36.31","34.03","35.75","18,319"
03/17/2021,"34.19","36.24","33.45","34.40","16,008"
03/16/2021,"33.65","35.89","31.82","34.60","47,810"
03/15/2021,"28.92","36.82","28.92","34.39","35,120"
03/12/2021,"28.34","31.44","28.34","30.90","24,949"
03/11/2021,"30.99","31.85","29.06","29.99","32,666"
03/10/2021,"27.65","32.20","25.53","29.39","44,679"
03/09/2021,"27.41","29.00","24.37","27.39","180,834"
03/08/2021,"29.07","31.50","26.06","27.06","77,323"
03/05/2021,"34.06","34.62","28.14","28.75","139,847"
03/04/2021,"38.25","39.20","32.21","33.61","202,912"
03/03/2021,"38.70","39.85","36.30","38.50","115,950"
03/02/2021,"38.48","40.83","37.08","38.75","74,400"
03/01/2021,"38.44","41.60","38.44","39.23","108,853"
02/26/2021,"38.94","40.42","35.69","37.99","116,072"
02/25/2021,"37.20","41.40","37.20","40.11","185,606"
02/24/2021,"31.88","38.42","31.40","37.00","137,230"
02/23/2021,"32.94","36.23","27.63","31.53","69,531"
02/22/2021,"34.83","42.86","33.20","34.09","152,497"
02/19/2021,"31.19","37.11","30.79","35.91","132,117"
02/18/2021,"26.82","31.53","26.11","30.74","170,981"
02/17/2021,"25.25","28.21","25.25","26.52","228,022"
02/16/2021,"27.26","28.33","24.26","25.25","231,902"
02/12/2021,"27.50","28.20","25.58","26.67","170,040"
02/11/2021,"29.99","30.00","27.11","27.50","255,657"
02/10/2021,"31.00","32.19","27.78","30.00","297,675"
02/09/2021,"28.70","30.49","27.67","30.19","228,651"
02/08/2021,"28.00","30.44","27.60","28.70","529,624"
02/05/2021,"25.00","30.94","23.06","29.00","3,813,903"
