Date,Open,High,Low,Close,Volume
08/30/2021,"30.37","30.64","29.66","29.96","282,950"
08/27/2021,"30.08","31.25","29.74","30.20","292,169"
08/26/2021,"30.65","31.63","29.77","29.83","253,716"
08/25/2021,"30.89","31.71","30.59","30.80","161,094"
08/24/2021,"30.75","31.62","30.53","31.42","171,088"
08/23/2021,"28.15","31.24","27.92","30.76","328,828"
08/20/2021,"28.31","29.33","28.11","28.45","252,086"
08/19/2021,"31.11","31.78","25.01","28.52","865,512"
08/18/2021,"34.44","34.50","32.30","32.45","286,290"
08/17/2021,"33.50","34.32","32.70","34.32","357,245"
08/16/2021,"34.37","34.94","33.34","33.82","760,789"
08/13/2021,"34.72","35.14","33.52","34.23","303,765"
08/12/2021,"34.30","35.16","33.75","34.22","729,704"
08/11/2021,"34.64","34.86","33.71","34.45","355,253"
08/10/2021,"35.45","35.75","34.49","34.64","478,210"
08/09/2021,"36.17","36.89","34.52","35.42","234,208"
08/06/2021,"36.64","37.05","35.93","36.58","244,760"
08/05/2021,"36.19","37.00","35.63","36.45","444,494"
08/04/2021,"33.89","37.32","33.61","36.43","588,216"
08/03/2021,"34.74","35.09","33.20","34.11","356,669"
08/02/2021,"34.69","35.33","34.35","34.40","295,832"
07/30/2021,"34.82","35.48","33.25","34.01","298,644"
07/29/2021,"36.03","36.03","34.48","34.85","435,636"
07/28/2021,"34.35","36.09","33.65","35.66","384,361"
07/27/2021,"34.80","36.02","32.95","34.23","474,108"
07/26/2021,"36.38","36.42","34.30","34.88","327,011"
07/23/2021,"34.27","36.35","33.91","36.30","119,180"
07/22/2021,"35.53","35.97","33.93","34.16","384,742"
07/21/2021,"35.53","36.13","35.03","35.52","437,764"
07/20/2021,"34.54","35.65","34.33","35.47","366,148"
07/19/2021,"33.19","34.68","33.19","34.62","528,751"
07/16/2021,"32.50","33.74","32.00","33.63","372,486"
07/15/2021,"31.15","32.48","30.74","32.43","459,399"
07/14/2021,"33.65","33.65","30.44","31.45","503,288"
07/13/2021,"34.75","35.03","33.15","33.76","247,352"
07/12/2021,"32.59","35.25","31.85","34.90","146,233"
07/09/2021,"32.21","33.11","31.94","32.75","108,987"
07/08/2021,"31.76","33.99","31.45","32.13","352,397"
07/07/2021,"32.75","32.99","31.25","32.35","355,958"
07/06/2021,"33.09","33.25","31.60","32.82","293,862"
07/02/2021,"33.65","33.84","32.00","33.01","257,246"
07/01/2021,"34.39","34.60","32.92","33.58","384,002"
06/30/2021,"33.70","34.66","32.84","34.16","504,480"
06/29/2021,"34.85","35.23","32.57","34.00","358,978"
06/28/2021,"33.86","35.59","33.48","34.66","476,762"
06/25/2021,"32.10","34.24","30.63","33.68","1,924,377"
06/24/2021,"31.64","32.84","31.04","32.17","287,316"
06/23/2021,"31.16","31.79","30.02","31.23","294,125"
06/22/2021,"32.28","32.47","30.61","31.03","424,526"
06/21/2021,"34.04","34.14","32.31","32.65","477,703"
06/18/2021,"35.00","35.00","32.95","34.08","844,714"
06/17/2021,"34.34","34.93","33.68","34.88","439,085"
06/16/2021,"34.51","34.82","33.48","34.28","465,885"
06/15/2021,"34.52","34.79","33.40","34.47","269,624"
06/14/2021,"34.50","34.87","33.08","34.12","313,383"
06/11/2021,"33.01","34.49","32.36","34.40","208,278"
06/10/2021,"33.25","33.83","32.30","32.73","177,398"
