Date,Open,High,Low,Close,Volume
08/20/2021,"17.06","19.59","17.05","18.76","495,671"
08/19/2021,"15.70","17.19","15.25","16.63","242,434"
08/18/2021,"15.39","16.23","14.91","16.01","207,560"
08/17/2021,"12.79","16.39","12.71","15.55","437,696"
08/16/2021,"13.80","13.80","12.75","13.15","321,354"
08/13/2021,"13.91","14.50","13.71","13.80","197,995"
08/12/2021,"15.12","15.12","13.75","13.88","171,125"
08/11/2021,"15.08","15.18","14.71","15.05","144,726"
08/10/2021,"14.78","15.16","14.33","15.11","190,354"
08/09/2021,"14.95","15.11","14.46","14.64","65,756"
08/06/2021,"14.90","15.14","14.37","14.76","79,513"
08/05/2021,"14.21","15.02","14.16","14.73","141,375"
08/04/2021,"14.65","15.06","14.06","14.23","138,343"
08/03/2021,"15.65","15.67","14.55","14.82","156,079"
08/02/2021,"15.91","15.95","15.40","15.58","112,817"
07/30/2021,"15.51","16.05","15.38","15.60","141,694"
07/29/2021,"15.97","16.18","15.46","15.68","195,011"
07/28/2021,"15.71","16.44","15.40","15.81","280,648"
07/27/2021,"16.32","16.32","15.37","15.70","125,902"
07/26/2021,"16.26","16.48","15.73","16.34","118,283"
07/23/2021,"17.25","17.38","15.99","16.39","170,706"
07/22/2021,"17.28","18.41","16.78","17.30","150,826"
07/21/2021,"18.32","18.37","17.05","17.41","176,967"
07/20/2021,"17.58","18.74","17.22","18.37","160,306"
07/19/2021,"16.81","17.56","16.80","17.53","108,770"
07/16/2021,"17.55","18.36","17.23","17.41","106,524"
07/15/2021,"17.28","17.28","16.58","17.21","87,557"
07/14/2021,"19.08","19.08","17.34","17.39","112,888"
07/13/2021,"19.05","19.33","18.10","18.86","185,509"
07/12/2021,"19.32","19.69","18.78","19.23","153,875"
07/09/2021,"19.89","20.45","19.36","19.52","126,453"
07/08/2021,"18.69","19.97","18.13","19.80","151,864"
07/07/2021,"19.56","19.57","18.88","19.30","112,094"
07/06/2021,"18.91","19.50","18.20","19.44","142,382"
07/02/2021,"18.65","19.12","18.24","18.79","139,870"
07/01/2021,"18.39","18.60","17.93","18.42","217,350"
06/30/2021,"19.91","19.98","18.06","18.28","574,851"
06/29/2021,"20.12","20.41","19.48","19.91","216,895"
06/28/2021,"20.20","20.52","19.58","20.08","406,734"
06/25/2021,"19.56","20.52","19.13","20.10","2,223,082"
06/24/2021,"19.57","20.79","19.28","19.54","294,692"
06/23/2021,"19.67","20.00","18.95","19.33","257,302"
06/22/2021,"20.47","20.61","19.07","19.63","339,097"
06/21/2021,"21.73","22.71","19.81","20.51","401,962"
06/18/2021,"22.17","23.14","21.05","21.52","1,614,150"
06/17/2021,"21.88","22.76","21.32","22.59","420,320"
06/16/2021,"19.51","22.39","19.26","22.01","536,789"
06/15/2021,"22.00","22.05","19.90","20.18","570,791"
06/14/2021,"20.38","21.00","20.16","20.71","361,832"
