Date,Open,High,Low,Close,Volume
08/30/2021,"37.50","38.98","36.07","36.92","184,854"
08/27/2021,"34.27","38.30","33.69","37.57","204,793"
08/26/2021,"34.19","35.69","33.63","34.16","136,661"
08/25/2021,"31.90","35.31","31.64","34.50","186,764"
08/24/2021,"33.13","33.21","30.92","31.86","51,740"
08/23/2021,"31.49","33.41","29.96","33.16","169,570"
08/20/2021,"28.71","31.59","28.50","31.00","270,362"
08/19/2021,"30.19","30.19","28.59","28.78","113,322"
08/18/2021,"32.18","32.25","30.21","30.29","113,194"
08/17/2021,"31.72","32.59","30.87","32.03","81,969"
08/16/2021,"32.12","32.92","30.63","31.74","74,909"
08/13/2021,"34.00","35.59","32.16","32.17","133,901"
08/12/2021,"34.00","34.78","31.74","34.19","95,396"
08/11/2021,"32.41","34.20","31.65","33.98","137,687"
08/10/2021,"31.47","32.11","30.49","31.96","67,998"
08/09/2021,"29.93","31.22","29.43","31.01","154,535"
08/06/2021,"32.78","33.13","30.07","30.09","180,404"
08/05/2021,"31.82","33.53","29.35","32.43","233,961"
08/04/2021,"31.80","32.40","30.10","31.57","318,082"
08/03/2021,"31.95","32.65","30.45","32.00","125,019"
08/02/2021,"32.54","32.54","31.34","31.73","307,581"
07/30/2021,"32.18","33.41","31.13","32.04","153,132"
07/29/2021,"35.21","35.95","32.04","32.72","156,405"
07/28/2021,"34.83","35.76","32.76","34.78","171,894"
07/27/2021,"35.33","36.36","33.09","34.65","548,851"
07/26/2021,"34.00","34.94","32.45","33.33","224,722"
07/23/2021,"29.44","34.88","28.69","34.06","354,394"
07/22/2021,"29.63","30.92","28.29","29.26","103,121"
07/21/2021,"31.15","31.44","29.26","29.66","139,701"
07/20/2021,"30.99","32.93","30.25","31.23","284,452"
07/19/2021,"28.04","32.49","27.78","31.37","376,804"
07/16/2021,"28.40","29.34","27.99","28.39","202,794"
07/15/2021,"25.75","28.79","24.72","28.02","169,053"
07/14/2021,"27.16","29.90","25.73","25.78","478,346"
07/13/2021,"27.55","28.37","26.83","26.92","92,263"
07/12/2021,"28.52","28.84","27.34","27.72","63,393"
07/09/2021,"27.38","28.85","27.22","28.50","72,134"
07/08/2021,"26.09","28.10","25.28","27.57","115,530"
07/07/2021,"27.00","27.95","25.94","26.70","145,126"
07/06/2021,"27.80","28.97","26.76","27.00","119,563"
07/02/2021,"28.62","28.88","27.68","27.77","147,252"
07/01/2021,"28.85","29.23","28.25","28.60","216,430"
06/30/2021,"29.95","30.24","28.26","28.63","196,795"
06/29/2021,"31.99","32.94","29.96","30.02","116,981"
06/28/2021,"32.41","32.71","31.76","31.99","70,015"
06/25/2021,"33.14","33.17","31.22","31.90","424,703"
06/24/2021,"33.69","34.08","32.29","32.97","181,992"
06/23/2021,"32.80","33.83","31.67","33.13","270,623"
06/22/2021,"32.57","33.51","31.54","33.06","170,799"
06/21/2021,"31.18","32.56","30.30","32.40","180,351"
06/18/2021,"31.69","32.65","30.03","31.02","551,250"
06/17/2021,"33.20","34.17","31.93","32.36","214,524"
06/16/2021,"32.37","33.72","32.20","33.39","397,035"
06/15/2021,"33.42","34.20","30.80","32.23","194,255"
06/14/2021,"31.20","33.95","31.20","33.78","205,084"
06/11/2021,"31.92","32.48","30.63","31.20","131,151"
06/10/2021,"30.76","32.18","30.09","32.04","181,446"
06/09/2021,"31.43","32.96","30.16","30.72","165,657"
06/08/2021,"32.76","33.30","30.23","31.30","178,316"
06/07/2021,"30.26","33.36","29.97","32.40","357,611"
06/04/2021,"31.38","31.83","29.57","29.96","150,129"
06/03/2021,"31.62","31.89","30.51","31.03","210,504"
06/02/2021,"32.81","32.81","31.26","31.80","232,703"
06/01/2021,"34.71","35.23","32.86","32.99","118,341"
05/28/2021,"33.03","35.54","33.03","34.76","448,735"
05/27/2021,"33.15","33.47","32.33","33.00","361,198"
05/26/2021,"33.00","34.58","32.74","33.00","206,661"
05/25/2021,"36.73","37.05","32.60","32.91","290,826"
05/24/2021,"39.10","39.10","35.86","36.03","96,583"
05/21/2021,"39.35","39.90","34.53","38.72","155,082"
05/20/2021,"36.29","38.79","36.09","38.79","139,821"
05/19/2021,"38.53","39.62","35.68","36.09","149,020"
05/18/2021,"41.85","42.58","38.26","39.39","144,342"
05/17/2021,"41.50","43.79","40.91","41.78","117,820"
05/14/2021,"40.09","42.61","39.73","42.04","176,056"
05/13/2021,"44.65","44.94","38.02","39.15","336,228"
05/12/2021,"40.56","45.33","39.65","44.30","214,832"
05/11/2021,"38.75","43.00","38.00","41.18","210,538"
05/10/2021,"41.18","42.28","39.51","40.70","219,217"
05/07/2021,"40.77","42.20","39.75","41.61","195,499"
05/06/2021,"38.48","42.18","38.48","40.80","196,061"
05/05/2021,"40.08","42.15","38.79","40.50","181,719"
05/04/2021,"40.43","40.43","38.64","39.85","294,359"
