Date,Open,High,Low,Close,Volume
08/12/2021,"33.51","34.78","32.50","32.83","390,153"
08/11/2021,"34.65","35.59","33.27","33.51","323,396"
08/10/2021,"36.17","37.82","33.33","34.69","617,260"
08/09/2021,"37.29","37.29","33.25","36.23","665,075"
08/06/2021,"36.87","39.42","36.21","38.05","401,693"
08/05/2021,"37.23","37.52","35.67","36.85","483,799"
08/04/2021,"38.85","40.39","37.26","37.41","269,661"
08/03/2021,"41.68","44.72","38.91","39.07","490,424"
08/02/2021,"41.53","43.61","41.22","41.59","566,713"
07/30/2021,"42.81","45.00","41.47","41.50","167,850"
07/29/2021,"43.70","44.40","42.34","42.81","214,782"
07/28/2021,"43.39","43.99","42.24","43.42","353,986"
07/27/2021,"43.43","44.25","42.10","43.77","85,999"
07/26/2021,"46.43","46.89","43.39","43.74","193,654"
07/23/2021,"46.78","47.77","45.94","46.55","51,921"
07/22/2021,"46.02","47.28","45.26","46.78","84,801"
07/21/2021,"44.60","46.47","43.59","46.05","182,760"
07/20/2021,"43.85","45.01","41.78","44.15","466,198"
07/19/2021,"41.78","43.67","40.83","43.62","237,020"
07/16/2021,"42.05","43.99","41.25","42.27","256,993"
07/15/2021,"41.03","42.92","40.81","41.63","195,882"
07/14/2021,"44.40","44.62","41.38","41.49","381,429"
07/13/2021,"44.71","45.08","43.69","44.16","307,285"
07/12/2021,"43.61","44.78","42.67","44.68","188,038"
07/09/2021,"42.69","44.18","42.17","43.89","268,413"
07/08/2021,"43.89","44.40","42.33","42.67","342,930"
07/07/2021,"43.83","45.42","43.24","45.00","215,531"
07/06/2021,"44.98","45.23","43.05","43.99","144,308"
07/02/2021,"43.12","45.39","43.12","44.68","270,101"
07/01/2021,"44.37","45.24","43.25","43.30","408,402"
06/30/2021,"44.87","45.36","44.23","44.37","311,441"
06/29/2021,"49.68","50.77","44.19","44.59","603,280"
06/28/2021,"46.10","49.82","46.01","49.25","406,198"
06/25/2021,"45.02","46.59","44.37","46.04","2,772,507"
06/24/2021,"46.94","47.87","44.34","44.86","526,823"
06/23/2021,"46.55","48.59","46.46","46.85","360,536"
06/22/2021,"46.34","47.81","45.47","46.50","1,614,121"
06/21/2021,"45.35","46.79","44.00","46.25","1,552,834"
06/18/2021,"43.01","45.54","42.47","45.35","2,637,790"
06/17/2021,"42.46","43.46","41.26","43.18","1,524,372"
06/16/2021,"40.37","42.77","40.37","42.47","1,728,469"
06/15/2021,"41.23","41.88","39.59","40.28","602,774"
06/14/2021,"40.36","41.53","38.30","41.11","663,895"
06/11/2021,"39.54","40.10","39.37","39.91","586,736"
06/10/2021,"39.90","40.10","38.60","39.74","432,201"
06/09/2021,"38.14","40.42","37.65","39.58","569,105"
06/08/2021,"38.02","38.46","37.02","37.96","709,530"
06/07/2021,"33.60","39.48","33.50","37.64","1,820,165"
06/04/2021,"33.47","33.85","32.97","33.25","295,015"
06/03/2021,"34.42","35.02","33.46","33.61","264,897"
06/02/2021,"33.21","35.20","33.08","34.39","488,017"
06/01/2021,"32.55","33.76","32.44","33.40","323,129"
05/28/2021,"33.80","34.35","32.27","32.73","310,093"
05/27/2021,"33.10","34.35","32.80","34.16","281,929"
05/26/2021,"32.49","33.48","32.49","33.10","247,939"
05/25/2021,"33.00","33.46","32.40","32.77","377,429"
05/24/2021,"33.51","34.57","31.05","32.32","416,060"
05/21/2021,"30.04","32.96","29.65","32.81","388,535"
05/20/2021,"30.15","31.00","29.84","30.08","116,508"
05/19/2021,"30.02","30.46","29.51","30.20","177,475"
05/18/2021,"29.57","31.87","28.77","30.17","226,647"
05/17/2021,"28.84","30.36","27.51","29.71","172,812"
05/14/2021,"29.28","29.95","27.15","29.13","410,742"
05/13/2021,"29.88","31.98","28.38","29.18","518,400"
05/12/2021,"30.40","31.95","29.74","30.14","168,399"
05/11/2021,"28.05","31.48","28.00","30.51","606,461"
05/10/2021,"31.68","32.45","30.49","30.97","573,950"
05/07/2021,"35.17","35.17","31.81","32.47","495,341"
05/06/2021,"37.59","37.98","31.98","32.81","631,302"
05/05/2021,"36.23","39.58","34.81","38.00","2,487,611"
05/04/2021,"36.08","38.16","34.52","34.92","1,006,522"
05/03/2021,"36.77","37.20","34.52","35.63","885,278"
04/30/2021,"31.11","37.85","31.11","36.32","2,196,146"
04/29/2021,"30.00","35.99","29.00","34.75","10,102,880"
