Date,Open,High,Low,Close,Volume
08/11/2021,"32.60","34.49","32.58","34.14","483,750"
08/10/2021,"32.83","32.97","31.78","32.75","232,652"
08/09/2021,"30.08","32.81","30.03","32.38","266,269"
08/06/2021,"30.00","30.76","29.93","30.31","322,307"
08/05/2021,"28.65","29.92","28.06","29.79","565,747"
08/04/2021,"27.99","28.94","27.96","28.65","300,212"
08/03/2021,"28.25","28.54","27.63","28.07","219,620"
08/02/2021,"27.86","28.25","27.35","28.21","274,208"
07/30/2021,"28.71","29.00","27.22","27.50","563,237"
07/29/2021,"27.36","29.25","27.14","28.48","642,843"
07/28/2021,"26.77","28.11","26.51","27.30","696,417"
07/27/2021,"28.99","29.19","26.27","27.25","2,202,283"
07/26/2021,"27.50","29.45","26.66","28.48","814,479"
07/23/2021,"27.00","27.47","26.12","27.00","628,937"
07/22/2021,"25.50","28.00","25.19","27.01","1,416,746"
07/21/2021,"28.00","30.25","24.00","26.05","10,593,570"
