Date,Open,High,Low,Close,Volume
08/19/2021,"9.83","9.83","9.83","9.83","81"
08/18/2021,"9.75","9.85","9.68","9.83","31,929"
08/17/2021,"9.82","9.82","9.68","9.69","15,584"
08/16/2021,"9.83","9.83","9.83","9.83","2"
08/13/2021,"9.93","10.00","9.83","9.83","1,173"
08/12/2021,"9.97","9.97","9.97","9.97","121"
08/11/2021,"9.97","9.97","9.97","9.97","2"
08/10/2021,"9.90","9.97","9.82","9.97","32,444"
08/09/2021,"9.85","10.00","9.85","9.86","51,811"
08/06/2021,"9.99","9.99","9.86","9.86","2,840"
07/30/2021,"9.99","9.99","9.99","9.99","12"
07/29/2021,"9.90","9.99","9.90","9.99","216,730"
07/28/2021,"9.91","9.91","9.91","9.91","100"
07/27/2021,"10.14","10.14","9.90","9.91","19,651"
07/26/2021,"9.87","10.31","9.87","10.31","155,317"
07/22/2021,"10.00","10.00","10.00","10.00","380"
07/21/2021,"9.86","10.00","9.86","10.00","1,548"
07/14/2021,"10.00","10.00","10.00","10.00","3"
07/13/2021,"10.05","10.05","10.00","10.00","23,702"
07/07/2021,"10.00","10.00","10.00","10.00","13"
07/06/2021,"9.94","10.00","9.90","10.00","23,856"
07/01/2021,"10.14","10.14","10.11","10.11","433"
06/30/2021,"10.14","10.14","10.14","10.14","360"
06/28/2021,"10.00","10.00","10.00","10.00","1"
06/25/2021,"10.00","10.00","10.00","10.00","2,815"
06/24/2021,"10.17","10.18","9.95","10.00","30,151"
06/22/2021,"10.20","10.34","10.20","10.20","3,305"
06/21/2021,"10.00","10.00","10.00","10.00","4"
06/18/2021,"10.00","10.07","10.00","10.00","452"
06/16/2021,"10.00","10.00","10.00","10.00","3"
06/15/2021,"10.02","10.02","10.00","10.00","317"
06/14/2021,"9.96","10.05","9.93","9.93","7,601"
06/10/2021,"9.95","9.95","9.95","9.95","54"
06/09/2021,"10.00","10.00","9.95","9.95","6,803"
06/08/2021,"10.00","10.00","10.00","10.00","110"
06/07/2021,"10.00","10.00","9.99","10.00","1,631"
06/04/2021,"10.01","10.11","9.70","10.00","19,169"
05/26/2021,"10.34","10.35","10.25","10.29","20,209"
05/20/2021,"10.00","10.00","10.00","10.00","26"
05/19/2021,"10.10","10.18","9.94","10.00","216,068"
05/18/2021,"10.32","10.32","10.00","10.11","102,204"
05/17/2021,"10.85","10.85","10.50","10.52","6,330"
05/14/2021,"10.81","10.81","10.81","10.81","197"
05/13/2021,"10.84","10.84","10.84","10.84","108"
05/12/2021,"10.84","10.84","10.84","10.84","174"
05/11/2021,"10.71","10.71","10.71","10.71","77"
05/10/2021,"10.42","10.71","10.42","10.71","909"
05/07/2021,"10.82","10.82","10.82","10.82","124"
05/06/2021,"10.63","10.63","10.63","10.63","131"
05/05/2021,"10.63","10.63","10.63","10.63","136"
05/04/2021,"10.64","10.64","10.64","10.64","165"
05/03/2021,"10.63","10.66","10.54","10.64","14,786"
04/30/2021,"10.73","10.73","10.73","10.73","180"
04/29/2021,"10.73","10.73","10.73","10.73","681"
04/28/2021,"10.73","10.73","10.73","10.73","27"
04/27/2021,"10.73","10.73","10.73","10.73","450"
04/26/2021,"10.81","10.81","10.81","10.81","412"
04/23/2021,"10.88","10.95","10.57","10.95","2,806"
04/22/2021,"11.00","11.00","10.34","10.90","2,125"
04/21/2021,"10.56","11.00","10.17","11.00","1,137"
04/20/2021,"10.32","10.92","10.22","10.72","4,026"
04/19/2021,"10.93","11.00","10.89","11.00","6,729"
04/16/2021,"10.92","11.00","10.92","11.00","106,196"
04/15/2021,"11.10","11.10","10.86","10.99","35,770"
04/14/2021,"10.89","11.33","10.84","11.29","33,546"
04/13/2021,"10.90","10.90","10.90","10.90","283"
04/12/2021,"10.75","10.75","10.75","10.75","645"
04/09/2021,"10.89","10.89","10.69","10.80","120,563"
04/08/2021,"10.60","11.21","10.60","11.21","18,374"
04/07/2021,"10.60","10.71","10.60","10.65","17,167"
04/06/2021,"10.51","10.65","10.50","10.65","26,503"
04/05/2021,"10.50","10.75","10.49","10.54","14,353"
04/01/2021,"10.38","10.49","10.38","10.48","7,707"
03/31/2021,"10.38","10.38","10.25","10.25","2,674"
03/30/2021,"10.39","10.41","10.39","10.41","349"
03/29/2021,"10.20","10.27","10.16","10.27","10,293"
03/26/2021,"10.15","10.18","10.15","10.17","102,884"
03/25/2021,"10.21","10.48","10.15","10.18","53,734"
03/24/2021,"10.20","10.40","10.16","10.16","93,918"
03/23/2021,"10.24","10.38","10.23","10.30","27,824"
03/22/2021,"10.45","10.45","10.20","10.25","13,869"
03/19/2021,"10.48","10.48","10.22","10.22","146,039"
03/18/2021,"10.22","10.33","10.16","10.21","1,155,713"
