Date,Open,High,Low,Close,Volume
08/12/2021,"16.72","18.43","16.05","18.40","79,264"
08/11/2021,"15.95","16.50","15.77","16.48","68,769"
08/10/2021,"16.24","16.24","15.34","15.74","53,939"
08/09/2021,"17.00","17.00","15.83","16.21","43,616"
08/06/2021,"16.52","16.94","16.48","16.92","21,371"
08/05/2021,"16.31","17.33","16.04","16.48","35,838"
08/04/2021,"15.97","16.29","15.80","16.20","16,929"
08/03/2021,"15.90","16.50","15.86","15.92","19,814"
08/02/2021,"16.66","17.24","15.76","15.86","49,216"
07/30/2021,"17.28","17.41","16.10","16.65","66,810"
07/29/2021,"17.53","18.00","17.18","17.38","28,156"
07/28/2021,"17.18","17.62","16.95","17.55","37,172"
07/27/2021,"16.78","17.19","15.71","17.06","53,837"
07/26/2021,"17.22","17.22","16.51","16.74","64,106"
07/23/2021,"18.56","18.56","17.20","17.46","46,825"
07/22/2021,"19.22","19.66","18.33","18.46","40,897"
07/21/2021,"19.28","19.60","18.91","19.05","54,717"
07/20/2021,"19.14","19.70","18.70","19.20","73,408"
07/19/2021,"18.81","19.73","18.81","19.22","32,485"
07/16/2021,"19.68","20.31","19.30","19.62","56,753"
07/15/2021,"19.41","19.92","18.88","19.60","63,840"
07/14/2021,"20.15","20.15","18.17","19.75","87,464"
07/13/2021,"20.82","22.22","19.89","20.14","74,920"
07/12/2021,"19.84","21.05","19.25","20.91","87,092"
07/09/2021,"18.64","19.91","18.46","19.79","151,151"
07/08/2021,"18.00","18.64","17.35","18.55","78,194"
07/07/2021,"17.93","18.35","17.22","18.15","160,255"
07/06/2021,"15.80","16.68","15.25","16.56","494,726"
07/02/2021,"16.10","16.22","15.76","15.87","65,445"
07/01/2021,"15.56","16.43","15.50","16.21","383,699"
06/30/2021,"16.16","16.75","15.25","15.54","131,680"
06/29/2021,"16.66","16.91","16.05","16.30","130,217"
06/28/2021,"17.29","17.29","16.25","16.76","162,109"
06/25/2021,"17.44","17.97","16.86","17.24","1,020,823"
06/24/2021,"16.22","17.90","16.22","17.47","297,950"
06/23/2021,"16.13","16.42","15.70","16.15","210,740"
06/22/2021,"17.16","17.20","15.65","16.07","209,523"
06/21/2021,"18.15","18.52","16.84","17.22","308,672"
06/18/2021,"18.02","19.21","17.96","18.05","368,651"
06/17/2021,"19.08","19.64","18.30","18.49","147,809"
06/16/2021,"18.73","19.51","18.48","19.02","118,055"
06/15/2021,"19.13","19.63","18.05","18.59","126,245"
06/14/2021,"19.93","20.27","19.19","19.36","122,282"
06/11/2021,"19.88","20.11","19.57","19.70","131,089"
06/10/2021,"19.78","20.32","19.50","19.88","75,024"
06/09/2021,"19.60","19.87","19.26","19.52","73,946"
06/08/2021,"19.14","19.88","18.85","19.34","146,727"
06/07/2021,"18.96","19.49","18.31","19.13","137,132"
06/04/2021,"19.18","19.23","18.33","19.12","100,788"
06/03/2021,"19.41","19.60","18.73","19.06","88,356"
06/02/2021,"20.27","20.35","18.51","19.62","122,646"
06/01/2021,"20.18","20.74","19.03","19.88","102,723"
05/28/2021,"20.50","20.70","19.85","19.87","112,203"
05/27/2021,"20.36","20.83","20.09","20.30","137,554"
05/26/2021,"19.69","20.88","19.56","20.00","351,228"
05/25/2021,"18.33","20.70","18.17","18.98","707,715"
05/24/2021,"15.64","17.40","15.64","17.35","304,594"
05/21/2021,"16.73","17.10","15.53","16.00","260,951"
05/20/2021,"16.22","16.78","15.87","16.28","194,829"
05/19/2021,"16.70","16.70","15.76","16.32","114,117"
05/18/2021,"16.65","17.50","16.30","16.65","412,662"
05/17/2021,"15.19","16.61","14.80","15.97","112,035"
05/14/2021,"15.25","15.88","14.62","15.33","185,087"
05/13/2021,"16.07","16.82","14.08","15.08","314,856"
05/12/2021,"16.19","16.78","15.63","15.91","67,971"
05/11/2021,"17.02","17.73","16.02","16.40","104,240"
05/10/2021,"18.50","18.50","17.71","17.86","67,355"
05/07/2021,"16.70","18.42","16.58","18.39","140,533"
05/06/2021,"17.23","17.23","16.08","16.67","241,525"
05/05/2021,"17.19","17.25","16.62","17.10","120,720"
05/04/2021,"17.15","17.24","16.06","16.96","153,098"
05/03/2021,"16.40","17.47","16.20","17.10","128,574"
04/30/2021,"16.10","16.37","15.52","16.37","128,487"
04/29/2021,"16.41","16.70","16.00","16.00","175,909"
04/28/2021,"16.20","16.87","15.62","16.20","374,318"
04/27/2021,"15.36","15.94","14.72","15.34","287,478"
04/26/2021,"15.35","15.88","14.31","15.40","651,617"
04/23/2021,"22.10","23.90","15.10","15.80","4,425,591"
