Date,Open,High,Low,Close,Volume
08/12/2021,"3.0300","3.1900","2.9700","3.1300","951,413"
08/11/2021,"3.0500","3.0900","2.9400","3.0900","469,137"
08/10/2021,"3.1700","3.1700","2.9000","3.0100","1,090,866"
08/09/2021,"3.0500","3.3500","2.9800","3.1700","1,975,881"
08/06/2021,"3.0500","3.0800","2.9600","3.0500","623,409"
08/05/2021,"2.9500","3.1100","2.8603","3.0800","833,266"
08/04/2021,"3.0900","3.0900","2.8700","2.8900","1,395,920"
08/03/2021,"3.0500","3.1300","2.9500","3.0800","904,354"
08/02/2021,"3.2000","3.2290","3.0500","3.0600","1,118,368"
07/30/2021,"3.0900","3.2200","3.0800","3.1500","529,326"
07/29/2021,"3.2300","3.3199","3.1100","3.1200","793,158"
07/28/2021,"3.1500","3.5300","3.1300","3.3000","1,178,436"
07/27/2021,"3.2100","3.2800","3.0750","3.2000","1,475,553"
07/26/2021,"3.2100","3.3300","3.1200","3.2700","1,476,204"
07/23/2021,"3.4600","3.5399","3.1200","3.2200","2,260,895"
07/22/2021,"3.8200","3.9000","3.5000","3.5300","2,241,265"
07/21/2021,"4.0300","4.1500","3.7700","3.8300","4,439,277"
07/20/2021,"4.1500","4.2800","4.0000","4.1500","4,357,276"
07/19/2021,"4.3700","4.4100","3.6800","4.1000","15,665,390"
07/16/2021,"4.8600","7.4600","4.8000","7.1000","29,172,289"
07/15/2021,"4.7000","5.2500","4.2000","5.0300","7,214,413"
07/14/2021,"3.9000","5.1200","3.8800","4.8800","13,814,050"
07/13/2021,"3.0300","6.0600","2.8500","4.7600","76,559,773"
07/12/2021,"3.0100","3.0899","2.8500","2.9700","164,551"
07/09/2021,"2.9100","3.1500","2.9100","3.0000","437,881"
07/08/2021,"2.7200","3.0466","2.7200","3.0000","624,227"
07/07/2021,"3.0900","3.1400","2.7201","2.9000","2,057,256"
07/06/2021,"2.5700","3.7000","2.4600","3.4900","18,360,840"
07/02/2021,"2.5100","2.5700","2.4500","2.5400","165,032"
07/01/2021,"2.6000","2.6364","2.4802","2.5100","256,855"
06/30/2021,"2.8582","2.8582","2.5600","2.6000","524,027"
06/29/2021,"2.4500","2.9300","2.4500","2.8500","2,294,586"
06/28/2021,"2.6300","2.6300","2.4500","2.5100","251,173"
06/25/2021,"2.5800","2.6200","2.4700","2.6000","398,010"
06/24/2021,"2.5300","2.6253","2.4600","2.5700","146,560"
06/23/2021,"2.7100","2.7200","2.4400","2.5200","646,315"
06/22/2021,"2.4600","2.6600","2.4500","2.6600","421,118"
06/21/2021,"2.8600","2.9018","2.4000","2.4100","784,692"
06/18/2021,"3.0200","3.0800","2.7900","2.8000","296,028"
06/17/2021,"3.0600","3.1700","2.9800","3.0300","302,107"
06/16/2021,"2.9000","3.2100","2.8000","3.1500","571,679"
06/15/2021,"3.4000","3.7400","2.7800","2.8900","1,259,800"
06/14/2021,"3.4300","3.6000","3.3739","3.5200","365,914"
06/11/2021,"3.2300","3.4100","3.0700","3.4000","329,465"
06/10/2021,"3.2400","3.3753","3.0500","3.2300","428,175"
06/09/2021,"2.9700","3.2500","2.9100","3.1900","932,877"
06/08/2021,"2.6400","2.9200","2.4500","2.9100","1,025,601"
06/07/2021,"2.4800","2.6300","2.3900","2.6000","1,504,100"
06/04/2021,"2.5000","2.5000","2.3500","2.3800","274,434"
06/03/2021,"2.5300","2.5800","2.4400","2.4900","181,474"
06/02/2021,"2.6000","2.6399","2.4500","2.4700","291,121"
06/01/2021,"2.6400","2.6558","2.5100","2.5800","382,572"
05/28/2021,"2.6500","2.7000","2.5100","2.5300","595,465"
05/27/2021,"2.7000","2.7300","2.6200","2.6200","489,987"
05/26/2021,"2.7500","2.8700","2.6500","2.6700","126,556"
05/25/2021,"2.7000","2.8600","2.7000","2.7000","64,647"
05/24/2021,"2.9100","2.9606","2.6000","2.6500","73,208"
05/21/2021,"2.9400","3.0000","2.8500","2.8500","100,353"
05/20/2021,"2.7400","2.9000","2.5900","2.8400","63,719"
05/19/2021,"2.6800","2.8900","2.5100","2.7400","135,628"
05/18/2021,"2.7900","2.8500","2.6000","2.7400","125,135"
05/17/2021,"3.0100","3.1250","2.8000","2.8500","118,711"
05/14/2021,"3.2200","3.2300","3.0000","3.1400","109,009"
05/13/2021,"3.4600","3.5900","2.7800","3.2400","182,546"
05/12/2021,"3.7500","3.7600","3.4100","3.5000","236,207"
05/11/2021,"3.6900","3.8917","3.6000","3.8200","339,777"
05/10/2021,"3.9900","3.9900","3.7900","3.8600","86,955"
05/07/2021,"3.9000","4.0000","3.7600","3.8400","148,017"
05/06/2021,"3.9300","4.0600","3.7800","3.8700","256,018"
05/05/2021,"3.8000","4.0500","3.6500","3.8400","317,690"
05/04/2021,"3.8400","3.8800","3.6600","3.8400","559,029"
05/03/2021,"4.1394","4.1498","3.7000","3.9300","343,166"
04/30/2021,"4.2630","4.5500","4.0000","4.0400","924,512"
