Date,Open,High,Low,Close,Volume
08/30/2021,"9.05","9.31","8.95","9.06","485,437"
08/27/2021,"9.11","9.30","9.00","9.04","159,556"
08/26/2021,"9.27","9.45","8.98","8.98","218,486"
08/25/2021,"9.23","9.47","9.18","9.20","388,495"
08/24/2021,"9.43","9.57","9.15","9.24","736,161"
08/23/2021,"9.48","9.65","8.98","9.02","395,646"
08/20/2021,"9.51","9.94","9.06","9.16","611,666"
08/19/2021,"10.73","11.16","8.90","8.90","333,775"
08/18/2021,"12.00","12.04","10.50","10.72","490,626"
08/17/2021,"11.21","12.69","11.21","11.61","626,604"
08/16/2021,"13.37","13.37","10.96","11.01","328,568"
08/13/2021,"13.20","13.44","13.00","13.13","231,685"
08/12/2021,"13.20","13.54","13.08","13.23","158,555"
08/11/2021,"13.29","13.65","12.72","13.04","258,391"
08/10/2021,"12.74","13.45","12.74","13.10","225,255"
08/09/2021,"12.69","13.16","12.43","12.75","242,424"
08/06/2021,"12.33","12.80","12.33","12.60","177,285"
08/05/2021,"12.47","12.69","12.16","12.28","191,815"
08/04/2021,"12.14","12.61","12.06","12.16","127,809"
08/03/2021,"12.36","12.36","11.93","12.12","157,171"
08/02/2021,"11.19","11.90","11.19","11.67","127,813"
07/30/2021,"11.78","12.20","10.91","11.00","452,105"
07/29/2021,"12.09","12.38","11.62","11.88","298,924"
07/28/2021,"11.70","12.24","11.17","12.01","423,226"
07/27/2021,"13.29","13.40","10.37","11.09","554,301"
07/26/2021,"13.65","13.67","13.00","13.07","349,885"
07/23/2021,"13.82","13.84","13.46","13.61","245,381"
07/22/2021,"13.86","14.01","13.61","13.69","132,764"
07/21/2021,"13.63","14.22","13.62","13.86","349,432"
07/20/2021,"13.81","14.00","13.17","13.45","213,087"
07/19/2021,"14.00","14.02","13.35","13.73","152,247"
07/16/2021,"14.25","14.50","14.00","14.02","302,148"
07/15/2021,"14.67","14.67","13.80","14.00","475,553"
07/14/2021,"14.86","14.94","13.60","14.00","512,066"
07/13/2021,"14.40","14.40","13.70","14.04","430,906"
07/12/2021,"14.12","14.21","13.50","14.00","246,484"
07/09/2021,"14.04","14.58","14.00","14.12","292,072"
07/08/2021,"13.40","13.71","13.00","13.59","365,633"
07/07/2021,"14.60","14.61","13.71","13.92","854,852"
07/06/2021,"14.41","14.50","14.01","14.10","238,600"
07/02/2021,"14.75","14.91","14.66","14.91","153,142"
07/01/2021,"14.95","14.95","14.60","14.80","120,827"
06/30/2021,"14.08","15.23","14.08","14.95","899,497"
06/29/2021,"14.15","14.20","13.87","14.03","419,009"
06/28/2021,"14.26","14.31","13.88","14.03","256,088"
06/25/2021,"14.33","14.90","14.06","14.17","325,019"
06/24/2021,"14.32","14.49","14.00","14.30","422,650"
06/23/2021,"13.91","14.50","13.84","14.23","687,884"
06/22/2021,"14.16","14.16","13.51","13.84","327,491"
06/21/2021,"16.22","16.22","13.62","14.56","1,986,783"
06/18/2021,"18.28","18.49","16.00","17.21","5,826,237"
