Date,Open,High,Low,Close,Volume
08/30/2021,"29.30","30.85","27.27","28.88","321,837"
08/27/2021,"32.78","37.50","28.66","30.01","1,085,230"
08/26/2021,"36.92","42.20","28.13","30.50","4,047,682"
08/25/2021,"33.62","59.00","27.55","46.33","21,555,160"
08/24/2021,"15.49","17.40","13.15","15.30","2,092,879"
08/23/2021,"13.88","18.59","12.10","13.74","2,137,421"
08/20/2021,"6.00","26.70","6.00","19.16","10,298,620"
08/19/2021,"7.93","7.99","6.24","6.30","28,941"
08/18/2021,"7.50","8.90","7.50","7.86","39,481"
08/17/2021,"8.75","8.75","7.03","7.03","4,715"
08/16/2021,"8.77","8.93","8.75","8.75","2,451"
08/13/2021,"8.78","8.78","8.75","8.75","4,334"
08/12/2021,"8.79","8.82","8.78","8.82","5,015"
08/11/2021,"8.78","8.90","8.78","8.81","644"
08/10/2021,"9.00","9.00","9.00","9.00","1,121"
08/09/2021,"8.93","8.93","8.75","8.75","631"
08/06/2021,"8.75","9.30","8.75","9.30","1,261"
08/05/2021,"9.04","9.30","9.00","9.30","2,278"
08/04/2021,"9.14","9.14","8.75","8.75","755"
08/03/2021,"9.15","9.20","9.00","9.00","1,102"
08/02/2021,"9.08","9.50","8.76","9.20","3,383"
07/30/2021,"9.17","9.17","9.17","9.17","183"
07/29/2021,"8.94","9.24","8.94","9.20","1,117"
07/28/2021,"9.07","9.20","9.00","9.11","3,927"
07/27/2021,"8.80","9.00","8.76","9.00","1,058"
07/26/2021,"9.03","9.40","8.80","8.80","6,728"
07/23/2021,"8.70","9.15","8.70","9.15","11,561"
07/22/2021,"9.18","9.18","8.70","9.06","6,459"
07/21/2021,"8.99","9.10","8.65","8.91","19,532"
07/20/2021,"9.55","9.70","9.22","9.27","23,995"
07/19/2021,"9.45","10.25","9.45","9.56","53,395"
07/16/2021,"12.00","13.20","9.54","10.50","956,112"
