Date,Open,High,Low,Close,Volume
08/12/2021,"4.7400","5.0600","4.7150","4.9200","16,267,400"
08/11/2021,"4.5800","4.7700","4.2800","4.7100","14,580,320"
08/10/2021,"4.7000","4.7700","4.4500","4.6100","5,524,573"
08/09/2021,"4.4800","4.6400","4.3600","4.5400","4,887,453"
08/06/2021,"4.6500","4.6700","4.3200","4.4600","10,926,300"
08/05/2021,"4.5100","4.8100","4.3800","4.6500","9,293,161"
08/04/2021,"5.2000","5.2000","4.5300","4.6100","31,266,910"
08/03/2021,"4.6200","4.9200","4.5200","4.8500","7,841,843"
08/02/2021,"4.4900","4.8800","4.3000","4.6500","13,570,280"
07/30/2021,"4.5000","4.5000","4.1626","4.3600","6,109,534"
07/29/2021,"4.7300","4.7500","4.4000","4.4700","10,156,890"
07/28/2021,"4.4800","5.3200","4.0500","4.3800","37,181,367"
07/27/2021,"4.8800","4.9000","4.1100","4.3100","16,395,619"
07/26/2021,"4.4800","4.9300","4.3000","4.4600","16,001,870"
07/23/2021,"5.3900","5.5000","4.8200","4.9700","26,130,400"
07/22/2021,"6.1700","6.2100","5.5250","5.7100","16,314,980"
07/21/2021,"6.1400","6.4600","6.1000","6.1500","7,556,814"
07/20/2021,"6.5000","6.6900","6.0200","6.0800","10,157,550"
07/19/2021,"6.3200","6.4100","5.9900","6.3600","7,124,453"
07/16/2021,"7.2300","7.2500","6.4000","6.5600","15,959,070"
07/15/2021,"7.2600","7.3800","7.1500","7.2500","3,194,328"
07/14/2021,"7.6700","7.6700","7.2100","7.2400","5,037,303"
07/13/2021,"7.6050","7.7500","7.5500","7.5800","4,314,122"
07/12/2021,"8.0800","8.0800","7.5200","7.5300","5,691,264"
07/09/2021,"7.9500","8.0700","7.6450","7.9600","5,077,537"
07/08/2021,"7.9100","7.9450","7.5700","7.7800","5,914,822"
07/07/2021,"8.2800","8.2800","8.0100","8.1400","2,741,436"
07/06/2021,"8.2150","8.2500","8.0000","8.1000","4,799,834"
07/02/2021,"8.6700","8.7000","8.3500","8.4300","4,159,347"
07/01/2021,"8.7000","8.9700","8.6700","8.7700","2,429,303"
06/30/2021,"8.6000","8.8500","8.5150","8.7300","2,555,813"
06/29/2021,"8.9500","8.9500","8.4800","8.7100","6,860,655"
06/28/2021,"9.0700","9.0978","8.9800","9.0300","3,534,272"
06/25/2021,"9.4200","9.4300","8.9500","9.0600","3,403,887"
06/24/2021,"8.9500","9.4400","8.8800","9.2700","7,529,340"
06/23/2021,"8.6850","9.1000","8.5700","8.7200","5,675,218"
06/22/2021,"8.5100","8.5700","8.3000","8.4200","3,029,407"
06/21/2021,"8.8000","8.9700","8.2900","8.5100","8,260,853"
06/18/2021,"8.9200","9.1050","8.7800","8.9900","12,304,520"
06/17/2021,"9.4200","9.4200","8.8000","8.8200","6,901,966"
06/16/2021,"9.2100","9.5650","8.7500","9.4000","6,813,024"
06/15/2021,"9.2500","9.8050","9.2100","9.3500","4,616,699"
06/14/2021,"9.6000","9.6000","9.1100","9.4400","3,569,481"
06/11/2021,"9.2500","9.5000","9.1200","9.4800","3,465,299"
06/10/2021,"9.4500","9.7000","9.1000","9.1500","5,746,416"
06/09/2021,"9.1400","9.9300","9.1400","9.2700","8,426,559"
06/08/2021,"9.1800","9.4100","8.9000","9.0100","10,480,170"
06/07/2021,"10.0400","10.0400","8.9000","9.0000","22,293,150"
06/04/2021,"10.4100","10.6799","9.8900","9.9000","9,395,607"
06/03/2021,"10.9600","11.1600","10.7000","10.8700","3,913,223"
06/02/2021,"12.7200","12.7600","10.6100","11.2200","13,498,750"
06/01/2021,"11.6000","12.1410","11.3200","11.8500","4,362,073"
05/28/2021,"11.8400","11.8900","11.1700","11.3100","5,182,381"
05/27/2021,"10.7500","11.9900","10.4200","11.7300","8,455,296"
05/26/2021,"9.7900","11.0000","9.5500","10.8800","17,535,779"
05/25/2021,"11.3800","11.5100","10.9100","11.0200","3,272,463"
05/24/2021,"11.5800","11.6400","11.2500","11.2600","1,854,460"
05/21/2021,"11.6700","11.9005","11.5500","11.6000","2,535,523"
05/20/2021,"12.0950","12.0950","11.2300","11.6300","5,425,196"
05/19/2021,"11.5200","12.1450","11.4400","12.1400","3,860,491"
05/18/2021,"12.0800","12.6000","11.8500","12.1000","6,374,856"
05/17/2021,"11.2400","12.0000","11.1100","11.7600","6,586,772"
05/14/2021,"10.4900","11.0800","10.4900","10.9700","2,519,451"
05/13/2021,"10.7100","10.8000","10.2210","10.3800","2,916,257"
05/12/2021,"10.7600","10.8400","10.3600","10.7600","2,324,471"
05/11/2021,"9.7800","11.0000","9.7800","10.8300","5,586,782"
05/10/2021,"10.9540","11.0600","9.9300","9.9400","3,118,033"
05/07/2021,"10.5900","11.3400","10.5800","11.0400","2,475,356"
05/06/2021,"10.8800","10.9900","10.3900","10.7600","1,759,364"
05/05/2021,"10.6000","11.0300","10.6000","10.8300","2,448,625"
05/04/2021,"11.0950","11.0950","10.2800","10.5100","3,787,911"
05/03/2021,"11.0600","11.3200","10.9009","11.1000","2,951,369"
04/30/2021,"10.9600","11.5700","10.8000","10.8900","5,154,953"
04/29/2021,"11.6900","11.8800","10.8850","10.9900","8,336,790"
04/28/2021,"12.2300","12.5100","12.0000","12.0100","6,298,867"
04/27/2021,"12.4600","12.6200","12.3200","12.5000","7,085,527"
04/26/2021,"12.1600","12.5400","11.7300","12.5300","6,731,956"
04/23/2021,"10.8500","12.4200","10.7000","12.1200","12,193,130"
04/22/2021,"10.2050","11.1000","10.1500","10.5000","8,369,392"
04/21/2021,"9.1050","10.0700","9.1000","9.8800","4,549,245"
04/20/2021,"9.6000","9.6300","8.9400","9.0800","3,176,367"
04/19/2021,"9.3400","9.4700","9.1300","9.2800","3,747,359"
04/16/2021,"9.2000","9.2000","9.0000","9.1000","1,893,409"
04/15/2021,"9.3000","9.3057","9.0500","9.2500","2,940,599"
04/14/2021,"9.1200","9.3200","8.9700","9.2000","3,183,554"
04/13/2021,"9.2100","9.3800","8.8401","9.0000","5,177,847"
04/12/2021,"9.3400","9.3500","8.4200","8.5600","9,014,452"
04/09/2021,"9.8200","9.8609","9.2100","9.3200","6,527,039"
04/08/2021,"9.8250","10.1200","9.7200","10.0000","5,009,597"
04/07/2021,"9.9400","10.0000","9.5000","9.5600","4,357,188"
04/06/2021,"10.2100","10.3800","9.9000","10.0700","4,401,431"
04/05/2021,"11.2200","11.2200","9.8200","10.1300","7,895,103"
04/01/2021,"10.7600","11.3100","10.5800","10.9500","7,275,271"
03/31/2021,"10.3700","10.6300","10.1800","10.3600","5,422,583"
03/30/2021,"10.2200","10.6600","9.9100","10.2100","7,986,895"
03/29/2021,"9.0700","10.8700","9.0200","10.6700","19,616,920"
03/26/2021,"9.2200","9.4500","8.4100","9.1200","20,662,109"
03/25/2021,"8.3300","9.8000","8.2400","9.1800","19,935,600"
03/24/2021,"10.3900","10.4800","7.8900","8.9400","53,408,090"
03/23/2021,"10.4200","11.1000","10.0100","10.1000","32,734,699"
03/22/2021,"12.7200","12.9000","10.1400","10.1500","107,476,094"
03/19/2021,"19.0200","20.0300","18.7850","19.4600","4,469,933"
03/18/2021,"17.5500","19.5700","17.5500","18.5600","5,297,830"
03/17/2021,"18.5000","18.5900","17.0300","18.0600","5,512,685"
03/16/2021,"19.6300","20.6500","18.7200","19.0000","5,378,420"
03/15/2021,"18.6000","19.8900","17.5200","19.5600","5,639,768"
03/12/2021,"17.5200","18.0600","16.9500","17.3500","8,773,795"
03/11/2021,"16.2500","19.3000","15.5000","18.8000","11,104,960"
03/10/2021,"16.4900","16.9800","14.9000","15.3600","7,378,079"
03/09/2021,"14.8700","16.3200","14.4100","16.1300","5,607,022"
03/08/2021,"15.9600","16.4700","13.7000","13.8300","6,514,916"
03/05/2021,"17.4000","17.5800","15.0000","16.0900","9,103,612"
03/04/2021,"17.0600","18.9300","16.4000","16.6300","8,535,871"
03/03/2021,"19.3000","19.7800","17.8900","17.9400","3,924,482"
03/02/2021,"19.3700","21.5400","18.9500","18.9500","4,457,419"
03/01/2021,"18.4200","20.0700","18.0800","19.8800","4,739,330"
02/26/2021,"17.2900","18.3900","16.0000","17.5100","7,592,858"
02/25/2021,"19.2000","19.4900","16.8500","17.2100","6,996,458"
02/24/2021,"19.8700","20.2800","18.8300","19.4600","4,459,774"
02/23/2021,"18.7700","20.5700","17.5000","20.1200","11,044,450"
02/22/2021,"20.2900","20.4600","19.3000","19.8400","13,173,700"
02/19/2021,"22.7400","23.0000","20.7500","21.0400","8,997,133"
02/18/2021,"23.0900","23.5600","21.6000","22.6100","7,828,520"
02/17/2021,"23.4400","24.9900","22.8200","23.7200","4,415,861"
02/16/2021,"24.1200","24.6000","22.7100","23.9700","6,309,690"
02/12/2021,"24.9000","25.0000","24.0000","24.4800","3,152,230"
02/11/2021,"22.4000","25.5200","22.2900","24.9500","8,318,176"
02/10/2021,"22.9600","23.5400","22.0600","22.4300","5,104,245"
02/09/2021,"22.9100","23.2500","22.1300","22.5200","7,498,841"
02/08/2021,"23.4300","23.6600","22.0000","22.0400","15,065,660"
02/05/2021,"25.2200","25.2200","23.6500","24.2300","5,445,204"
02/04/2021,"26.2600","27.4800","24.1100","25.1400","18,787,490"
02/03/2021,"27.1700","27.1700","25.9000","26.7600","5,925,103"
02/02/2021,"23.9100","25.9900","23.6300","25.8700","13,089,000"
02/01/2021,"23.4300","24.0000","22.1500","23.0000","9,802,685"
01/29/2021,"24.6900","25.8000","22.1000","22.5000","13,582,970"
01/28/2021,"24.1292","25.9000","22.5365","24.2700","12,193,020"
01/27/2021,"23.6000","25.5000","22.0000","23.1600","20,218,730"
01/26/2021,"28.5300","28.5300","24.0000","24.0400","27,163,980"
01/25/2021,"34.2300","35.0000","26.2000","28.6300","52,581,039"
01/22/2021,"22.3400","30.9700","22.3000","29.5100","95,762,062"
