Date,Open,High,Low,Close,Volume
08/30/2021,"13.02","13.40","12.67","12.87","113,292"
08/27/2021,"13.00","13.40","12.80","13.00","102,757"
08/26/2021,"13.00","13.15","12.75","13.13","90,312"
08/25/2021,"12.86","13.20","12.70","12.83","30,916"
08/24/2021,"13.00","13.21","12.67","13.09","60,161"
08/23/2021,"13.40","13.71","12.82","12.88","176,274"
08/20/2021,"13.05","13.44","12.26","12.69","64,742"
08/19/2021,"13.73","15.10","11.86","12.92","132,771"
08/18/2021,"15.21","15.39","13.77","14.18","121,107"
08/17/2021,"15.60","16.08","14.54","14.76","103,453"
08/16/2021,"16.62","17.18","15.21","15.55","71,818"
08/13/2021,"16.52","17.24","16.52","17.10","82,482"
08/12/2021,"17.40","18.27","16.70","17.15","86,610"
08/11/2021,"18.01","18.36","17.00","17.44","149,374"
08/10/2021,"18.28","18.93","17.62","18.32","68,251"
08/09/2021,"18.06","19.48","17.25","18.78","94,056"
08/06/2021,"24.10","24.10","18.25","18.79","140,352"
08/05/2021,"20.08","23.72","19.71","23.40","112,685"
08/04/2021,"19.18","20.35","18.01","19.50","138,839"
08/03/2021,"18.32","21.12","17.40","19.18","332,639"
08/02/2021,"16.51","19.00","14.54","18.00","310,950"
07/30/2021,"16.27","25.78","15.65","17.00","1,804,142"
07/29/2021,"14.92","15.67","13.20","14.10","670,914"
