Date,Open,High,Low,Close,Volume
08/30/2021,"7.92","8.40","6.28","6.39","54,449,600"
08/27/2021,"5.96","6.56","5.88","6.40","10,122,970"
08/26/2021,"5.76","6.02","5.70","5.91","2,101,858"
08/25/2021,"5.92","6.20","5.78","5.80","3,957,276"
08/24/2021,"5.65","6.03","5.64","5.84","4,039,239"
08/23/2021,"5.73","5.73","5.36","5.56","2,787,321"
08/20/2021,"5.65","5.73","5.52","5.65","3,047,829"
08/19/2021,"5.85","5.95","5.59","5.65","3,613,978"
08/18/2021,"5.53","6.04","5.48","5.83","8,783,948"
08/17/2021,"5.40","5.83","5.36","5.55","9,259,700"
08/16/2021,"5.25","5.80","5.20","5.50","12,134,600"
08/13/2021,"5.46","5.50","5.19","5.23","8,315,271"
08/12/2021,"6.80","6.80","5.30","5.54","22,810,609"
08/11/2021,"6.89","6.99","6.62","6.87","8,754,180"
08/10/2021,"7.62","7.62","6.85","6.87","6,435,734"
08/09/2021,"7.24","7.63","7.24","7.56","2,435,470"
08/06/2021,"7.23","7.66","7.16","7.17","2,581,413"
08/05/2021,"7.22","7.27","6.98","7.22","3,132,557"
08/04/2021,"7.36","7.53","7.11","7.28","1,737,010"
08/03/2021,"7.21","7.42","7.09","7.37","2,163,109"
08/02/2021,"7.69","7.69","7.23","7.25","3,803,333"
07/30/2021,"7.64","7.82","7.50","7.63","1,452,003"
07/29/2021,"7.76","8.01","7.59","7.75","1,298,092"
07/28/2021,"7.50","7.87","7.44","7.69","1,844,718"
07/27/2021,"7.70","7.77","7.25","7.44","2,901,904"
07/26/2021,"7.69","8.01","7.60","7.78","1,996,020"
07/23/2021,"7.97","7.97","7.57","7.66","2,083,895"
07/22/2021,"8.25","8.27","7.83","7.92","1,715,099"
07/21/2021,"8.17","8.51","8.03","8.20","2,174,453"
07/20/2021,"8.01","8.23","7.56","8.15","3,925,976"
07/19/2021,"7.86","8.04","7.76","7.96","2,716,446"
07/16/2021,"8.29","8.53","7.92","8.04","12,901,190"
07/15/2021,"8.22","8.71","8.04","8.31","3,476,675"
07/14/2021,"8.77","8.81","8.16","8.19","3,528,997"
07/13/2021,"8.99","9.08","8.70","8.76","2,082,681"
07/12/2021,"9.15","9.26","8.79","8.98","2,029,895"
07/09/2021,"9.14","9.21","8.92","9.15","1,723,362"
07/08/2021,"8.96","9.65","8.81","9.08","3,113,728"
07/07/2021,"9.54","9.60","9.01","9.07","1,937,150"
07/06/2021,"9.65","9.95","9.44","9.49","1,871,428"
07/02/2021,"9.94","10.02","9.43","9.56","2,601,625"
07/01/2021,"10.80","10.80","9.86","9.94","3,674,377"
06/30/2021,"10.64","10.96","10.39","10.82","1,897,923"
06/29/2021,"11.12","11.49","10.59","10.80","3,774,871"
06/28/2021,"10.94","11.11","10.71","11.06","3,917,348"
06/25/2021,"11.16","11.17","10.25","10.75","12,481,860"
06/24/2021,"10.80","11.03","10.66","10.96","3,239,733"
06/23/2021,"10.75","11.03","10.58","10.79","3,177,728"
06/22/2021,"10.50","10.74","10.34","10.74","2,407,045"
06/21/2021,"10.71","10.77","10.41","10.57","2,537,932"
06/18/2021,"10.88","11.02","10.60","10.71","4,136,902"
06/17/2021,"10.56","11.20","10.48","10.98","4,165,035"
06/16/2021,"10.66","11.05","10.41","10.78","4,192,587"
06/15/2021,"11.70","11.70","10.72","10.80","6,042,412"
06/14/2021,"11.76","12.27","11.36","12.01","4,609,426"
06/11/2021,"12.20","12.73","11.68","11.99","4,374,361"
06/10/2021,"13.12","13.45","11.50","12.02","9,104,405"
06/09/2021,"13.02","14.70","12.58","13.47","43,145,078"
06/08/2021,"10.08","11.42","9.98","11.31","11,369,600"
06/07/2021,"9.50","9.96","9.25","9.80","2,857,210"
06/04/2021,"9.60","9.88","9.44","9.50","1,741,664"
06/03/2021,"9.80","10.12","9.43","9.58","3,064,427"
06/02/2021,"9.33","10.04","9.15","9.84","4,808,976"
06/01/2021,"9.24","9.36","8.61","9.25","3,712,032"
05/28/2021,"9.06","10.33","9.00","9.12","6,031,237"
05/27/2021,"8.70","9.03","8.55","8.91","2,265,827"
05/26/2021,"8.40","8.86","8.32","8.69","3,609,626"
05/25/2021,"8.87","8.90","8.33","8.38","4,196,334"
05/24/2021,"9.18","9.25","8.80","8.93","1,545,683"
05/21/2021,"9.21","9.41","9.13","9.14","1,080,158"
05/20/2021,"9.07","9.41","9.07","9.26","1,245,093"
05/19/2021,"9.01","9.24","8.82","9.13","2,377,341"
05/18/2021,"9.12","9.60","9.03","9.50","1,343,561"
05/17/2021,"9.29","9.37","8.73","9.12","1,812,706"
05/14/2021,"9.00","9.57","8.71","9.34","3,030,126"
05/13/2021,"9.02","9.13","8.66","8.99","2,420,754"
05/12/2021,"9.14","9.25","8.95","9.06","2,304,931"
05/11/2021,"8.75","9.77","8.19","9.45","4,430,918"
05/10/2021,"10.09","10.13","9.35","9.45","3,692,440"
05/07/2021,"10.24","10.59","9.81","10.39","3,179,419"
05/06/2021,"10.57","11.50","9.85","10.22","6,929,307"
05/05/2021,"10.45","10.90","10.06","10.20","2,326,639"
05/04/2021,"10.41","10.62","9.96","10.50","1,510,048"
05/03/2021,"10.69","10.80","10.25","10.66","1,431,865"
04/30/2021,"10.81","11.09","10.55","10.77","1,486,081"
04/29/2021,"11.12","11.14","10.70","10.85","1,375,564"
04/28/2021,"11.16","11.45","10.72","10.85","1,768,389"
04/27/2021,"11.18","11.66","10.94","11.22","2,197,054"
04/26/2021,"10.56","11.40","10.46","10.98","4,028,771"
04/23/2021,"10.34","11.05","10.30","10.66","2,438,188"
04/22/2021,"10.14","10.56","10.11","10.26","1,480,126"
04/21/2021,"9.77","10.41","9.63","10.20","1,694,360"
04/20/2021,"10.20","10.21","9.42","9.90","2,854,379"
04/19/2021,"11.00","11.02","10.05","10.20","4,001,909"
04/16/2021,"11.00","11.27","10.75","11.11","1,532,755"
04/15/2021,"11.15","11.25","10.55","11.12","2,323,502"
04/14/2021,"11.37","11.76","10.98","11.10","1,885,710"
04/13/2021,"11.24","11.41","10.90","11.29","2,020,086"
04/12/2021,"11.78","11.83","11.21","11.31","2,097,029"
04/09/2021,"12.20","12.25","11.60","11.86","2,723,498"
04/08/2021,"12.16","13.12","12.05","12.35","3,418,183"
04/07/2021,"12.22","12.35","11.90","12.08","1,675,591"
04/06/2021,"11.87","12.63","11.51","12.30","2,806,083"
04/05/2021,"12.35","12.50","11.27","11.96","5,167,044"
04/01/2021,"13.02","13.32","12.18","12.19","3,622,523"
03/31/2021,"12.99","13.68","11.81","12.73","8,150,383"
03/30/2021,"12.91","13.06","11.88","13.04","4,865,788"
03/29/2021,"14.56","14.67","12.74","13.05","6,066,646"
03/26/2021,"13.50","15.41","13.12","14.34","25,378,730"
03/25/2021,"12.14","12.93","11.76","12.87","8,107,927"
03/24/2021,"12.94","12.94","11.91","12.27","4,238,228"
03/23/2021,"11.94","12.96","11.75","12.40","4,414,483"
03/22/2021,"12.71","12.78","11.30","11.88","6,697,624"
03/19/2021,"11.26","12.80","10.93","12.00","7,204,211"
03/18/2021,"11.15","11.75","10.90","11.19","2,838,735"
03/17/2021,"11.10","11.30","10.45","11.29","4,193,718"
03/16/2021,"11.63","12.59","11.05","11.22","4,349,272"
03/15/2021,"11.20","11.77","10.88","11.41","3,389,191"
03/12/2021,"11.71","11.71","10.91","10.99","3,668,705"
03/11/2021,"11.70","12.03","11.10","11.74","3,254,449"
03/10/2021,"12.42","12.42","11.15","11.50","3,646,645"
03/09/2021,"12.07","12.70","11.49","12.17","4,150,882"
03/08/2021,"12.95","13.10","12.31","12.35","1,588,272"
03/05/2021,"13.40","13.46","11.85","12.95","2,280,638"
03/04/2021,"14.09","14.39","12.50","13.44","2,944,298"
03/03/2021,"13.99","15.45","13.85","14.02","3,233,285"
03/02/2021,"13.90","14.35","13.36","13.55","2,214,971"
03/01/2021,"14.01","14.28","13.50","13.81","1,906,749"
02/26/2021,"14.79","15.00","12.85","13.49","8,792,251"
02/25/2021,"16.50","17.16","15.76","16.42","1,800,277"
02/24/2021,"16.92","17.16","16.14","16.32","1,003,375"
02/23/2021,"17.00","17.04","15.53","16.64","1,631,725"
02/22/2021,"17.87","17.87","17.02","17.33","1,873,444"
