Date,Open,High,Low,Close,Volume
08/30/2021,"7.89","10.69","7.79","9.46","589,066"
08/27/2021,"6.90","8.88","6.90","7.90","500,517"
08/26/2021,"7.04","7.53","6.10","6.28","62,520"
08/25/2021,"8.00","8.00","6.72","7.04","43,238"
08/24/2021,"7.60","7.70","7.11","7.39","36,480"
08/23/2021,"7.54","7.84","7.54","7.58","17,071"
08/20/2021,"7.74","7.84","6.60","7.84","53,171"
08/19/2021,"8.00","8.24","7.75","7.87","15,438"
08/18/2021,"8.14","8.40","8.00","8.11","20,881"
08/17/2021,"8.23","8.43","8.12","8.25","11,579"
08/16/2021,"8.26","8.55","8.10","8.22","21,966"
08/13/2021,"8.60","8.62","8.12","8.31","19,588"
08/12/2021,"8.54","8.54","8.23","8.50","17,726"
08/11/2021,"8.49","8.50","8.18","8.50","10,266"
08/10/2021,"8.36","8.49","8.10","8.49","12,962"
08/09/2021,"8.33","8.37","8.00","8.28","38,885"
08/06/2021,"8.21","8.31","8.02","8.22","13,097"
08/05/2021,"8.26","8.29","8.00","8.10","8,127"
08/04/2021,"8.37","8.37","8.05","8.14","9,715"
08/03/2021,"8.56","8.56","8.04","8.29","6,776"
08/02/2021,"8.37","8.66","8.09","8.56","8,562"
07/30/2021,"8.26","8.62","8.15","8.19","18,371"
07/29/2021,"8.73","8.73","8.30","8.46","8,656"
07/28/2021,"8.83","8.83","8.48","8.67","9,581"
07/27/2021,"8.91","8.97","8.50","8.82","27,914"
07/26/2021,"9.15","9.33","8.75","8.87","14,084"
07/23/2021,"8.94","9.12","8.48","9.12","13,918"
07/22/2021,"8.89","8.92","8.47","8.90","6,937"
07/21/2021,"8.88","9.00","8.46","8.88","12,299"
07/20/2021,"8.33","9.00","8.33","8.88","27,628"
07/19/2021,"8.62","8.63","8.37","8.38","24,970"
07/16/2021,"8.69","9.32","8.69","8.85","130,541"
07/15/2021,"8.43","8.45","8.25","8.36","34,648"
07/14/2021,"9.21","9.21","8.62","8.65","13,908"
07/13/2021,"8.91","9.23","8.82","9.01","18,944"
07/12/2021,"8.62","8.96","8.62","8.96","14,585"
07/09/2021,"8.97","8.97","8.43","8.51","26,500"
07/08/2021,"9.11","9.19","8.43","8.73","40,315"
07/07/2021,"9.22","9.46","9.11","9.15","19,335"
07/06/2021,"9.50","9.54","9.20","9.32","50,793"
07/02/2021,"9.50","9.64","9.25","9.29","47,750"
07/01/2021,"9.08","9.75","9.08","9.45","25,617"
06/30/2021,"9.41","9.76","9.11","9.33","29,175"
06/29/2021,"9.74","9.77","9.20","9.35","61,109"
