Date,Open,High,Low,Close,Volume
08/30/2021,"28.60","33.33","28.45","32.75","856,404"
08/27/2021,"26.00","29.00","25.64","28.92","381,607"
08/26/2021,"26.05","26.40","25.38","26.02","226,484"
08/25/2021,"27.00","27.26","25.94","26.05","286,353"
08/24/2021,"27.11","28.05","27.10","27.26","271,025"
08/23/2021,"28.70","28.75","27.19","27.85","485,796"
08/20/2021,"27.32","28.75","26.67","28.59","463,150"
08/19/2021,"26.94","27.31","26.50","27.12","186,711"
08/18/2021,"26.71","27.32","26.50","26.75","242,223"
08/17/2021,"27.64","27.64","26.53","26.66","314,307"
08/16/2021,"27.27","28.12","26.20","27.93","317,620"
08/13/2021,"27.77","27.85","27.24","27.60","211,495"
08/12/2021,"27.41","28.42","27.14","28.02","210,704"
08/11/2021,"28.78","28.98","27.12","27.65","833,941"
08/10/2021,"28.79","28.94","28.15","28.52","134,708"
08/09/2021,"28.20","29.74","28.03","28.76","555,695"
08/06/2021,"28.50","28.50","27.59","28.25","386,903"
08/05/2021,"28.17","28.74","27.40","28.31","205,593"
08/04/2021,"28.07","28.55","27.12","28.12","788,818"
08/03/2021,"29.12","29.12","27.57","28.07","1,146,828"
08/02/2021,"27.11","29.89","26.62","28.32","1,529,864"
07/30/2021,"26.19","28.16","25.50","27.42","2,233,885"
07/29/2021,"27.00","29.18","26.00","26.00","10,523,290"
