Date,Open,High,Low,Close,Volume
08/12/2021,"22.17","22.46","21.05","21.79","36,151"
08/11/2021,"23.95","23.95","22.00","22.35","39,613"
08/10/2021,"23.91","24.25","22.01","23.92","46,250"
08/09/2021,"22.72","23.96","22.05","23.75","34,052"
08/06/2021,"23.82","23.82","22.14","22.97","64,110"
08/05/2021,"22.42","24.92","22.42","23.80","86,873"
08/04/2021,"21.36","22.62","21.36","22.54","29,173"
08/03/2021,"21.26","21.72","20.63","21.65","37,803"
08/02/2021,"21.10","21.50","20.12","21.45","35,547"
07/30/2021,"22.01","22.36","19.81","20.97","97,517"
07/29/2021,"21.14","22.25","21.01","22.01","70,321"
07/28/2021,"21.07","21.60","19.79","21.07","87,570"
07/27/2021,"21.66","21.66","20.80","21.05","52,509"
07/26/2021,"21.61","21.89","21.27","21.59","66,628"
07/23/2021,"22.57","22.57","21.27","21.55","60,105"
07/22/2021,"22.00","23.03","21.01","22.38","92,041"
07/21/2021,"22.48","22.48","21.02","22.07","50,198"
07/20/2021,"20.82","22.64","20.82","22.20","149,021"
07/19/2021,"20.82","21.56","20.82","21.48","74,120"
07/16/2021,"21.42","21.77","20.78","21.29","123,299"
07/15/2021,"21.51","22.39","20.46","21.08","185,895"
07/14/2021,"26.77","26.77","20.70","20.89","198,415"
07/13/2021,"25.76","27.67","25.44","26.49","105,351"
07/12/2021,"26.42","26.73","25.36","26.02","104,977"
07/09/2021,"26.49","27.73","25.46","26.84","119,172"
07/08/2021,"24.94","26.66","24.94","26.23","146,135"
07/07/2021,"25.90","27.03","24.42","25.32","51,300"
07/06/2021,"26.93","27.12","25.27","25.75","83,504"
07/02/2021,"26.89","27.59","25.71","26.96","129,111"
07/01/2021,"24.47","27.11","24.47","26.90","184,563"
06/30/2021,"23.05","25.68","22.14","24.56","443,819"
06/29/2021,"23.38","23.86","22.30","23.10","158,606"
06/28/2021,"21.65","23.83","21.56","23.48","142,922"
06/25/2021,"20.85","22.48","20.67","21.63","1,484,105"
06/24/2021,"21.29","21.91","20.65","20.87","129,161"
06/23/2021,"22.22","23.28","20.25","20.92","201,683"
06/22/2021,"25.51","26.40","21.56","22.14","201,015"
06/21/2021,"26.16","27.48","25.50","25.78","181,631"
06/18/2021,"26.63","28.00","25.36","25.53","649,049"
06/17/2021,"28.84","30.00","26.37","26.61","349,039"
06/16/2021,"27.15","30.64","27.04","29.65","407,145"
06/15/2021,"23.42","27.05","22.95","27.00","232,651"
06/14/2021,"21.40","24.54","21.10","23.50","365,888"
