Date,Open,High,Low,Close,Volume
08/11/2021,"26.21","26.65","24.35","26.19","356,855"
08/10/2021,"28.32","28.86","25.89","26.30","230,608"
08/09/2021,"28.50","28.85","27.89","28.10","273,956"
08/06/2021,"31.43","31.43","28.25","28.41","268,221"
08/05/2021,"30.55","31.45","30.11","31.38","271,421"
08/04/2021,"31.20","31.84","30.07","30.44","225,306"
08/03/2021,"29.95","31.82","29.61","31.35","196,473"
08/02/2021,"30.62","31.07","29.82","30.24","148,403"
07/30/2021,"32.38","32.65","30.01","30.35","127,568"
07/29/2021,"32.81","33.97","31.94","32.36","256,242"
07/28/2021,"30.90","32.81","30.87","32.60","220,528"
07/27/2021,"32.99","33.00","29.20","30.72","518,816"
07/26/2021,"35.16","35.61","32.56","33.21","203,498"
07/23/2021,"35.74","36.97","34.52","35.06","200,696"
07/22/2021,"36.65","37.61","35.44","35.99","189,732"
07/21/2021,"34.78","36.88","34.00","35.99","216,683"
07/20/2021,"33.81","37.47","33.81","34.91","490,660"
07/19/2021,"32.69","35.69","32.59","33.67","387,153"
07/16/2021,"32.76","34.82","32.52","33.02","229,402"
07/15/2021,"33.28","34.65","30.94","32.49","405,544"
07/14/2021,"41.19","41.19","33.15","33.31","820,740"
07/13/2021,"40.61","42.81","40.14","41.33","366,307"
07/12/2021,"40.51","42.11","39.36","40.63","327,049"
07/09/2021,"38.87","42.06","38.83","40.15","490,188"
07/08/2021,"37.40","39.24","35.20","38.83","347,536"
07/07/2021,"38.19","38.45","37.31","38.13","495,059"
07/06/2021,"37.25","38.85","36.74","37.96","321,042"
07/02/2021,"36.18","36.84","35.18","36.70","243,129"
07/01/2021,"36.72","37.59","35.60","35.99","262,162"
06/30/2021,"37.37","38.00","34.68","36.50","353,208"
06/29/2021,"37.37","38.39","36.40","37.31","336,151"
06/28/2021,"34.44","37.01","33.83","36.99","353,783"
06/25/2021,"34.86","35.00","33.27","33.77","2,882,735"
06/24/2021,"33.46","35.01","33.02","34.81","240,356"
06/23/2021,"35.88","36.80","33.21","33.51","307,196"
06/22/2021,"37.72","37.72","35.54","35.71","474,507"
06/21/2021,"37.00","37.85","36.43","37.42","559,267"
06/18/2021,"35.45","37.71","34.60","36.43","1,846,060"
06/17/2021,"33.63","35.74","33.29","35.04","723,276"
06/16/2021,"32.90","34.19","32.90","33.80","555,762"
06/15/2021,"33.09","33.83","31.64","32.76","538,587"
06/14/2021,"31.44","34.20","31.44","33.16","431,743"
06/11/2021,"30.00","31.74","29.96","31.23","430,813"
06/10/2021,"30.00","30.95","29.48","30.23","331,846"
06/09/2021,"30.00","30.63","28.38","30.20","232,550"
06/08/2021,"27.70","29.89","27.37","29.80","224,498"
06/07/2021,"29.87","29.90","27.63","27.71","195,122"
06/04/2021,"28.73","29.97","28.58","29.42","199,913"
06/03/2021,"28.64","29.16","28.30","28.42","221,324"
06/02/2021,"28.73","29.70","28.26","29.04","247,512"
06/01/2021,"26.69","28.80","25.52","28.48","267,677"
05/28/2021,"25.59","26.90","25.17","26.36","414,084"
05/27/2021,"24.90","25.42","24.24","25.27","130,965"
05/26/2021,"24.07","25.12","23.61","24.64","239,215"
05/25/2021,"24.68","25.84","23.91","24.07","263,184"
05/24/2021,"25.62","25.62","24.00","24.53","201,116"
05/21/2021,"23.29","25.79","23.09","25.25","467,834"
05/20/2021,"21.54","23.07","21.51","22.75","309,569"
05/19/2021,"22.21","22.98","20.85","21.09","604,985"
05/18/2021,"22.38","23.90","21.86","22.82","445,493"
05/17/2021,"21.49","22.34","21.19","21.84","454,264"
05/14/2021,"21.29","22.35","20.02","21.18","599,555"
05/13/2021,"22.32","23.80","19.68","21.06","303,911"
05/12/2021,"22.59","23.38","21.31","22.23","640,856"
05/11/2021,"22.01","23.23","21.06","22.66","506,740"
05/10/2021,"28.18","28.70","22.77","23.04","495,750"
05/07/2021,"28.42","29.26","26.66","27.73","365,538"
05/06/2021,"32.27","32.44","26.90","28.00","389,419"
05/05/2021,"33.37","33.39","31.74","32.42","127,868"
05/04/2021,"32.54","33.45","30.55","33.42","328,888"
05/03/2021,"33.81","34.24","32.43","33.02","198,909"
04/30/2021,"34.47","35.78","31.56","33.40","509,161"
04/29/2021,"31.78","34.77","31.04","34.02","291,215"
04/28/2021,"31.82","32.99","31.02","31.37","223,751"
04/27/2021,"30.81","33.49","30.81","31.44","244,896"
04/26/2021,"30.00","31.27","29.80","30.42","341,597"
04/23/2021,"31.48","32.05","29.42","29.85","274,223"
04/22/2021,"33.64","34.10","30.09","31.25","2,341,602"
04/21/2021,"29.50","35.00","28.85","32.55","1,077,658"
04/20/2021,"27.32","31.92","26.92","29.94","895,359"
04/19/2021,"28.68","29.05","25.21","28.00","1,016,627"
04/16/2021,"30.00","33.00","25.17","31.30","5,687,264"
