Date,Open,High,Low,Close,Volume
08/12/2021,"20.81","21.13","20.05","20.60","605,312"
08/11/2021,"20.44","21.54","19.65","20.85","695,756"
08/10/2021,"19.28","20.41","19.25","20.33","800,722"
08/09/2021,"19.63","19.86","18.70","19.28","413,206"
08/06/2021,"19.33","19.99","18.39","19.47","399,714"
08/05/2021,"18.64","19.45","17.75","19.40","352,201"
08/04/2021,"17.60","19.00","17.58","18.62","611,701"
08/03/2021,"16.37","17.62","16.25","17.61","333,090"
08/02/2021,"16.78","17.02","16.39","16.55","486,774"
07/30/2021,"16.89","17.15","16.09","16.29","335,482"
07/29/2021,"17.07","18.18","17.03","17.15","276,514"
07/28/2021,"16.62","17.19","16.60","16.91","491,833"
07/27/2021,"17.95","18.36","16.30","16.47","677,828"
07/26/2021,"18.60","18.93","17.77","18.06","264,539"
07/23/2021,"18.34","18.80","18.11","18.56","375,493"
07/22/2021,"19.19","19.40","18.35","18.36","198,345"
07/21/2021,"19.16","19.46","18.67","19.19","233,448"
07/20/2021,"18.41","19.25","18.10","19.08","238,437"
07/19/2021,"18.23","19.00","18.10","18.27","343,916"
07/16/2021,"17.93","18.99","17.84","18.71","336,518"
07/15/2021,"17.46","17.74","16.88","17.73","240,831"
07/14/2021,"17.76","18.13","17.25","17.42","300,701"
07/13/2021,"18.33","18.61","17.45","17.72","282,996"
07/12/2021,"19.34","19.40","18.20","18.28","408,266"
07/09/2021,"18.70","19.19","18.17","19.14","243,262"
07/08/2021,"18.63","19.38","18.27","18.65","259,521"
07/07/2021,"19.04","19.26","18.07","19.23","497,911"
07/06/2021,"19.12","19.43","18.50","19.04","346,454"
07/02/2021,"19.15","19.25","18.57","19.13","384,498"
07/01/2021,"19.66","19.90","18.15","19.06","428,861"
06/30/2021,"18.14","19.81","18.02","19.66","745,203"
06/29/2021,"19.07","19.49","18.10","18.20","453,831"
06/28/2021,"19.46","19.85","18.80","19.06","349,762"
06/25/2021,"20.60","21.12","18.79","19.14","3,447,161"
06/24/2021,"19.93","20.77","19.76","20.66","415,650"
06/23/2021,"19.71","20.41","19.60","19.66","426,397"
06/22/2021,"20.43","20.78","19.36","19.92","318,480"
06/21/2021,"22.83","22.83","20.31","20.52","472,001"
06/18/2021,"22.69","22.85","21.30","22.50","2,397,756"
06/17/2021,"22.33","23.93","22.25","22.85","386,342"
06/16/2021,"23.07","23.25","21.78","22.38","340,202"
06/15/2021,"24.99","25.00","22.50","22.94","437,944"
06/14/2021,"23.75","25.01","23.75","24.67","385,951"
06/11/2021,"24.99","25.32","23.41","23.56","393,289"
06/10/2021,"25.62","25.71","24.67","25.07","637,341"
06/09/2021,"25.13","25.73","24.21","25.12","445,661"
06/08/2021,"22.82","25.25","22.52","25.03","413,540"
06/07/2021,"20.94","23.14","20.57","22.79","457,833"
06/04/2021,"21.09","21.43","20.90","21.06","201,906"
06/03/2021,"21.00","21.27","20.43","21.00","181,700"
06/02/2021,"21.20","21.62","20.57","21.01","167,753"
06/01/2021,"21.16","21.40","20.59","21.13","229,705"
05/28/2021,"21.65","22.39","20.76","20.97","224,676"
05/27/2021,"20.94","22.02","20.79","21.34","269,675"
05/26/2021,"20.32","21.04","20.18","20.87","186,386"
05/25/2021,"19.97","20.38","19.63","20.31","161,546"
05/24/2021,"20.41","20.72","19.73","19.91","125,987"
05/21/2021,"20.03","20.77","19.29","20.26","691,507"
05/20/2021,"19.74","20.97","19.52","19.89","212,487"
05/19/2021,"19.90","20.49","19.34","19.63","231,160"
05/18/2021,"19.38","20.49","19.38","20.17","400,413"
05/17/2021,"20.07","20.24","18.80","19.18","377,479"
05/14/2021,"19.70","20.26","19.16","20.00","481,258"
05/13/2021,"19.27","20.00","18.73","19.34","742,504"
05/12/2021,"18.53","19.58","18.48","19.09","468,829"
