Date,Open,High,Low,Close,Volume
08/12/2021,"28.17","28.99","27.85","28.11","137,628"
08/11/2021,"30.19","30.21","28.19","28.31","144,493"
08/10/2021,"28.86","30.50","28.68","29.87","126,212"
08/09/2021,"29.94","30.33","28.81","28.95","101,258"
08/06/2021,"30.08","30.50","29.31","29.91","39,969"
08/05/2021,"29.39","30.68","29.32","29.95","73,281"
08/04/2021,"29.36","30.41","28.31","29.27","64,239"
08/03/2021,"29.86","29.93","28.17","29.56","62,481"
08/02/2021,"30.71","31.10","29.82","29.98","40,670"
07/30/2021,"30.75","31.08","30.17","30.28","49,381"
07/29/2021,"31.01","31.85","29.83","31.04","92,045"
07/28/2021,"29.28","31.10","28.51","30.47","90,613"
07/27/2021,"31.31","32.30","28.48","29.18","130,423"
07/26/2021,"32.92","33.21","31.35","31.74","82,715"
07/23/2021,"33.41","34.20","32.00","32.65","127,320"
07/22/2021,"34.96","35.63","33.11","33.37","196,598"
07/21/2021,"32.66","35.50","32.40","35.22","141,729"
07/20/2021,"31.31","33.25","31.31","32.64","314,983"
07/19/2021,"29.95","31.42","29.83","31.10","90,625"
07/16/2021,"30.39","31.29","29.57","30.60","97,951"
07/15/2021,"27.78","30.21","26.72","30.01","139,122"
07/14/2021,"28.98","29.24","27.46","28.07","101,308"
07/13/2021,"30.39","30.45","28.11","28.67","99,570"
07/12/2021,"30.76","32.71","30.12","30.93","78,900"
07/09/2021,"28.66","31.47","28.66","30.99","106,790"
07/08/2021,"28.06","29.19","27.44","28.42","238,472"
07/07/2021,"28.59","29.36","26.71","28.57","156,607"
07/06/2021,"31.39","31.61","28.27","28.54","59,550"
07/02/2021,"32.45","32.75","31.14","31.22","97,417"
07/01/2021,"31.01","32.55","30.97","32.37","69,655"
06/30/2021,"31.31","32.72","30.85","30.89","53,063"
06/29/2021,"32.22","32.22","30.99","31.54","73,555"
06/28/2021,"31.74","32.51","31.51","32.03","81,394"
06/25/2021,"33.09","33.28","31.48","32.00","553,574"
06/24/2021,"31.03","33.85","31.03","33.15","105,411"
06/23/2021,"29.65","31.10","29.65","31.01","70,880"
06/22/2021,"30.92","31.27","29.40","29.62","141,122"
06/21/2021,"32.19","32.34","29.50","30.92","132,501"
06/18/2021,"30.39","32.38","30.18","31.88","202,190"
06/17/2021,"32.31","33.16","30.44","30.94","117,982"
06/16/2021,"32.06","32.84","31.42","32.43","124,451"
06/15/2021,"33.54","33.57","31.58","32.48","96,548"
06/14/2021,"33.23","33.96","33.00","33.38","82,892"
06/11/2021,"32.36","33.54","31.95","33.23","103,061"
06/10/2021,"32.18","33.54","31.87","32.49","114,980"
06/09/2021,"29.43","32.45","29.40","32.13","134,482"
06/08/2021,"28.50","29.76","28.36","29.56","111,020"
06/07/2021,"28.94","30.75","28.13","28.59","146,366"
06/04/2021,"29.12","29.61","28.18","28.83","126,816"
06/03/2021,"28.73","29.41","27.89","29.08","126,860"
06/02/2021,"29.34","30.27","28.68","29.32","151,171"
06/01/2021,"27.80","29.12","27.48","28.83","75,977"
05/28/2021,"27.00","28.00","26.86","27.53","104,574"
05/27/2021,"27.74","28.17","26.29","26.86","213,938"
05/26/2021,"25.07","27.40","24.82","26.89","75,959"
05/25/2021,"26.66","26.85","25.02","25.06","67,567"
05/24/2021,"28.19","28.38","25.34","26.51","91,285"
05/21/2021,"30.12","30.44","28.00","28.16","97,608"
05/20/2021,"28.72","30.26","28.13","29.73","182,551"
05/19/2021,"27.05","28.93","25.96","28.75","121,873"
05/18/2021,"28.56","29.74","26.73","27.19","135,963"
05/17/2021,"25.80","28.69","24.60","28.49","137,164"
05/14/2021,"24.85","28.09","24.78","26.52","183,695"
05/13/2021,"26.59","27.13","23.69","24.71","131,447"
05/12/2021,"26.56","27.02","25.83","26.46","123,459"
05/11/2021,"25.97","27.30","25.00","26.84","207,449"
05/10/2021,"28.00","28.10","26.15","26.50","106,740"
05/07/2021,"28.16","29.24","27.76","28.16","40,820"
05/06/2021,"28.95","29.59","26.94","28.02","84,469"
05/05/2021,"29.27","31.63","28.45","28.93","127,458"
05/04/2021,"30.66","30.90","27.97","29.12","210,950"
05/03/2021,"32.58","32.78","30.88","31.00","149,491"
04/30/2021,"33.50","35.35","31.14","32.05","437,513"
04/29/2021,"34.91","35.37","33.23","34.04","109,336"
04/28/2021,"34.63","36.21","34.30","34.72","89,699"
04/27/2021,"36.69","37.91","34.04","35.03","153,236"
04/26/2021,"34.79","37.89","34.13","36.80","127,441"
04/23/2021,"36.53","38.02","34.25","34.79","98,365"
04/22/2021,"38.08","38.16","36.17","36.67","134,163"
04/21/2021,"36.92","38.99","35.88","38.13","65,732"
04/20/2021,"37.18","38.16","35.33","37.29","120,288"
04/19/2021,"37.60","38.32","35.84","37.76","92,474"
04/16/2021,"39.36","39.36","36.58","37.64","131,993"
04/15/2021,"38.52","40.10","36.90","38.94","127,129"
04/14/2021,"34.08","41.46","32.68","38.29","459,985"
04/13/2021,"35.35","36.94","33.50","34.08","236,625"
04/12/2021,"38.07","39.86","34.36","35.15","185,493"
04/09/2021,"39.42","40.74","36.93","38.07","93,961"
04/08/2021,"38.24","40.84","38.24","40.11","100,497"
04/07/2021,"40.02","42.29","38.13","38.66","75,201"
04/06/2021,"42.58","42.75","39.22","39.80","57,055"
04/05/2021,"44.79","45.50","41.72","41.86","96,679"
04/01/2021,"44.18","46.55","43.70","44.28","116,260"
03/31/2021,"40.56","44.14","40.01","43.63","170,948"
03/30/2021,"43.01","46.01","39.12","40.57","176,767"
03/29/2021,"47.00","47.39","42.83","43.00","91,166"
03/26/2021,"50.66","52.00","45.79","47.31","229,603"
03/25/2021,"50.23","53.44","49.56","50.01","163,726"
03/24/2021,"47.99","51.94","46.35","50.23","261,111"
03/23/2021,"51.60","51.73","46.54","47.88","445,466"
03/22/2021,"58.36","61.00","48.27","51.51","549,979"
03/19/2021,"60.55","62.94","57.58","60.14","2,662,939"
03/18/2021,"60.98","63.41","56.63","59.17","358,765"
03/17/2021,"56.60","62.85","55.18","60.41","322,210"
03/16/2021,"53.01","57.15","53.01","55.64","192,263"
03/15/2021,"56.26","60.00","52.93","53.06","246,134"
03/12/2021,"49.23","56.88","45.02","55.51","214,409"
03/11/2021,"48.89","52.70","47.57","48.65","216,226"
03/10/2021,"50.85","53.51","47.20","48.36","201,031"
03/09/2021,"47.86","54.78","47.86","49.16","273,317"
03/08/2021,"44.24","50.69","43.00","46.82","202,079"
03/05/2021,"46.65","46.65","38.44","44.03","342,914"
03/04/2021,"51.05","51.24","44.76","46.26","341,980"
03/03/2021,"52.75","54.03","50.55","51.34","176,274"
03/02/2021,"51.52","53.71","50.07","52.80","145,953"
03/01/2021,"49.09","52.95","47.85","52.03","132,933"
02/26/2021,"49.53","51.41","47.22","48.06","141,335"
02/25/2021,"48.02","51.58","46.56","49.60","156,394"
02/24/2021,"47.05","50.24","46.00","48.01","87,707"
02/23/2021,"49.88","49.88","44.74","47.30","243,120"
02/22/2021,"50.74","54.15","49.76","51.14","108,148"
02/19/2021,"49.34","53.28","48.40","51.34","132,108"
02/18/2021,"51.76","52.60","46.31","48.40","232,855"
02/17/2021,"47.53","53.88","47.50","51.76","256,963"
02/16/2021,"45.68","48.00","42.02","47.92","166,288"
02/12/2021,"43.11","46.54","41.55","44.76","192,361"
02/11/2021,"42.50","44.59","40.23","43.20","286,907"
02/10/2021,"43.52","44.14","40.00","42.53","314,326"
02/09/2021,"43.87","44.70","42.82","43.07","219,353"
02/08/2021,"42.72","44.87","41.72","43.92","238,909"
02/05/2021,"43.38","45.37","41.67","42.39","253,251"
02/04/2021,"46.41","47.75","43.02","43.11","333,731"
02/03/2021,"49.56","49.56","46.59","46.59","79,456"
02/02/2021,"47.60","49.32","46.17","48.07","156,918"
02/01/2021,"44.78","47.70","43.77","46.04","86,703"
01/29/2021,"45.75","47.44","43.56","43.92","75,699"
01/28/2021,"45.40","47.97","45.18","45.30","211,492"
