Date,Open,High,Low,Close,Volume
08/30/2021,"2.4100","2.5000","2.3400","2.4700","19,848"
08/27/2021,"2.6600","2.6600","2.2400","2.4600","62,847"
08/26/2021,"2.6100","2.7200","2.5661","2.6200","12,450"
08/25/2021,"2.6700","2.6700","2.5000","2.5700","34,159"
08/24/2021,"2.5400","2.6800","2.5400","2.6300","12,738"
08/23/2021,"2.6800","2.6800","2.5800","2.5900","27,527"
08/20/2021,"2.5300","2.6800","2.5300","2.5900","17,543"
08/19/2021,"2.7700","2.7700","2.5400","2.7000","29,094"
08/18/2021,"2.5500","2.8000","2.5500","2.7400","15,534"
08/17/2021,"2.6300","2.6950","2.5300","2.5400","41,544"
08/16/2021,"2.7900","2.9638","2.6300","2.7000","23,174"
08/13/2021,"2.7900","2.7900","2.7300","2.7300","8,375"
08/12/2021,"2.7755","2.9100","2.7701","2.8500","1,886"
08/11/2021,"2.8700","2.9100","2.7268","2.8800","10,990"
08/10/2021,"2.8600","2.9200","2.8200","2.9200","7,813"
08/09/2021,"2.9500","2.9500","2.7600","2.9200","10,838"
08/06/2021,"2.6800","2.8900","2.6200","2.8000","25,967"
08/05/2021,"2.7600","2.8300","2.6100","2.7200","22,481"
08/04/2021,"2.7000","2.8300","2.6500","2.7600","29,622"
08/03/2021,"2.5600","2.7200","2.5600","2.7200","12,836"
08/02/2021,"2.6900","2.7000","2.5300","2.6800","12,112"
07/30/2021,"2.7600","2.7600","2.5900","2.6000","18,457"
07/29/2021,"2.7700","2.7700","2.6004","2.6100","9,759"
07/28/2021,"2.5300","2.6900","2.5300","2.6900","5,702"
07/27/2021,"2.6900","2.6900","2.5300","2.5800","28,057"
07/26/2021,"2.6400","2.7699","2.5668","2.6000","14,436"
07/23/2021,"2.8300","2.8546","2.5110","2.5300","57,780"
07/22/2021,"2.9700","3.0000","2.8300","2.8400","24,938"
07/21/2021,"2.8400","3.1100","2.8400","2.9200","21,982"
07/20/2021,"2.7400","2.9000","2.7300","2.8400","16,858"
07/19/2021,"2.9000","2.9100","2.6100","2.7600","54,954"
07/16/2021,"2.8700","2.9200","2.8250","2.8800","24,063"
07/15/2021,"2.8900","3.1100","2.8000","2.8800","54,456"
07/14/2021,"3.1400","3.2347","2.7350","2.8000","114,969"
07/13/2021,"3.3300","3.3600","3.1500","3.1800","50,982"
07/12/2021,"3.5500","3.5500","3.2600","3.3200","76,733"
07/09/2021,"3.3800","3.6800","3.0476","3.5300","165,816"
07/08/2021,"2.9837","3.1172","2.9100","3.0800","25,007"
07/07/2021,"3.1200","3.1792","2.9800","3.0400","40,722"
07/06/2021,"3.2000","3.2250","3.1000","3.1500","61,185"
07/02/2021,"3.3200","3.5899","3.2000","3.2400","102,589"
07/01/2021,"3.5200","3.6300","3.2500","3.3100","164,913"
06/30/2021,"3.4300","4.1000","3.2979","3.7900","635,994"
06/29/2021,"2.8900","3.6800","2.8700","3.2000","473,617"
06/28/2021,"2.8600","2.9124","2.7200","2.8500","27,178"
06/25/2021,"2.9081","2.9200","2.7500","2.8600","28,442"
06/24/2021,"2.7800","2.9400","2.7800","2.8301","51,734"
06/23/2021,"2.7700","2.7850","2.7500","2.7800","23,716"
06/22/2021,"2.8074","2.8100","2.6700","2.7000","28,893"
06/21/2021,"2.7399","2.7499","2.6699","2.7345","19,820"
06/18/2021,"2.7000","2.8299","2.6400","2.7600","12,142"
06/17/2021,"2.7500","2.7800","2.6200","2.7200","46,933"
06/16/2021,"2.8100","2.8400","2.8000","2.8100","15,637"
06/15/2021,"2.9140","2.9300","2.8000","2.8400","24,364"
06/14/2021,"2.9112","3.0099","2.9000","2.9500","10,713"
06/11/2021,"2.9200","2.9900","2.8789","2.9400","16,408"
06/10/2021,"3.0500","3.1003","2.8200","2.8700","32,747"
06/09/2021,"2.9900","3.1100","2.9000","3.0338","50,874"
06/08/2021,"3.1200","3.1200","2.8100","2.9100","122,193"
06/07/2021,"3.0000","3.2900","2.9600","3.1600","295,554"
06/04/2021,"2.9692","3.0499","2.8700","3.0000","19,641"
06/03/2021,"3.0100","3.0101","2.8450","2.9700","53,807"
06/02/2021,"2.9400","3.1000","2.9001","2.9900","48,286"
06/01/2021,"2.7700","3.0000","2.7700","2.9400","87,209"
05/28/2021,"2.9000","2.9000","2.7600","2.8800","59,433"
05/27/2021,"2.7100","2.8700","2.6701","2.8299","62,376"
05/26/2021,"2.5800","2.7600","2.5600","2.7300","97,340"
05/25/2021,"2.4400","2.6300","2.4300","2.5300","58,349"
05/24/2021,"2.5160","2.6900","2.4300","2.5000","74,481"
05/21/2021,"2.4000","2.5400","2.3700","2.5000","78,486"
05/20/2021,"2.4200","2.4800","2.3100","2.3600","58,088"
05/19/2021,"2.7000","2.8100","2.3500","2.3700","121,768"
05/18/2021,"2.7900","2.8640","2.7000","2.8100","27,375"
