Date,Open,High,Low,Close,Volume
08/30/2021,"36.96","38.86","36.54","38.28","364,774"
08/27/2021,"36.17","38.10","35.55","37.02","366,454"
08/26/2021,"36.08","38.55","35.82","36.80","547,584"
08/25/2021,"35.60","36.50","34.50","36.28","507,763"
08/24/2021,"34.47","35.55","34.14","35.39","528,105"
08/23/2021,"32.88","34.98","32.74","34.36","518,386"
08/20/2021,"30.12","33.42","29.95","32.38","519,668"
08/19/2021,"29.16","30.17","29.16","30.01","423,924"
08/18/2021,"30.07","30.19","28.36","29.51","375,178"
08/17/2021,"29.86","30.50","29.51","29.78","339,337"
08/16/2021,"32.02","32.24","30.18","30.43","392,540"
08/13/2021,"29.32","33.40","29.00","32.47","911,713"
08/12/2021,"29.96","30.52","28.96","29.85","566,072"
08/11/2021,"30.90","30.95","28.67","30.03","298,783"
08/10/2021,"31.96","31.96","30.46","30.86","387,702"
08/09/2021,"31.04","32.18","30.17","31.66","612,783"
08/06/2021,"32.80","32.80","30.70","31.01","223,949"
08/05/2021,"31.34","33.19","31.14","32.99","339,200"
08/04/2021,"30.69","31.63","30.55","31.45","315,286"
08/03/2021,"31.22","31.38","30.40","31.01","264,389"
08/02/2021,"32.29","32.29","30.50","31.14","235,349"
07/30/2021,"32.47","32.76","31.39","31.94","284,657"
07/29/2021,"33.30","33.53","32.00","32.66","222,415"
07/28/2021,"31.15","33.58","31.15","33.16","190,870"
07/27/2021,"32.27","32.62","30.04","31.15","415,362"
07/26/2021,"33.09","33.72","32.01","32.31","245,931"
07/23/2021,"34.47","34.69","31.66","33.13","321,060"
07/22/2021,"33.93","34.75","33.25","34.44","249,460"
07/21/2021,"33.53","34.61","32.64","33.88","525,544"
07/20/2021,"31.66","32.86","30.39","32.81","322,023"
07/19/2021,"30.03","31.82","29.25","31.53","393,668"
07/16/2021,"28.00","31.56","27.84","31.01","730,679"
07/15/2021,"28.47","28.78","27.31","27.67","373,578"
07/14/2021,"31.48","31.48","28.40","28.73","446,910"
07/13/2021,"32.78","33.12","31.06","31.39","640,185"
07/12/2021,"32.51","32.92","31.38","32.82","258,357"
07/09/2021,"32.07","32.38","31.41","32.19","267,471"
07/08/2021,"29.41","32.31","28.33","32.07","507,080"
07/07/2021,"29.03","30.61","28.71","30.47","802,724"
07/06/2021,"31.00","31.00","28.83","29.00","752,259"
07/02/2021,"31.46","31.46","30.00","31.11","219,226"
