Date,Open,High,Low,Close,Volume
08/12/2021,"20.50","20.97","20.24","20.63","1,345,700"
08/11/2021,"19.85","20.60","19.84","20.48","283,356"
08/10/2021,"20.90","20.96","18.66","19.65","558,166"
08/09/2021,"20.55","21.25","20.35","20.96","175,969"
08/06/2021,"19.82","20.77","19.55","20.32","114,586"
08/05/2021,"20.55","20.55","19.50","19.76","129,847"
08/04/2021,"19.10","20.86","19.10","20.49","101,086"
08/03/2021,"19.89","20.04","19.21","19.38","140,918"
08/02/2021,"20.00","20.25","19.00","19.83","150,210"
07/30/2021,"20.03","20.19","19.85","19.99","43,334"
07/29/2021,"20.82","20.82","19.81","20.09","63,365"
07/28/2021,"19.99","20.96","19.99","20.71","126,085"
07/27/2021,"20.38","20.46","19.52","19.79","122,575"
07/26/2021,"20.13","20.53","19.89","19.90","72,299"
07/23/2021,"20.29","20.39","19.64","20.04","120,077"
07/22/2021,"21.51","21.59","19.77","20.22","231,938"
07/21/2021,"22.27","22.82","21.51","21.60","151,404"
07/20/2021,"19.77","22.18","19.77","22.07","157,641"
07/19/2021,"19.65","19.82","19.05","19.82","120,587"
07/16/2021,"19.81","19.99","19.60","19.77","107,327"
07/15/2021,"20.08","20.45","18.87","19.60","260,790"
07/14/2021,"20.52","20.62","19.80","20.16","244,537"
07/13/2021,"20.35","20.88","20.10","20.40","206,426"
07/12/2021,"20.77","21.16","19.83","20.46","198,805"
07/09/2021,"20.30","20.90","19.72","20.89","135,397"
07/08/2021,"20.50","20.68","19.03","20.26","463,053"
07/07/2021,"21.50","21.86","20.72","21.01","110,507"
07/06/2021,"22.74","22.92","21.13","21.51","205,927"
07/02/2021,"22.36","23.33","22.34","22.58","133,789"
07/01/2021,"23.09","23.38","21.83","22.33","216,550"
06/30/2021,"21.81","23.96","21.80","23.02","348,444"
06/29/2021,"22.82","23.03","21.72","22.15","218,147"
06/28/2021,"24.87","24.99","21.64","22.88","566,342"
06/25/2021,"23.47","24.50","21.65","24.50","542,380"
06/24/2021,"20.60","26.31","20.60","23.34","2,697,531"
06/23/2021,"18.49","20.44","18.36","20.20","386,195"
06/22/2021,"17.63","18.98","17.46","18.39","357,194"
06/21/2021,"17.76","17.78","17.23","17.63","549,489"
06/18/2021,"18.18","18.33","17.52","17.54","835,037"
06/17/2021,"17.55","18.29","17.30","18.22","368,185"
