Date,Open,High,Low,Close,Volume
08/12/2021,"24.83","25.93","24.26","25.24","1,669,020"
08/11/2021,"25.71","25.78","23.80","24.30","3,446,156"
08/10/2021,"28.00","28.19","25.00","25.36","2,776,297"
08/09/2021,"27.53","28.68","27.22","28.12","617,637"
08/06/2021,"27.75","28.05","27.07","27.53","766,787"
08/05/2021,"26.97","27.99","26.50","27.72","355,959"
08/04/2021,"26.48","27.45","26.42","26.83","908,527"
08/03/2021,"26.44","27.00","26.00","26.61","287,524"
08/02/2021,"26.23","26.73","25.53","26.43","642,880"
07/30/2021,"25.51","26.58","25.51","26.32","224,393"
07/29/2021,"26.65","26.95","25.67","25.74","304,136"
07/28/2021,"26.52","27.00","26.16","26.68","602,072"
07/27/2021,"26.98","27.48","26.12","26.42","737,433"
07/26/2021,"27.98","28.08","26.73","27.09","372,932"
07/23/2021,"28.58","28.60","27.43","27.99","560,796"
07/22/2021,"28.57","28.83","27.88","28.64","173,152"
07/21/2021,"28.44","28.99","27.86","28.64","228,334"
07/20/2021,"28.91","29.32","27.36","28.51","389,873"
07/19/2021,"28.12","29.33","27.28","28.79","470,176"
07/16/2021,"27.22","28.41","26.94","28.39","348,342"
07/15/2021,"28.02","28.18","26.33","26.97","263,342"
07/14/2021,"29.21","29.22","27.58","27.84","349,086"
07/13/2021,"30.36","30.46","28.39","28.75","446,545"
07/12/2021,"29.67","30.89","29.21","30.44","435,702"
07/09/2021,"30.55","30.75","28.69","28.97","484,322"
07/08/2021,"28.61","30.54","28.26","30.48","567,750"
07/07/2021,"29.80","30.32","28.89","29.41","264,444"
07/06/2021,"29.95","29.95","28.50","29.80","503,351"
07/02/2021,"30.47","30.55","29.33","29.77","231,688"
07/01/2021,"30.33","30.66","29.76","30.50","617,844"
06/30/2021,"29.68","30.63","29.05","30.43","410,248"
06/29/2021,"30.68","30.68","29.71","29.99","371,073"
06/28/2021,"30.95","30.96","29.38","30.67","470,187"
06/25/2021,"30.22","30.36","29.42","30.31","663,285"
06/24/2021,"30.91","30.91","30.09","30.24","210,555"
06/23/2021,"30.74","31.91","30.05","30.69","420,104"
06/22/2021,"29.66","30.85","29.66","30.81","250,099"
06/21/2021,"30.17","30.59","29.16","29.79","241,397"
06/18/2021,"30.31","30.55","29.07","30.31","815,736"
06/17/2021,"29.46","30.58","29.46","30.53","282,665"
06/16/2021,"28.91","29.68","28.61","29.56","393,398"
06/15/2021,"29.49","29.55","28.00","29.11","808,033"
06/14/2021,"29.30","29.86","28.90","29.59","316,495"
06/11/2021,"29.06","29.31","28.17","29.25","250,303"
06/10/2021,"28.15","29.36","27.62","28.96","243,497"
06/09/2021,"29.03","29.16","27.94","28.40","298,115"
06/08/2021,"27.05","29.00","26.81","28.88","407,561"
06/07/2021,"25.39","26.98","25.21","26.68","373,731"
06/04/2021,"25.03","25.30","24.46","25.15","519,747"
06/03/2021,"25.08","25.40","24.35","24.50","292,668"
06/02/2021,"25.05","25.43","24.90","24.97","682,950"
06/01/2021,"25.29","25.29","24.31","24.91","734,187"
05/28/2021,"25.16","25.88","24.91","25.30","218,455"
05/27/2021,"25.20","25.44","24.28","24.58","612,948"
05/26/2021,"24.45","25.41","24.25","25.19","413,976"
05/25/2021,"25.18","25.75","24.03","24.22","293,507"
05/24/2021,"26.44","26.91","24.73","24.73","274,126"
05/21/2021,"26.77","27.40","26.18","26.28","1,437,887"
05/20/2021,"26.24","26.80","25.87","26.51","349,023"
05/19/2021,"25.50","26.70","25.50","25.82","202,222"
05/18/2021,"26.06","27.07","25.28","26.50","284,185"
05/17/2021,"25.44","26.23","25.02","25.73","461,578"
05/14/2021,"25.78","26.91","25.52","25.79","917,016"
05/13/2021,"26.72","26.72","24.60","25.33","762,023"
05/12/2021,"24.60","26.52","24.04","25.97","596,011"
05/11/2021,"23.90","26.94","23.85","26.70","391,025"
05/10/2021,"26.94","27.37","25.01","25.06","310,316"
05/07/2021,"25.62","27.28","25.36","26.83","238,399"
05/06/2021,"25.55","25.91","24.26","25.32","440,118"
05/05/2021,"27.05","27.05","25.71","25.85","291,014"
05/04/2021,"28.14","28.72","26.65","26.80","276,922"
05/03/2021,"28.92","29.09","28.24","28.76","196,321"
04/30/2021,"28.94","29.85","28.04","28.35","128,658"
04/29/2021,"30.82","30.85","28.52","29.25","234,778"
04/28/2021,"30.37","30.86","29.30","30.58","179,010"
04/27/2021,"29.70","30.91","29.21","30.55","447,627"
04/26/2021,"28.64","30.12","28.21","30.10","296,514"
