Date,Open,High,Low,Close,Volume
08/30/2021,"34.61","35.55","31.94","31.98","312,445"
08/27/2021,"34.71","34.99","34.12","34.75","187,469"
08/26/2021,"36.30","37.12","33.47","34.08","340,829"
08/25/2021,"37.88","38.23","35.35","35.98","142,593"
08/24/2021,"37.81","38.71","37.66","37.75","256,066"
08/23/2021,"37.52","38.72","37.47","38.17","150,526"
08/20/2021,"37.00","38.16","36.40","37.44","197,815"
08/19/2021,"37.99","38.80","36.49","37.13","129,011"
08/18/2021,"37.20","39.73","36.76","38.38","177,760"
08/17/2021,"36.98","37.56","35.60","37.15","142,208"
08/16/2021,"35.51","37.97","34.02","36.98","164,291"
08/13/2021,"37.80","38.47","32.34","35.37","313,297"
08/12/2021,"37.01","38.89","35.02","37.79","170,021"
08/11/2021,"38.26","39.93","35.26","37.11","237,568"
08/10/2021,"39.00","40.00","36.11","37.82","271,150"
08/09/2021,"37.00","39.30","36.74","39.10","199,271"
08/06/2021,"37.93","38.76","36.81","37.29","101,601"
08/05/2021,"37.74","39.70","37.09","37.94","125,881"
08/04/2021,"38.90","41.17","37.01","37.38","223,785"
08/03/2021,"38.72","39.54","38.00","39.00","176,979"
08/02/2021,"36.99","42.57","36.36","37.99","139,000"
07/30/2021,"35.92","37.22","35.10","36.97","173,563"
07/29/2021,"36.14","37.00","35.65","36.22","163,181"
07/28/2021,"35.79","37.15","35.68","36.25","150,225"
07/27/2021,"36.20","36.71","34.22","35.44","260,678"
07/26/2021,"38.25","38.25","36.23","36.26","242,469"
07/23/2021,"37.91","38.22","36.86","38.21","208,090"
07/22/2021,"36.15","37.49","34.73","37.35","389,269"
07/21/2021,"35.66","36.86","34.00","36.12","589,976"
07/20/2021,"31.40","35.66","30.89","35.06","1,433,788"
07/19/2021,"31.01","35.03","30.50","31.29","737,819"
07/16/2021,"31.85","33.85","30.26","32.70","756,851"
07/15/2021,"30.00","37.13","27.13","33.50","5,842,401"
