Date,Open,High,Low,Close,Volume
08/11/2021,"5.39","5.54","5.17","5.53","149,751"
08/10/2021,"5.05","5.70","4.86","5.47","421,301"
08/09/2021,"4.90","5.11","4.85","5.00","319,028"
08/06/2021,"5.06","5.13","4.84","4.90","284,011"
08/05/2021,"4.89","5.22","4.89","5.12","416,848"
08/04/2021,"4.98","5.10","4.81","4.81","113,335"
08/03/2021,"5.10","5.12","4.92","5.00","116,853"
08/02/2021,"5.14","5.45","5.10","5.12","164,346"
07/30/2021,"5.24","5.38","5.00","5.04","121,500"
07/29/2021,"5.65","5.66","5.26","5.29","117,878"
07/28/2021,"5.28","5.74","5.28","5.67","119,732"
07/27/2021,"4.95","5.39","4.84","5.32","304,100"
07/26/2021,"5.29","5.35","4.98","5.02","267,746"
07/23/2021,"5.58","5.86","5.25","5.28","188,257"
07/22/2021,"5.97","6.02","5.52","5.57","158,575"
07/21/2021,"6.10","6.25","5.91","6.02","154,232"
07/20/2021,"5.81","5.98","5.67","5.89","157,903"
07/19/2021,"5.88","5.91","5.38","5.79","390,271"
07/16/2021,"6.11","6.29","5.92","5.92","101,373"
07/15/2021,"6.00","6.16","5.82","6.01","199,333"
07/14/2021,"6.30","6.32","5.73","5.99","500,678"
07/13/2021,"6.48","6.48","6.15","6.33","385,758"
07/12/2021,"6.87","6.98","6.20","6.57","596,594"
07/09/2021,"6.95","7.23","6.29","6.90","1,917,040"
07/08/2021,"9.04","9.41","8.88","9.24","92,141"
07/07/2021,"9.69","9.79","9.03","9.29","276,286"
07/06/2021,"10.52","10.54","9.45","9.73","192,154"
07/02/2021,"10.62","10.65","9.96","10.35","187,388"
07/01/2021,"10.80","10.96","10.12","10.61","207,619"
06/30/2021,"10.68","11.06","10.24","10.73","167,403"
06/29/2021,"11.13","11.79","10.47","10.71","304,915"
06/28/2021,"11.26","12.01","10.80","11.20","534,744"
06/25/2021,"10.25","10.48","9.97","10.47","461,198"
06/24/2021,"9.88","10.05","9.58","9.97","150,074"
06/23/2021,"9.25","9.89","9.05","9.84","401,471"
06/22/2021,"9.90","9.97","9.01","9.15","381,105"
06/21/2021,"10.45","10.57","9.83","9.89","468,093"
06/18/2021,"10.42","11.03","10.33","10.47","433,131"
06/17/2021,"11.00","11.09","10.20","10.80","245,896"
