Date,Open,High,Low,Close,Volume
08/30/2021,"24.63","25.15","24.31","24.95","507,457"
08/27/2021,"25.23","25.49","24.62","24.66","416,995"
08/26/2021,"25.26","25.47","24.91","24.96","443,338"
08/25/2021,"25.05","25.50","24.72","25.43","968,087"
08/24/2021,"23.88","25.39","22.86","25.13","891,403"
08/23/2021,"23.09","23.94","23.01","23.86","386,407"
08/20/2021,"22.47","22.93","22.37","22.90","362,269"
08/19/2021,"22.46","22.60","22.07","22.39","654,843"
08/18/2021,"23.04","23.04","22.59","22.61","335,315"
08/17/2021,"23.92","24.00","22.90","23.03","534,501"
08/16/2021,"24.39","24.73","23.78","24.00","352,963"
08/13/2021,"24.78","25.24","24.29","24.40","554,161"
08/12/2021,"25.35","25.38","23.32","24.60","876,119"
08/11/2021,"23.94","24.73","23.35","24.57","1,368,604"
08/10/2021,"22.71","23.85","22.55","23.78","725,032"
08/09/2021,"23.07","23.18","22.70","22.72","323,376"
08/06/2021,"23.20","23.48","22.99","23.03","413,020"
08/05/2021,"23.24","23.41","23.10","23.16","688,681"
08/04/2021,"23.14","23.44","22.86","23.24","259,778"
08/03/2021,"23.34","23.50","22.91","23.19","317,596"
08/02/2021,"23.84","23.85","23.18","23.33","332,463"
07/30/2021,"23.30","23.93","23.30","23.70","398,543"
07/29/2021,"22.97","23.75","22.91","23.41","338,278"
07/28/2021,"22.49","23.23","22.26","22.99","387,672"
07/27/2021,"22.49","22.51","22.15","22.40","268,844"
07/26/2021,"22.81","23.00","22.38","22.59","278,396"
07/23/2021,"22.91","23.13","22.74","22.79","366,308"
07/22/2021,"22.65","23.05","22.41","22.87","298,734"
07/21/2021,"22.79","22.86","22.59","22.63","349,549"
07/20/2021,"22.43","22.91","22.21","22.75","550,210"
07/19/2021,"22.28","22.59","21.95","22.25","827,483"
07/16/2021,"22.57","23.06","22.30","22.62","567,238"
07/15/2021,"22.88","23.12","22.32","22.48","717,928"
07/14/2021,"23.60","23.70","23.00","23.03","523,477"
07/13/2021,"23.89","24.16","23.21","23.47","735,006"
07/12/2021,"24.04","24.35","23.83","23.88","782,009"
07/09/2021,"24.15","24.27","23.93","24.06","317,629"
07/08/2021,"23.54","24.27","23.24","23.91","787,066"
07/07/2021,"24.21","24.40","23.69","23.92","570,708"
07/06/2021,"24.47","24.82","24.09","24.18","536,887"
07/02/2021,"24.46","24.53","23.97","24.42","618,906"
07/01/2021,"25.22","25.22","24.11","24.34","461,656"
06/30/2021,"24.15","24.58","24.03","24.23","2,242,608"
06/29/2021,"25.10","25.38","24.83","24.93","647,982"
06/28/2021,"24.88","25.13","24.50","25.08","1,486,476"
06/25/2021,"24.06","24.81","23.84","24.74","2,316,640"
06/24/2021,"23.75","24.00","23.58","23.85","837,136"
06/23/2021,"23.75","24.18","23.32","23.74","701,116"
06/22/2021,"23.34","23.78","22.97","23.63","1,187,369"
06/21/2021,"23.41","23.64","23.11","23.39","946,785"
06/18/2021,"23.77","23.84","23.32","23.39","1,520,425"
06/17/2021,"23.83","24.30","23.49","23.93","1,327,912"
06/16/2021,"24.03","24.20","23.62","23.92","1,317,266"
06/15/2021,"24.04","24.53","23.70","23.85","1,128,498"
06/14/2021,"24.68","24.99","23.77","23.86","1,119,474"
06/11/2021,"24.58","25.16","24.19","24.62","786,721"
06/10/2021,"24.91","25.05","24.37","24.46","979,410"
06/09/2021,"25.42","25.63","24.78","24.83","446,970"
06/08/2021,"25.38","25.73","25.12","25.38","673,398"
06/07/2021,"25.49","25.49","25.03","25.21","780,912"
06/04/2021,"24.66","25.17","24.50","25.10","1,156,782"
06/03/2021,"24.29","24.78","24.01","24.46","1,171,758"
06/02/2021,"24.38","24.57","24.18","24.43","1,042,303"
06/01/2021,"24.35","24.57","23.97","24.30","883,360"
05/28/2021,"24.05","24.52","24.02","24.10","676,551"
