Date,Open,High,Low,Close,Volume
08/30/2021,"31.90","32.42","31.54","31.96","1,458,240"
08/27/2021,"31.66","32.09","31.56","31.86","475,830"
08/26/2021,"31.64","32.16","31.28","31.71","575,753"
08/25/2021,"31.39","31.87","30.91","31.60","486,734"
08/24/2021,"31.74","32.03","31.27","31.37","583,962"
08/23/2021,"31.41","31.91","31.02","31.55","988,798"
08/20/2021,"29.55","31.22","29.33","31.02","947,176"
08/19/2021,"30.40","30.53","29.39","29.54","513,573"
08/18/2021,"29.14","31.56","28.44","30.48","868,193"
08/17/2021,"29.13","29.82","28.62","29.12","1,203,218"
08/16/2021,"33.00","33.00","29.44","29.88","1,180,344"
08/13/2021,"33.43","33.63","32.74","33.02","776,953"
08/12/2021,"32.03","33.36","32.03","33.29","1,147,034"
08/11/2021,"33.32","33.53","30.59","32.25","1,603,243"
08/10/2021,"33.50","34.21","32.84","33.01","1,379,612"
08/09/2021,"32.89","34.46","32.65","33.05","1,134,186"
08/06/2021,"31.41","32.99","31.29","32.72","1,468,906"
08/05/2021,"30.62","31.69","30.27","31.30","1,294,148"
08/04/2021,"30.33","31.26","30.18","30.65","1,215,580"
08/03/2021,"28.95","30.52","28.79","30.51","1,086,286"
08/02/2021,"29.26","29.53","28.51","28.66","941,908"
07/30/2021,"28.06","29.67","27.80","29.09","935,111"
07/29/2021,"28.88","29.13","28.15","28.52","800,379"
07/28/2021,"27.24","28.70","27.09","28.63","1,863,412"
07/27/2021,"26.99","27.43","26.27","27.31","1,017,413"
07/26/2021,"27.48","28.04","26.42","27.05","939,155"
07/23/2021,"27.71","27.93","26.82","27.59","871,910"
07/22/2021,"27.71","28.29","26.52","27.55","1,757,915"
07/21/2021,"25.99","28.00","25.82","27.50","2,224,208"
07/20/2021,"26.72","26.95","25.16","25.68","2,878,322"
07/19/2021,"26.24","27.57","25.01","26.60","3,198,785"
07/16/2021,"27.91","28.09","27.07","27.11","3,864,443"
07/15/2021,"27.75","29.07","27.21","27.59","9,631,292"
07/14/2021,"30.15","30.51","28.09","28.41","3,117,862"
07/13/2021,"33.02","33.10","29.69","30.21","3,331,232"
07/12/2021,"35.96","36.20","34.77","35.28","1,102,112"
07/09/2021,"35.72","35.95","34.42","35.38","1,097,532"
07/08/2021,"36.09","36.59","34.66","35.81","1,130,820"
07/07/2021,"36.39","37.61","35.23","37.49","1,378,366"
07/06/2021,"35.78","36.27","34.92","36.16","1,436,563"
07/02/2021,"35.42","35.74","34.90","35.66","625,201"
07/01/2021,"35.44","35.48","34.29","35.25","1,371,049"
06/30/2021,"34.67","35.68","34.38","35.50","2,150,527"
06/29/2021,"34.33","34.51","33.55","34.41","1,671,879"
06/28/2021,"32.70","34.42","32.51","34.16","1,043,030"
06/25/2021,"31.94","32.81","31.53","32.46","1,543,310"
06/24/2021,"31.73","32.27","30.50","31.93","957,523"
06/23/2021,"29.89","32.22","29.89","31.49","1,333,391"
06/22/2021,"29.34","29.92","28.66","29.73","882,405"
06/21/2021,"30.58","30.58","28.26","29.38","1,353,224"
06/18/2021,"31.09","32.14","29.80","30.81","6,216,129"
06/17/2021,"30.19","31.92","30.09","30.82","1,365,227"
06/16/2021,"28.54","30.84","28.21","30.62","1,519,007"
06/15/2021,"30.41","30.70","28.35","28.66","1,015,924"
06/14/2021,"31.00","32.23","30.33","30.66","1,534,542"
06/11/2021,"30.08","30.98","29.78","30.64","1,213,593"
06/10/2021,"29.03","30.29","28.99","30.02","1,487,405"
06/09/2021,"29.25","29.34","28.44","29.23","922,928"
06/08/2021,"27.54","29.40","27.23","29.06","1,297,524"
06/07/2021,"26.85","27.13","25.94","27.08","1,239,471"
06/04/2021,"26.00","26.84","25.77","26.73","860,596"
06/03/2021,"27.42","27.76","25.50","25.78","932,714"
06/02/2021,"27.95","28.35","27.37","27.92","917,804"
06/01/2021,"27.93","28.46","26.67","27.95","1,121,051"
05/28/2021,"27.18","27.87","26.64","27.60","890,018"
05/27/2021,"26.59","27.52","26.47","27.18","2,722,309"
05/26/2021,"26.56","27.29","26.07","26.65","1,702,239"
05/25/2021,"25.55","26.74","25.26","26.55","1,809,076"
05/24/2021,"25.60","25.88","24.44","25.76","1,868,450"
05/21/2021,"23.55","24.84","23.21","24.39","2,110,314"
05/20/2021,"23.73","23.93","22.25","23.45","2,187,403"
05/19/2021,"21.28","22.19","21.01","21.50","938,615"
05/18/2021,"21.81","22.66","21.48","21.83","886,002"
05/17/2021,"22.95","23.38","20.94","21.68","1,838,066"
05/14/2021,"23.88","23.98","22.62","23.08","1,801,056"
05/13/2021,"26.25","26.66","23.02","23.23","1,803,666"
05/12/2021,"27.30","27.40","25.34","25.80","2,805,011"
05/11/2021,"27.69","28.72","27.00","28.06","1,202,956"
05/10/2021,"28.27","29.76","27.66","29.42","1,229,150"
05/07/2021,"29.66","30.68","28.54","28.78","775,895"
05/06/2021,"28.75","29.47","27.10","29.38","1,710,074"
05/05/2021,"29.97","30.42","28.10","29.07","1,521,519"
05/04/2021,"30.51","31.16","28.40","29.47","2,048,364"
05/03/2021,"32.24","32.38","30.40","31.17","1,479,408"
04/30/2021,"32.89","33.63","31.37","32.07","883,248"
04/29/2021,"34.78","34.82","32.62","33.25","1,227,872"
04/28/2021,"35.00","35.37","34.01","34.34","685,292"
04/27/2021,"35.34","35.94","34.63","35.55","1,357,722"
04/26/2021,"34.72","35.16","33.35","35.07","845,869"
04/23/2021,"33.84","34.83","33.66","34.60","775,612"
04/22/2021,"33.89","34.99","32.59","33.84","1,467,076"
04/21/2021,"31.46","34.08","31.00","33.91","872,345"
04/20/2021,"31.41","32.19","30.92","31.81","746,755"
04/19/2021,"32.80","33.42","30.50","31.06","1,653,086"
04/16/2021,"32.63","33.78","32.58","33.07","3,940,452"
04/15/2021,"34.38","34.47","32.23","32.35","1,500,955"
04/14/2021,"33.88","34.49","33.44","34.02","1,026,758"
04/13/2021,"33.51","34.48","33.05","33.88","1,058,801"
04/12/2021,"34.38","34.90","33.12","33.72","1,107,165"
04/09/2021,"35.11","35.69","34.37","34.69","1,701,903"
04/08/2021,"33.46","35.25","33.03","35.21","1,006,654"
04/07/2021,"35.39","35.72","33.01","33.24","1,275,702"
04/06/2021,"34.90","35.95","34.71","35.84","1,312,019"
04/05/2021,"35.43","36.23","34.51","35.07","2,580,267"
04/01/2021,"35.21","35.41","33.91","34.57","1,218,039"
03/31/2021,"33.94","35.75","33.94","34.78","1,892,744"
03/30/2021,"30.50","33.85","30.31","33.68","3,087,252"
