Date,Open,High,Low,Close,Volume
08/12/2021,"35.78","35.94","34.42","34.50","195,365"
08/11/2021,"34.25","36.34","33.89","36.14","159,929"
08/10/2021,"34.33","34.62","33.55","34.32","170,773"
08/09/2021,"34.37","34.58","32.95","34.29","144,143"
08/06/2021,"33.72","34.53","33.26","34.51","138,849"
08/05/2021,"32.11","33.39","31.71","33.30","153,294"
08/04/2021,"32.48","33.30","31.65","32.01","211,312"
08/03/2021,"32.02","33.78","31.63","32.84","324,563"
08/02/2021,"32.79","33.40","31.86","31.90","276,007"
07/30/2021,"33.56","34.30","32.01","32.49","181,703"
07/29/2021,"35.92","36.15","33.45","33.65","258,114"
07/28/2021,"33.77","35.46","33.25","34.61","212,351"
07/27/2021,"33.70","34.08","32.69","33.50","241,929"
07/26/2021,"34.01","34.83","33.56","33.95","229,703"
07/23/2021,"33.73","33.97","32.57","33.87","141,681"
07/22/2021,"34.34","34.86","33.31","33.43","163,063"
07/21/2021,"33.78","34.77","33.17","34.47","306,136"
07/20/2021,"31.16","33.68","31.12","33.57","301,604"
07/19/2021,"31.44","31.96","30.00","30.98","329,574"
07/16/2021,"33.29","33.70","32.03","32.22","290,261"
07/15/2021,"34.03","35.00","32.34","32.78","226,782"
07/14/2021,"35.18","35.74","33.95","34.28","181,615"
07/13/2021,"34.96","34.96","33.95","34.08","125,359"
07/12/2021,"35.38","35.54","34.47","34.74","196,675"
07/09/2021,"35.04","35.96","34.51","35.55","136,791"
07/08/2021,"34.73","35.47","33.65","34.54","230,474"
07/07/2021,"36.13","36.13","34.58","35.50","246,336"
07/06/2021,"36.90","37.12","35.76","36.17","207,839"
07/02/2021,"38.02","38.54","36.86","37.07","176,402"
07/01/2021,"37.23","38.31","36.69","38.06","171,927"
06/30/2021,"35.39","37.65","35.39","37.01","298,354"
06/29/2021,"37.04","37.04","35.49","35.52","203,302"
06/28/2021,"38.48","38.83","36.50","36.66","344,680"
06/25/2021,"40.01","40.23","38.28","38.59","2,238,280"
06/24/2021,"40.01","40.70","39.36","40.00","254,303"
06/23/2021,"39.41","40.60","38.42","39.90","219,026"
06/22/2021,"40.41","40.41","38.44","39.47","247,195"
06/21/2021,"40.53","41.40","40.22","40.40","338,727"
06/18/2021,"39.76","41.43","39.76","40.46","1,675,313"
06/17/2021,"40.00","40.79","39.80","40.13","590,500"
06/16/2021,"40.37","42.47","39.64","39.70","739,420"
06/15/2021,"39.66","40.95","39.27","40.44","488,643"
06/14/2021,"40.44","41.88","39.20","39.79","414,979"
06/11/2021,"38.43","41.14","37.70","40.22","4,938,039"
06/10/2021,"40.00","40.36","37.89","38.80","506,645"
06/09/2021,"40.74","41.13","39.95","40.03","861,548"
06/08/2021,"38.99","41.59","38.27","40.79","859,888"
06/07/2021,"37.64","38.93","37.02","38.93","679,628"
06/04/2021,"38.75","39.14","36.71","37.50","381,466"
06/03/2021,"38.48","39.24","38.17","38.50","526,516"
06/02/2021,"38.52","39.27","38.04","38.75","405,815"
06/01/2021,"37.43","38.62","37.03","38.52","659,444"
05/28/2021,"35.98","37.87","35.97","37.20","704,108"
05/27/2021,"35.01","36.86","34.95","35.99","844,729"
05/26/2021,"34.51","35.30","34.50","35.00","341,033"
05/25/2021,"34.87","35.51","34.60","34.79","390,382"
05/24/2021,"34.03","35.20","34.03","34.83","494,165"
05/21/2021,"34.51","34.98","33.99","34.01","1,115,313"
05/20/2021,"35.40","36.85","34.49","34.50","3,481,568"
05/19/2021,"35.00","35.92","34.12","35.55","252,202"
05/18/2021,"37.06","37.42","34.62","35.10","542,821"
05/17/2021,"39.47","40.36","39.00","39.74","55,974"
05/14/2021,"38.14","40.24","37.56","39.55","60,021"
05/13/2021,"38.15","39.05","36.17","37.69","103,563"
05/12/2021,"37.74","38.71","37.16","38.10","83,375"
05/11/2021,"37.56","38.00","36.67","37.74","111,717"
05/10/2021,"40.69","40.71","38.06","38.10","132,474"
05/07/2021,"37.39","41.35","37.25","40.86","82,466"
05/06/2021,"40.12","40.80","36.35","37.12","209,805"
05/05/2021,"38.88","40.44","38.87","40.10","356,454"
05/04/2021,"39.95","40.19","38.66","38.86","105,119"
05/03/2021,"41.00","41.22","39.52","39.99","187,361"
04/30/2021,"41.83","42.77","40.14","40.70","161,759"
04/29/2021,"42.90","43.52","41.58","41.83","194,438"
04/28/2021,"40.89","42.74","40.49","42.45","78,659"
04/27/2021,"40.16","41.12","39.14","40.60","101,268"
04/26/2021,"40.95","42.41","40.08","40.38","137,978"
04/23/2021,"42.46","43.00","41.05","41.08","111,720"
04/22/2021,"43.49","44.13","41.40","41.99","263,168"
04/21/2021,"42.64","44.00","41.78","43.08","155,213"
04/20/2021,"42.00","42.78","41.11","42.49","75,200"
