Date,Open,High,Low,Close,Volume
08/20/2021,"268.03","268.95","247.88","266.67","13,175,400"
08/19/2021,"276.00","284.56","275.25","279.45","1,790,038"
08/18/2021,"279.96","286.21","274.55","280.00","2,345,558"
08/17/2021,"274.50","281.53","271.38","278.00","2,168,140"
08/16/2021,"288.41","292.20","276.44","282.17","3,109,899"
08/13/2021,"285.60","291.77","282.75","291.52","3,281,121"
08/12/2021,"278.69","287.98","275.30","286.28","4,200,252"
08/11/2021,"276.10","277.99","270.73","275.87","1,746,996"
08/10/2021,"278.00","280.48","272.66","274.49","2,510,950"
08/09/2021,"277.76","281.98","276.50","280.00","2,736,825"
08/06/2021,"275.71","278.40","269.69","277.48","3,019,606"
08/05/2021,"270.65","278.47","268.41","276.99","2,539,675"
08/04/2021,"278.06","278.93","269.90","273.37","4,787,011"
08/03/2021,"272.00","285.84","271.24","284.58","7,741,413"
08/02/2021,"266.04","271.09","261.54","268.29","1,912,241"
07/30/2021,"265.00","272.88","264.10","265.72","1,765,506"
07/29/2021,"270.00","274.99","267.35","268.26","2,208,292"
07/28/2021,"262.51","270.98","261.12","269.36","1,712,665"
07/27/2021,"268.50","269.36","255.00","262.68","2,949,525"
07/26/2021,"262.69","269.75","262.21","268.80","2,488,079"
07/23/2021,"267.34","271.61","264.27","264.92","2,634,805"
07/22/2021,"261.90","269.17","261.36","267.30","2,979,391"
07/21/2021,"255.67","260.57","251.14","259.30","1,939,131"
07/20/2021,"253.00","259.19","248.63","256.27","1,659,740"
07/19/2021,"245.94","254.35","242.01","252.28","2,338,783"
07/16/2021,"251.56","253.42","245.50","250.82","2,255,094"
07/15/2021,"254.59","257.63","247.20","251.00","3,342,472"
07/14/2021,"268.91","269.68","252.06","252.54","3,287,250"
07/13/2021,"266.44","275.00","263.72","264.62","6,241,644"
07/12/2021,"267.50","269.35","258.88","267.06","4,560,148"
07/09/2021,"250.00","272.00","249.82","269.49","9,866,510"
07/08/2021,"243.14","254.00","241.23","250.30","3,833,718"
07/07/2021,"242.00","249.24","241.03","248.75","3,688,323"
07/06/2021,"235.05","241.09","234.78","239.05","1,982,842"
07/02/2021,"239.50","241.21","236.90","237.24","1,333,917"
07/01/2021,"240.42","241.64","235.72","236.75","2,350,066"
06/30/2021,"244.29","245.17","238.64","241.80","3,024,592"
06/29/2021,"248.00","251.00","245.08","245.80","2,291,743"
06/28/2021,"248.43","249.48","243.62","247.67","3,081,385"
06/25/2021,"252.00","253.27","247.02","247.09","9,235,731"
06/24/2021,"250.00","253.32","247.37","251.25","3,388,514"
06/23/2021,"248.10","250.10","244.47","249.00","2,696,274"
06/22/2021,"247.00","252.82","245.36","249.29","5,905,311"
06/21/2021,"247.22","250.00","241.65","248.29","4,794,352"
06/18/2021,"246.57","250.00","243.05","249.40","6,413,040"
06/17/2021,"234.50","248.68","231.52","245.53","6,603,887"
06/16/2021,"239.81","243.80","235.58","238.84","5,125,162"
06/15/2021,"244.72","247.36","239.52","241.41","2,660,133"
06/14/2021,"242.70","248.10","241.27","244.20","3,855,256"
06/11/2021,"239.00","242.53","233.75","240.60","7,123,197"
06/10/2021,"247.30","250.70","243.54","248.80","3,073,196"
06/09/2021,"250.35","255.00","245.72","247.01","4,214,676"
06/08/2021,"252.99","255.99","246.65","250.32","3,618,311"
06/07/2021,"244.65","252.55","240.01","250.57","7,385,871"
06/04/2021,"240.73","244.86","237.50","242.56","2,630,028"
06/03/2021,"240.00","243.23","233.36","238.43","3,598,135"
06/02/2021,"240.74","248.20","239.60","243.18","4,016,286"
06/01/2021,"239.50","243.56","235.51","240.81","3,772,977"
05/28/2021,"238.20","244.22","237.00","238.03","5,763,230"
05/27/2021,"226.50","246.48","220.00","245.15","17,722,061"
05/26/2021,"231.00","236.36","228.30","235.25","6,346,408"
05/25/2021,"236.53","236.70","228.57","229.96","2,863,759"
05/24/2021,"235.00","236.94","231.78","233.92","2,475,288"
05/21/2021,"230.85","235.25","230.79","233.39","3,786,898"
05/20/2021,"229.76","236.17","227.43","230.56","6,326,900"
05/19/2021,"214.82","229.00","213.68","228.81","4,644,908"
05/18/2021,"219.44","227.13","214.75","223.53","6,401,556"
05/17/2021,"208.45","217.80","205.45","212.65","4,650,834"
05/14/2021,"196.00","210.88","194.62","209.99","7,829,228"
05/13/2021,"193.00","196.50","184.71","188.24","3,816,525"
05/12/2021,"196.00","196.40","189.77","191.38","5,558,892"
05/11/2021,"189.66","204.27","187.10","201.46","5,002,646"
05/10/2021,"202.20","204.63","192.61","193.82","5,662,522"
05/07/2021,"206.49","214.32","205.22","206.04","5,976,688"
05/06/2021,"210.00","211.83","192.41","199.84","8,326,659"
05/05/2021,"220.24","222.10","211.89","213.79","2,068,327"
05/04/2021,"220.41","220.70","213.90","218.40","2,653,046"
05/03/2021,"232.30","232.82","222.88","223.69","1,939,411"
04/30/2021,"226.75","235.99","226.00","231.59","1,893,545"
04/29/2021,"236.50","237.81","227.10","229.55","2,415,352"
04/28/2021,"236.00","239.72","234.10","236.64","1,347,021"
04/27/2021,"239.80","241.22","234.19","238.17","2,079,613"
04/26/2021,"235.73","241.06","234.57","237.75","2,034,985"
04/23/2021,"231.44","236.58","231.44","235.64","1,329,739"
04/22/2021,"233.33","239.00","229.23","231.44","2,045,080"
04/21/2021,"222.00","231.87","221.68","231.39","1,454,840"
04/20/2021,"229.00","231.25","220.50","225.22","2,869,352"
04/19/2021,"230.00","233.90","225.46","229.07","1,917,065"
04/16/2021,"235.73","235.96","229.00","232.74","1,574,991"
04/15/2021,"232.99","236.80","232.10","236.38","2,262,603"
04/14/2021,"240.00","243.49","228.40","229.14","3,503,649"
04/13/2021,"234.50","239.78","232.33","238.08","3,031,072"
04/12/2021,"225.00","234.16","223.79","233.39","2,376,227"
04/09/2021,"233.58","234.66","223.73","226.89","5,352,965"
04/08/2021,"237.20","242.87","233.01","233.75","4,667,912"
04/07/2021,"234.51","240.00","232.38","233.97","2,072,243"
04/06/2021,"232.00","239.41","229.53","236.01","2,433,733"
04/05/2021,"237.80","238.50","229.50","232.32","2,235,499"
04/01/2021,"234.95","237.59","232.02","236.79","2,905,146"
03/31/2021,"222.72","234.06","222.45","229.28","3,680,187"
03/30/2021,"221.35","224.77","216.26","222.07","3,496,450"
03/29/2021,"230.55","236.22","221.04","223.49","4,373,889"
03/26/2021,"220.00","235.00","219.00","235.00","8,978,704"
03/25/2021,"206.39","218.71","205.07","216.95","4,404,852"
03/24/2021,"221.00","223.62","208.60","208.60","4,586,235"
03/23/2021,"224.00","229.25","218.17","220.00","3,550,246"
03/22/2021,"220.82","224.07","220.27","220.75","2,743,590"
03/19/2021,"216.50","223.29","215.26","220.82","5,685,976"
03/18/2021,"227.63","227.71","216.10","216.70","3,970,694"
03/17/2021,"223.00","233.33","223.00","230.30","3,934,591"
03/16/2021,"239.00","242.50","229.01","232.14","5,563,973"
03/15/2021,"230.98","241.60","230.75","238.76","8,004,291"
03/12/2021,"233.83","235.65","227.75","230.00","3,741,743"
03/11/2021,"235.00","241.55","233.20","237.81","5,731,082"
03/10/2021,"229.32","235.35","221.43","227.11","7,872,912"
03/09/2021,"221.84","235.47","219.16","230.02","6,302,432"
03/08/2021,"235.00","241.16","212.29","213.99","8,311,400"
03/05/2021,"250.64","250.73","217.82","239.73","20,149,061"
03/04/2021,"255.82","279.45","236.00","249.00","15,923,130"
03/03/2021,"270.00","271.40","246.36","247.03","6,234,464"
03/02/2021,"270.00","280.10","270.00","270.60","2,833,395"
03/01/2021,"269.30","273.71","263.29","272.17","2,762,273"
02/26/2021,"264.22","266.66","254.31","259.54","2,593,106"
02/25/2021,"270.18","275.49","255.25","260.34","2,900,264"
02/24/2021,"268.88","275.25","262.36","273.52","2,104,284"
02/23/2021,"260.40","271.00","242.98","269.08","4,018,270"
02/22/2021,"287.46","287.77","268.00","269.65","3,820,128"
02/19/2021,"292.49","298.00","287.59","290.00","2,305,449"
02/18/2021,"285.00","296.95","281.31","289.78","2,257,965"
02/17/2021,"289.00","292.82","283.27","288.78","1,710,305"
02/16/2021,"304.70","304.99","290.16","294.55","1,986,250"
02/12/2021,"299.00","303.34","292.34","299.47","1,518,585"
02/11/2021,"305.25","312.30","296.38","298.73","2,344,595"
02/10/2021,"324.80","327.41","300.00","305.91","3,425,306"
02/09/2021,"304.50","323.23","302.28","314.29","4,355,379"
02/08/2021,"308.71","317.90","302.03","304.50","2,395,043"
02/05/2021,"306.07","307.07","299.64","306.05","1,757,791"
02/04/2021,"309.80","310.88","299.03","303.61","2,192,555"
02/03/2021,"309.04","318.88","300.54","304.64","4,629,249"
02/02/2021,"289.71","310.66","286.50","300.71","7,223,949"
02/01/2021,"275.10","283.20","273.38","282.00","2,226,874"
01/29/2021,"271.00","277.78","267.50","272.45","2,176,969"
01/28/2021,"277.02","283.00","268.42","273.13","2,435,233"
01/27/2021,"277.00","285.75","264.00","266.20","4,387,660"
01/26/2021,"286.64","289.24","280.98","280.98","1,951,525"
01/25/2021,"292.45","296.81","276.00","287.25","3,750,913"
01/22/2021,"284.29","287.48","279.00","285.68","2,053,625"
01/21/2021,"288.00","289.58","282.60","286.32","1,893,952"
01/20/2021,"289.00","289.10","280.88","281.88","2,259,898"
01/19/2021,"293.75","295.00","284.04","286.21","3,143,562"
01/15/2021,"306.82","308.67","290.65","291.30","3,209,914"
01/14/2021,"305.00","313.48","300.01","303.76","4,585,768"
01/13/2021,"295.00","306.86","294.15","296.55","2,867,853"
01/12/2021,"298.00","299.66","286.21","293.35","3,256,655"
01/11/2021,"295.00","312.17","287.99","293.19","4,524,725"
01/08/2021,"315.00","325.72","298.00","300.10","9,106,784"
01/07/2021,"272.59","304.90","267.70","304.20","16,546,600"
01/06/2021,"279.99","283.64","266.41","268.02","5,736,765"
01/05/2021,"280.62","293.49","279.30","283.83","5,202,595"
01/04/2021,"285.41","290.80","274.44","278.24","3,948,459"
12/31/2020,"299.70","301.56","280.73","281.40","5,313,844"
12/30/2020,"304.00","307.35","297.75","300.92","2,631,182"
12/29/2020,"305.25","314.41","298.13","304.05","4,827,386"
12/28/2020,"324.87","327.79","302.67","302.81","4,756,552"
12/24/2020,"334.10","338.00","321.30","323.04","2,191,153"
12/23/2020,"341.16","343.40","328.26","331.65","2,745,838"
12/22/2020,"349.89","359.55","338.01","341.16","4,699,150"
12/21/2020,"329.00","350.00","329.00","349.85","5,879,545"
12/18/2020,"332.77","346.88","324.88","334.25","8,115,955"
12/17/2020,"333.82","337.10","323.49","325.54","3,717,078"
12/16/2020,"328.43","338.89","320.09","329.97","6,427,651"
12/15/2020,"308.98","329.00","303.54","328.61","20,379,221"
12/14/2020,"352.49","357.98","327.16","329.15","6,977,058"
12/11/2020,"360.40","369.10","347.26","353.96","6,362,584"
12/10/2020,"362.00","390.07","360.61","373.28","4,906,271"
12/09/2020,"393.40","406.99","361.01","371.26","8,980,225"
12/08/2020,"388.80","429.00","386.25","390.00","11,511,710"
12/07/2020,"393.50","404.43","371.00","388.96","8,134,890"
12/04/2020,"335.40","395.80","334.00","387.70","18,611,660"
12/03/2020,"290.54","343.00","289.00","339.89","11,102,620"
12/02/2020,"293.79","306.74","288.00","292.69","3,575,325"
12/01/2020,"321.63","326.00","302.28","305.64","2,659,313"
11/30/2020,"338.38","342.00","312.13","325.84","3,550,372"
11/27/2020,"310.00","334.62","309.73","328.79","3,293,763"
11/25/2020,"277.78","309.77","277.30","303.02","2,912,120"
11/24/2020,"275.10","283.39","267.49","282.10","1,735,156"
11/23/2020,"267.10","274.15","259.10","274.15","1,357,373"
11/20/2020,"269.00","273.17","264.00","266.00","1,598,060"
11/19/2020,"259.21","268.57","253.25","264.00","1,592,070"
11/18/2020,"253.00","262.27","250.74","260.54","2,202,331"
11/17/2020,"245.00","251.56","243.73","248.03","1,629,623"
11/16/2020,"234.00","244.18","230.25","241.85","1,799,503"
11/13/2020,"237.11","241.63","232.30","234.80","1,493,720"
11/12/2020,"243.80","244.20","232.16","235.38","1,744,043"
11/11/2020,"241.71","246.89","237.50","240.76","1,442,372"
11/10/2020,"249.65","249.94","229.98","235.68","2,266,839"
11/09/2020,"263.99","265.95","239.00","239.84","2,965,923"
11/06/2020,"263.44","270.00","259.20","265.00","986,802"
11/05/2020,"271.48","271.69","258.90","263.21","1,272,463"
11/04/2020,"270.79","274.87","262.20","263.91","1,394,680"
11/03/2020,"256.00","264.54","254.05","262.13","1,376,366"
11/02/2020,"254.10","260.83","247.00","252.23","1,301,028"
10/30/2020,"261.03","262.63","241.50","250.02","2,400,377"
10/29/2020,"273.80","276.22","264.16","265.88","1,146,899"
10/28/2020,"258.50","272.53","254.01","272.44","2,094,260"
10/27/2020,"254.89","273.00","253.99","266.77","3,492,923"
10/26/2020,"266.07","271.00","244.63","251.39","4,040,120"
10/23/2020,"290.34","294.00","262.24","265.05","5,619,345"
10/22/2020,"269.01","301.00","263.00","297.09","5,192,823"
10/21/2020,"251.65","271.29","250.35","270.61","3,359,483"
10/20/2020,"247.00","252.50","243.30","251.77","1,734,296"
10/19/2020,"245.00","249.86","243.00","246.78","1,535,094"
10/16/2020,"242.00","245.99","241.59","242.52","1,017,136"
10/15/2020,"236.03","241.36","231.46","241.00","1,846,451"
10/14/2020,"251.99","252.00","239.00","243.18","1,711,827"
10/13/2020,"247.00","250.50","245.27","249.61","1,462,376"
10/12/2020,"250.32","251.50","243.00","243.97","3,138,866"
10/09/2020,"242.00","243.70","235.47","238.00","1,727,964"
10/08/2020,"250.00","250.00","239.99","240.19","1,343,844"
10/07/2020,"245.50","252.36","245.29","246.00","1,682,799"
10/06/2020,"244.18","247.99","239.00","245.10","1,572,750"
10/05/2020,"231.97","243.43","231.20","240.00","2,362,078"
10/02/2020,"232.44","243.12","227.00","227.10","2,726,182"
10/01/2020,"255.25","255.91","238.00","243.46","3,977,446"
09/30/2020,"261.50","278.26","243.05","251.00","5,418,863"
09/29/2020,"255.00","259.70","246.03","259.13","5,307,254"
09/28/2020,"235.93","253.00","235.93","250.41","4,241,943"
09/25/2020,"228.12","236.26","227.90","229.00","1,985,530"
09/24/2020,"213.51","230.95","208.55","226.74","4,822,045"
09/23/2020,"243.50","254.80","213.00","217.39","5,851,868"
09/22/2020,"238.50","239.00","225.15","235.16","3,889,138"
09/21/2020,"230.00","241.50","218.60","228.85","5,524,876"
09/18/2020,"235.00","249.00","218.59","240.00","7,475,375"
09/17/2020,"230.76","241.50","215.24","227.54","11,907,540"
09/16/2020,"245.00","319.00","231.11","253.93","36,230,770"
