Date,Open,High,Low,Close,Volume
08/30/2021,"10.06","10.39","9.85","10.30","81,219"
08/27/2021,"9.31","10.18","9.12","9.96","158,979"
08/26/2021,"9.83","9.90","9.12","9.16","76,128"
08/25/2021,"9.90","10.00","9.81","9.93","89,845"
08/24/2021,"8.69","10.17","8.69","10.08","282,036"
08/23/2021,"8.30","8.84","8.24","8.58","195,195"
08/20/2021,"8.08","8.30","7.78","8.28","145,906"
08/19/2021,"8.00","8.08","7.60","8.04","91,009"
08/18/2021,"8.00","8.11","7.78","8.04","85,073"
08/17/2021,"7.86","8.00","7.60","8.00","67,555"
08/16/2021,"7.90","8.00","7.71","8.00","46,642"
08/13/2021,"7.84","7.99","7.50","7.95","75,953"
08/12/2021,"8.00","8.00","7.42","7.92","71,984"
08/11/2021,"7.81","8.02","7.04","7.95","255,122"
08/10/2021,"6.85","7.42","6.85","7.27","331,478"
08/09/2021,"6.92","7.34","6.88","6.89","67,306"
08/06/2021,"7.33","7.40","6.74","6.99","98,802"
08/05/2021,"7.21","7.48","7.21","7.33","20,597"
08/04/2021,"7.12","7.69","7.12","7.35","78,048"
08/03/2021,"7.52","7.52","6.99","7.45","38,281"
08/02/2021,"8.09","8.09","7.40","7.50","41,812"
07/30/2021,"7.52","8.00","7.35","7.89","80,537"
07/29/2021,"7.55","7.65","7.40","7.52","25,562"
07/28/2021,"7.33","7.62","7.18","7.53","15,525"
07/27/2021,"7.54","7.54","7.16","7.19","44,085"
07/26/2021,"7.50","7.89","7.37","7.61","76,497"
07/23/2021,"7.25","7.59","7.14","7.49","53,994"
07/22/2021,"7.36","7.47","7.14","7.20","57,044"
07/21/2021,"7.15","7.47","7.12","7.38","23,365"
07/20/2021,"7.00","7.22","6.93","7.17","34,965"
07/19/2021,"7.04","7.09","6.91","6.99","41,604"
07/16/2021,"7.15","7.44","7.02","7.23","37,958"
07/15/2021,"6.80","7.20","6.80","7.11","74,978"
07/14/2021,"7.72","7.90","6.80","6.97","143,831"
07/13/2021,"8.21","8.25","7.65","7.76","88,977"
07/12/2021,"8.90","8.91","8.07","8.12","74,227"
07/09/2021,"8.54","9.04","8.26","8.91","88,309"
07/08/2021,"8.13","8.50","8.04","8.37","57,199"
07/07/2021,"8.70","8.94","8.41","8.43","64,600"
07/06/2021,"8.90","8.97","8.50","8.83","84,083"
07/02/2021,"9.22","9.28","8.76","8.98","87,091"
07/01/2021,"9.32","9.45","9.03","9.08","144,843"
06/30/2021,"9.10","9.89","9.05","9.76","274,733"
06/29/2021,"9.73","9.89","9.00","9.10","471,496"
06/28/2021,"11.05","11.06","10.75","10.83","71,933"
06/25/2021,"11.41","11.41","10.75","10.95","420,624"
06/24/2021,"11.26","11.36","10.95","11.22","63,536"
06/23/2021,"11.04","11.47","11.02","11.13","74,523"
06/22/2021,"11.12","11.37","10.72","11.12","103,924"
06/21/2021,"11.93","12.19","11.04","11.13","98,117"
06/18/2021,"12.34","12.86","11.70","11.70","127,217"
06/17/2021,"12.64","13.00","12.46","12.63","45,439"
06/16/2021,"12.50","12.99","12.43","12.71","44,239"
06/15/2021,"12.54","12.62","12.07","12.42","64,815"
06/14/2021,"12.17","12.66","12.05","12.57","76,135"
06/11/2021,"12.09","12.16","11.76","11.99","56,001"
06/10/2021,"11.91","12.02","11.66","11.86","31,636"
06/09/2021,"12.18","12.18","11.67","11.83","39,665"
06/08/2021,"12.11","12.16","11.74","12.06","36,153"
06/07/2021,"12.22","12.48","11.90","12.07","61,932"
06/04/2021,"12.56","12.68","12.16","12.24","36,311"
06/03/2021,"12.10","12.61","11.78","12.54","62,496"
06/02/2021,"12.97","13.00","12.03","12.16","40,187"
06/01/2021,"12.47","12.92","12.41","12.90","74,538"
05/28/2021,"12.54","12.74","12.19","12.43","51,062"
05/27/2021,"12.40","12.78","11.88","12.38","72,820"
05/26/2021,"12.92","13.12","12.29","12.39","70,188"
05/25/2021,"13.61","13.69","12.61","12.74","69,618"
05/24/2021,"13.24","14.02","12.63","13.68","161,271"
05/21/2021,"12.58","15.12","12.14","13.01","687,715"
05/20/2021,"9.81","13.29","9.81","12.66","1,587,544"
05/19/2021,"9.23","9.92","9.23","9.73","198,142"
05/18/2021,"9.15","9.70","9.09","9.23","165,947"
05/17/2021,"9.33","9.42","9.05","9.10","91,190"
05/14/2021,"10.88","10.94","9.35","9.60","125,967"
05/13/2021,"9.68","10.35","9.53","10.20","73,291"
05/12/2021,"9.60","10.11","9.60","9.69","191,033"
05/11/2021,"10.44","10.80","9.66","10.16","117,817"
05/10/2021,"11.74","11.74","10.78","10.83","71,056"
05/07/2021,"11.34","12.30","11.34","11.86","44,131"
05/06/2021,"12.07","12.46","11.49","11.80","48,239"
05/05/2021,"12.30","12.63","12.00","12.08","86,627"
05/04/2021,"13.14","13.30","12.00","12.08","98,573"
05/03/2021,"13.25","14.10","13.19","13.20","110,913"
04/30/2021,"12.91","13.38","12.91","13.24","131,164"
