Date,Open,High,Low,Close,Volume
08/11/2021,"4.3300","4.5000","4.0886","4.2825","138,853"
08/10/2021,"4.4000","4.4000","4.2000","4.3200","168,870"
08/09/2021,"4.4200","4.5600","4.3000","4.4500","371,465"
08/06/2021,"4.5000","4.6900","4.2100","4.4600","381,708"
08/05/2021,"4.6600","4.7700","4.5200","4.5800","187,211"
08/04/2021,"4.7500","5.1400","4.5600","4.6700","232,266"
08/03/2021,"4.8900","5.0772","4.5800","4.8600","266,375"
08/02/2021,"5.1100","5.5950","4.9100","4.9500","318,190"
07/30/2021,"4.7100","6.7000","4.6300","5.5000","2,109,144"
07/29/2021,"4.6500","5.0900","4.4000","4.6900","454,652"
07/28/2021,"4.6500","4.7900","4.3600","4.5900","250,756"
07/27/2021,"4.7100","4.8600","4.4000","4.5300","320,706"
07/26/2021,"5.5000","5.9700","4.3900","4.6100","1,013,094"
07/23/2021,"8.2880","8.4000","6.1900","6.5000","1,255,577"
07/22/2021,"33.7700","41.2000","10.0000","11.5500","5,228,409"
07/21/2021,"27.7000","32.3300","24.7500","31.1000","96,066"
07/20/2021,"28.0000","29.6600","28.0000","28.5300","25,658"
07/19/2021,"30.6600","30.6600","23.6900","27.8000","43,290"
07/16/2021,"33.0000","33.9965","30.1800","30.7100","36,221"
07/15/2021,"35.9100","38.0800","30.0100","31.5100","35,669"
07/14/2021,"37.1000","42.5000","35.4000","35.4000","92,401"
07/13/2021,"31.3300","37.0000","31.3300","37.0000","48,497"
07/12/2021,"36.0800","38.8799","24.0000","35.0000","224,672"
07/09/2021,"42.9900","52.0000","33.0000","34.8900","784,393"
