Date,Open,High,Low,Close,Volume
08/30/2021,"46.00","46.00","44.50","44.89","115,463"
08/27/2021,"44.30","45.84","44.28","45.64","105,266"
08/26/2021,"46.87","47.04","44.27","44.63","217,355"
08/25/2021,"46.79","47.41","46.00","47.10","141,009"
08/24/2021,"44.50","47.16","44.17","46.68","236,111"
08/23/2021,"43.46","45.47","43.40","44.15","159,380"
08/20/2021,"42.22","43.44","42.17","43.36","102,518"
08/19/2021,"43.06","44.24","42.11","42.35","156,959"
08/18/2021,"42.81","43.76","42.22","43.16","155,239"
08/17/2021,"42.42","43.75","42.04","42.84","224,639"
08/16/2021,"44.00","44.32","42.76","43.11","256,270"
08/13/2021,"45.27","45.56","44.10","44.50","208,522"
08/12/2021,"42.94","45.15","42.80","45.00","178,133"
08/11/2021,"45.71","45.71","41.64","42.80","455,364"
08/10/2021,"44.90","46.63","43.00","45.00","841,716"
08/09/2021,"48.69","50.35","47.20","49.50","390,734"
08/06/2021,"51.77","52.34","48.21","48.46","249,692"
08/05/2021,"51.16","52.16","50.71","51.71","63,826"
08/04/2021,"51.72","52.10","50.56","51.15","70,200"
08/03/2021,"51.36","52.55","50.78","51.65","333,653"
08/02/2021,"50.85","52.85","50.85","50.90","291,557"
07/30/2021,"51.60","53.00","50.50","50.63","374,349"
07/29/2021,"53.49","54.04","52.65","52.86","350,117"
07/28/2021,"55.50","56.79","53.25","53.30","137,640"
07/27/2021,"57.00","57.35","53.71","55.05","159,282"
07/26/2021,"58.63","58.99","56.60","57.58","122,798"
07/23/2021,"56.84","59.37","56.15","58.52","134,328"
07/22/2021,"54.11","56.95","53.65","56.62","170,393"
07/21/2021,"53.12","54.51","53.01","53.66","86,133"
07/20/2021,"54.00","54.18","52.33","53.52","149,026"
07/19/2021,"52.49","55.42","50.50","53.55","309,834"
07/16/2021,"54.14","54.67","52.22","52.27","134,947"
07/15/2021,"56.05","56.54","52.84","54.02","304,043"
07/14/2021,"55.14","56.69","54.50","56.21","188,576"
07/13/2021,"55.87","56.54","54.14","55.12","104,267"
07/12/2021,"56.45","56.74","54.14","55.21","121,477"
07/09/2021,"54.00","56.57","53.33","56.00","193,308"
07/08/2021,"55.00","55.34","53.50","54.05","248,663"
07/07/2021,"56.71","57.70","55.10","55.98","408,330"
07/06/2021,"58.22","58.22","55.27","56.60","381,370"
07/02/2021,"56.98","58.48","56.64","57.01","334,031"
07/01/2021,"58.92","59.57","56.49","57.28","288,359"
06/30/2021,"58.99","59.83","55.89","59.41","339,405"
06/29/2021,"61.25","61.55","58.05","58.46","334,736"
06/28/2021,"64.12","64.69","62.89","62.99","292,737"
06/25/2021,"62.98","64.38","62.98","64.10","348,576"
06/24/2021,"63.50","63.50","61.66","63.00","419,497"
06/23/2021,"64.17","64.23","62.91","63.08","94,806"
06/22/2021,"63.00","64.66","62.61","64.05","312,173"
06/21/2021,"64.06","64.71","61.33","63.52","425,480"
06/18/2021,"61.49","63.98","61.10","63.55","457,283"
06/17/2021,"59.77","62.45","59.47","61.85","408,880"
06/16/2021,"57.80","60.62","57.80","59.73","269,394"
06/15/2021,"58.73","59.50","56.70","57.82","425,484"
06/14/2021,"59.90","60.02","59.35","60.00","571,852"
06/11/2021,"58.23","59.98","58.23","59.90","467,153"
06/10/2021,"57.17","58.48","57.03","58.13","206,789"
06/09/2021,"56.22","57.50","55.98","57.03","300,448"
06/08/2021,"54.80","56.15","54.30","56.13","573,954"
06/07/2021,"52.00","54.95","51.45","54.74","328,628"
06/04/2021,"51.14","51.93","50.50","51.56","292,400"
06/03/2021,"50.54","51.34","50.42","50.72","74,932"
06/02/2021,"53.00","53.08","51.50","51.92","86,576"
06/01/2021,"53.45","53.45","49.60","53.00","228,151"
05/28/2021,"54.22","54.61","51.84","52.63","163,022"
05/27/2021,"54.77","54.96","54.00","54.82","196,569"
05/26/2021,"54.30","54.98","53.58","54.93","249,945"
05/25/2021,"53.94","55.88","53.10","54.51","2,244,272"
05/24/2021,"51.49","54.42","50.50","54.30","1,944,132"
05/21/2021,"50.00","53.00","49.00","49.56","2,003,334"
05/20/2021,"44.01","51.16","43.75","49.87","2,939,035"
05/19/2021,"48.00","50.02","42.82","43.65","5,471,014"
