Date,Open,High,Low,Close,Volume
08/30/2021,"13.64","13.95","12.97","13.33","61,519"
08/27/2021,"12.77","13.58","12.75","13.55","76,554"
08/26/2021,"12.02","13.29","11.94","12.74","168,115"
08/25/2021,"12.14","12.43","11.96","12.14","31,869"
08/24/2021,"12.02","12.12","11.83","12.09","35,298"
08/23/2021,"11.63","12.15","11.44","12.02","51,647"
08/20/2021,"12.19","12.28","11.26","11.46","69,417"
08/19/2021,"12.29","12.47","12.14","12.25","47,084"
08/18/2021,"12.12","12.85","11.97","12.36","57,040"
08/17/2021,"11.81","12.21","11.70","12.15","61,266"
08/16/2021,"12.99","12.99","11.95","12.00","90,955"
08/13/2021,"12.94","13.07","12.38","13.01","106,348"
08/12/2021,"12.69","13.01","12.44","13.00","118,781"
08/11/2021,"12.57","12.76","12.38","12.66","50,411"
08/10/2021,"12.90","13.00","12.25","12.55","49,719"
08/09/2021,"12.53","12.98","12.43","12.84","87,175"
08/06/2021,"12.36","12.50","11.94","12.43","120,100"
08/05/2021,"11.72","12.48","11.53","12.21","84,275"
08/04/2021,"11.93","12.29","11.58","11.93","65,232"
08/03/2021,"12.41","12.41","11.83","12.11","44,088"
08/02/2021,"12.09","12.68","12.09","12.32","58,396"
07/30/2021,"12.46","12.88","11.91","12.10","214,482"
07/29/2021,"12.88","13.18","12.45","12.50","252,567"
07/28/2021,"13.20","13.45","12.56","12.89","212,132"
07/27/2021,"13.78","13.86","13.03","13.15","77,300"
07/26/2021,"14.07","14.34","13.65","13.86","69,330"
07/23/2021,"14.06","14.06","13.28","13.93","73,292"
07/22/2021,"14.15","14.34","13.76","13.95","62,551"
07/21/2021,"14.10","14.45","13.76","14.20","117,850"
07/20/2021,"13.45","14.06","13.04","13.99","105,220"
07/19/2021,"13.30","13.64","13.18","13.46","158,778"
07/16/2021,"13.22","13.51","12.97","13.39","73,083"
07/15/2021,"13.28","13.33","12.51","13.06","139,576"
07/14/2021,"14.00","14.15","13.16","13.36","227,102"
07/13/2021,"14.85","14.85","13.79","14.15","301,490"
07/12/2021,"14.70","14.93","14.40","14.92","95,953"
07/09/2021,"14.40","14.88","14.33","14.70","75,800"
07/08/2021,"14.07","14.42","14.00","14.32","104,950"
07/07/2021,"14.64","14.77","13.91","14.41","155,235"
07/06/2021,"15.27","15.27","14.05","14.71","316,361"
07/02/2021,"14.80","15.43","14.58","15.18","185,282"
07/01/2021,"14.50","15.00","14.40","14.82","183,076"
06/30/2021,"13.90","14.48","13.90","14.45","279,741"
06/29/2021,"14.24","14.43","13.57","13.88","150,292"
06/28/2021,"14.22","14.71","13.94","14.22","214,092"
06/25/2021,"14.19","14.52","13.09","14.20","2,681,750"
06/24/2021,"13.65","14.48","13.65","14.09","295,611"
06/23/2021,"12.95","13.65","12.95","13.52","267,048"
06/22/2021,"13.16","13.45","12.62","12.88","371,024"
06/21/2021,"13.60","13.60","13.00","13.40","367,877"
06/18/2021,"13.62","13.93","13.42","13.50","237,404"
06/17/2021,"13.50","14.06","13.50","13.77","282,171"
06/16/2021,"13.59","14.14","13.20","13.32","261,697"
06/15/2021,"13.72","13.84","13.23","13.57","172,044"
06/14/2021,"13.44","13.89","13.39","13.71","189,745"
06/11/2021,"13.47","13.85","13.25","13.55","139,700"
06/10/2021,"13.44","13.67","13.00","13.50","215,005"
06/09/2021,"13.40","13.89","13.15","13.44","267,655"
06/08/2021,"13.25","13.60","12.96","13.40","221,053"
06/07/2021,"13.42","13.94","12.99","13.20","328,152"
06/04/2021,"13.60","14.00","13.25","13.56","157,297"
06/03/2021,"14.04","14.17","13.32","13.54","184,263"
06/02/2021,"13.89","14.15","13.34","13.86","149,618"
06/01/2021,"13.64","13.91","13.02","13.70","115,359"
05/28/2021,"13.70","13.94","13.20","13.57","136,993"
05/27/2021,"13.56","14.55","13.40","13.95","133,353"
05/26/2021,"13.20","13.90","13.06","13.61","187,033"
05/25/2021,"13.38","13.55","12.84","13.06","142,939"
05/24/2021,"13.37","13.78","12.84","13.40","195,318"
05/21/2021,"14.00","14.07","13.00","13.47","172,508"
05/20/2021,"13.06","13.84","12.74","13.84","182,244"
05/19/2021,"12.83","13.29","12.59","13.03","79,467"
05/18/2021,"12.54","13.31","12.54","13.07","107,621"
05/17/2021,"11.86","12.71","11.73","12.47","110,116"
05/14/2021,"11.40","12.18","11.35","11.88","111,229"
05/13/2021,"11.80","12.00","11.15","11.32","125,459"
05/12/2021,"11.70","12.21","11.36","11.52","194,278"
05/11/2021,"11.37","11.96","11.17","11.47","162,471"
05/10/2021,"11.77","13.46","11.44","11.57","296,660"
05/07/2021,"11.65","12.05","11.29","11.79","593,883"
05/06/2021,"11.91","12.13","11.28","11.66","145,953"
05/05/2021,"11.78","12.40","11.34","12.01","167,714"
05/04/2021,"12.47","12.59","11.84","12.01","213,891"
05/03/2021,"12.19","12.63","11.94","12.21","162,556"
04/30/2021,"12.25","12.82","11.79","12.28","168,945"
04/29/2021,"12.74","12.84","12.03","12.27","170,196"
04/28/2021,"12.84","13.12","12.36","12.69","354,475"
