Date,Open,High,Low,Close,Volume
08/11/2021,"20.63","21.17","20.20","21.03","331,769"
08/10/2021,"19.83","20.80","19.79","20.52","320,079"
08/09/2021,"20.58","20.63","19.70","20.00","564,090"
08/06/2021,"21.07","21.10","20.41","20.62","505,970"
08/05/2021,"20.75","21.11","20.75","20.92","827,639"
08/04/2021,"20.00","21.14","19.96","20.94","2,270,509"
08/03/2021,"19.86","20.16","19.73","19.91","578,200"
08/02/2021,"20.42","20.70","19.60","19.60","1,535,172"
07/30/2021,"20.00","20.50","19.64","20.19","1,271,372"
07/29/2021,"19.86","20.20","19.68","19.90","1,157,433"
07/28/2021,"20.13","20.13","19.25","19.70","900,744"
07/27/2021,"20.20","20.24","19.47","19.90","682,728"
07/26/2021,"20.42","20.74","19.80","20.00","418,939"
07/23/2021,"19.97","20.47","19.50","20.34","343,080"
07/22/2021,"19.62","20.00","19.25","19.85","591,368"
07/21/2021,"20.20","20.40","19.07","19.51","1,846,641"
07/20/2021,"19.31","20.23","19.29","19.80","1,328,105"
07/19/2021,"18.23","20.07","18.23","19.54","2,699,913"
07/16/2021,"16.65","19.67","16.61","19.67","12,538,610"
