Date,Open,High,Low,Close,Volume
08/12/2021,"20.15","20.62","20.02","20.10","366,183"
08/11/2021,"20.23","20.27","19.87","20.17","267,852"
08/10/2021,"20.34","20.52","19.86","20.06","443,493"
08/09/2021,"20.38","20.92","20.33","20.35","327,949"
08/06/2021,"20.60","20.74","20.11","20.39","419,730"
08/05/2021,"19.91","20.65","19.83","20.39","762,397"
08/04/2021,"20.59","20.83","19.80","19.91","722,326"
08/03/2021,"21.00","21.15","19.85","20.63","640,589"
08/02/2021,"20.75","21.59","20.36","21.13","513,014"
07/30/2021,"20.90","21.20","20.62","20.65","1,132,195"
07/29/2021,"20.74","21.17","20.64","21.10","549,612"
07/28/2021,"20.25","21.04","20.15","20.84","466,215"
07/27/2021,"20.52","20.68","19.47","20.09","826,230"
07/26/2021,"21.03","21.20","20.67","20.70","589,094"
07/23/2021,"21.07","21.33","20.74","21.05","731,110"
07/22/2021,"20.93","21.34","20.91","21.12","643,319"
07/21/2021,"20.48","21.04","20.38","21.00","448,449"
07/20/2021,"20.05","20.80","19.81","20.57","657,112"
07/19/2021,"19.29","19.98","18.90","19.97","860,658"
07/16/2021,"19.61","20.26","19.50","19.95","1,163,953"
07/15/2021,"19.96","20.19","19.20","19.41","665,675"
07/14/2021,"21.31","21.36","19.91","20.00","1,008,321"
07/13/2021,"21.81","22.36","21.01","21.05","727,052"
07/12/2021,"22.45","23.48","21.48","21.82","1,702,412"
07/09/2021,"22.18","22.42","22.03","22.38","760,138"
07/08/2021,"20.31","22.50","20.01","22.13","2,173,916"
07/07/2021,"21.43","22.61","21.43","22.47","2,771,562"
07/06/2021,"20.65","21.59","20.44","21.37","827,493"
07/02/2021,"20.80","21.30","20.44","20.65","736,441"
07/01/2021,"20.56","20.81","20.29","20.69","746,835"
06/30/2021,"20.41","20.86","20.02","20.65","1,017,265"
06/29/2021,"20.73","21.11","20.48","20.53","868,417"
06/28/2021,"21.68","21.68","20.30","20.68","1,793,443"
06/25/2021,"21.24","21.99","21.15","21.48","9,361,416"
06/24/2021,"21.01","21.30","20.55","21.22","1,055,621"
06/23/2021,"20.70","21.39","20.17","20.74","1,311,421"
06/22/2021,"21.95","22.69","20.53","20.80","3,303,058"
06/21/2021,"21.96","22.01","21.25","21.97","3,732,069"
06/18/2021,"20.92","22.13","20.73","21.96","4,235,874"
06/17/2021,"19.09","21.33","19.05","21.18","2,874,172"
06/16/2021,"19.39","20.41","19.14","19.86","2,495,598"
06/15/2021,"20.60","20.85","19.81","19.88","1,458,203"
06/14/2021,"22.00","22.02","20.44","20.56","1,805,609"
06/11/2021,"21.51","21.94","21.40","21.86","1,458,915"
06/10/2021,"20.65","21.51","20.26","21.49","1,735,859"
06/09/2021,"20.86","21.39","20.62","20.82","2,137,175"
06/08/2021,"20.84","20.99","19.76","20.65","3,019,089"
06/07/2021,"19.97","20.98","19.75","20.95","2,777,744"
06/04/2021,"18.00","20.62","18.00","19.95","3,105,493"
06/03/2021,"19.00","19.14","18.41","18.66","1,150,963"
06/02/2021,"18.85","19.07","18.69","18.98","876,987"
06/01/2021,"19.30","19.30","18.36","18.82","882,816"
05/28/2021,"19.01","19.54","18.71","18.80","647,589"
05/27/2021,"18.87","19.09","18.23","19.00","869,880"
05/26/2021,"18.84","19.36","18.60","18.95","1,087,392"
05/25/2021,"18.72","19.16","18.51","18.57","776,268"
05/24/2021,"18.68","19.09","18.35","18.97","1,076,187"
05/21/2021,"18.40","19.29","18.26","18.70","1,081,896"
05/20/2021,"18.16","18.61","17.83","18.22","943,853"
05/19/2021,"17.35","18.10","17.25","18.00","1,258,009"
05/18/2021,"16.90","18.08","16.66","17.81","1,044,466"
05/17/2021,"16.89","17.42","16.63","16.87","566,549"
05/14/2021,"16.60","17.11","16.03","16.86","936,999"
05/13/2021,"17.12","17.64","16.01","16.08","1,000,891"
05/12/2021,"16.97","17.17","16.33","17.03","697,527"
05/11/2021,"15.97","17.49","15.80","17.29","967,750"
05/10/2021,"17.24","17.45","16.49","16.78","697,149"
05/07/2021,"16.86","17.69","16.78","17.50","913,258"
05/06/2021,"17.44","17.51","15.91","16.54","1,566,678"
05/05/2021,"17.89","18.20","17.38","17.65","602,037"
05/04/2021,"18.42","18.42","17.45","17.95","1,007,205"
05/03/2021,"19.43","19.46","18.32","18.64","806,765"
04/30/2021,"19.19","19.86","19.16","19.49","463,652"
04/29/2021,"20.04","20.30","19.05","19.58","774,709"
04/28/2021,"19.78","20.02","19.39","19.96","509,041"
04/27/2021,"19.96","20.16","19.40","19.79","769,430"
04/26/2021,"20.02","20.20","19.80","19.96","878,297"
04/23/2021,"19.06","19.82","19.06","19.72","830,330"
04/22/2021,"18.94","19.71","18.81","19.13","857,250"
04/21/2021,"17.73","18.89","17.41","18.75","916,550"
04/20/2021,"18.67","18.86","17.55","17.84","1,404,174"
04/19/2021,"19.01","19.90","18.64","18.79","1,115,329"
04/16/2021,"20.38","20.63","19.36","19.45","2,945,071"
04/15/2021,"20.51","20.75","19.71","20.29","1,435,252"
04/14/2021,"20.70","21.04","20.20","20.42","2,326,824"
04/13/2021,"19.13","20.75","19.08","20.59","4,019,100"
