Date,Open,High,Low,Close,Volume
08/12/2021,"9.75","9.77","9.70","9.77","9,003"
08/11/2021,"9.75","9.80","9.75","9.75","19,133"
08/10/2021,"9.80","9.80","9.75","9.79","411,238"
08/09/2021,"9.80","9.84","9.76","9.80","477,922"
08/06/2021,"9.78","9.83","9.78","9.83","2,805"
08/05/2021,"9.77","9.83","9.77","9.83","1,148"
08/04/2021,"9.79","9.84","9.76","9.82","53,938"
08/03/2021,"9.79","9.83","9.78","9.80","10,279"
08/02/2021,"9.80","9.86","9.74","9.79","1,062,674"
07/30/2021,"9.82","9.88","9.76","9.80","141,826"
07/29/2021,"9.84","9.85","9.82","9.85","19,860"
07/28/2021,"9.88","9.89","9.84","9.84","231,238"
07/27/2021,"9.86","9.89","9.85","9.89","23,634"
07/26/2021,"9.89","9.89","9.86","9.86","6,617"
07/23/2021,"9.87","9.92","9.87","9.90","9,860"
07/22/2021,"9.90","9.92","9.90","9.92","23,398"
07/21/2021,"9.95","9.95","9.90","9.92","19,549"
07/20/2021,"9.91","9.95","9.90","9.95","1,966,185"
07/19/2021,"9.88","9.95","9.85","9.95","25,043"
07/16/2021,"9.92","9.95","9.91","9.92","105,817"
07/15/2021,"9.90","9.93","9.85","9.92","14,314"
07/14/2021,"9.93","9.94","9.91","9.93","2,466"
07/13/2021,"9.93","9.95","9.91","9.95","6,185"
07/12/2021,"9.88","9.95","9.86","9.95","2,134"
07/09/2021,"9.94","9.95","9.92","9.95","19,878"
07/08/2021,"9.90","9.95","9.86","9.95","53,124"
07/07/2021,"9.90","9.93","9.90","9.90","24,181"
07/06/2021,"9.98","9.98","9.90","9.93","12,036"
07/02/2021,"9.87","9.92","9.86","9.91","5,960"
07/01/2021,"9.90","9.93","9.90","9.92","3,195"
06/30/2021,"9.86","9.94","9.86","9.94","48,763"
06/29/2021,"9.90","9.92","9.88","9.92","37,316"
06/28/2021,"9.91","9.94","9.89","9.92","115,131"
06/25/2021,"9.95","10.00","9.91","9.91","64,105"
06/24/2021,"9.93","9.96","9.90","9.95","19,306"
06/23/2021,"9.95","9.97","9.93","9.95","13,408"
06/22/2021,"9.94","9.97","9.90","9.95","53,894"
06/21/2021,"9.96","9.97","9.93","9.95","78,944"
06/18/2021,"9.95","9.97","9.93","9.95","24,406"
06/17/2021,"10.04","10.04","9.93","9.95","22,362"
06/16/2021,"9.98","10.00","9.96","9.98","27,925"
06/15/2021,"9.92","10.00","9.92","9.95","173,055"
06/14/2021,"9.94","9.98","9.90","9.96","67,736"
06/11/2021,"9.92","9.98","9.91","9.96","19,926"
06/10/2021,"9.99","9.99","9.92","9.95","16,588"
06/09/2021,"9.95","10.00","9.94","9.98","74,826"
06/08/2021,"9.95","10.00","9.95","9.98","11,956"
06/07/2021,"9.88","9.98","9.88","9.97","5,573"
06/04/2021,"9.91","10.00","9.91","9.98","24,405"
06/03/2021,"9.91","10.02","9.87","10.00","66,621"
06/02/2021,"9.89","9.99","9.88","9.95","53,795"
06/01/2021,"9.94","9.95","9.88","9.89","35,735"
05/28/2021,"9.96","10.00","9.93","9.95","3,639"
05/27/2021,"9.95","10.00","9.94","9.96","36,584"
05/26/2021,"10.05","10.05","9.94","9.95","12,822"
05/25/2021,"9.94","10.02","9.94","9.96","26,823"
05/24/2021,"10.02","10.02","9.94","9.96","6,745"
05/21/2021,"9.97","9.99","9.97","9.97","4,184"
05/20/2021,"9.94","10.03","9.94","9.96","124,871"
05/19/2021,"9.96","10.00","9.93","9.94","332,740"
05/18/2021,"9.98","9.98","9.93","9.94","612,536"
05/17/2021,"10.02","10.02","9.98","9.99","10,745"
05/14/2021,"10.01","10.01","10.00","10.00","24,000"
05/13/2021,"9.95","10.07","9.95","9.97","130,128"
05/12/2021,"10.05","10.11","9.96","9.96","587,575"
05/11/2021,"10.06","10.10","10.02","10.03","45,566"
05/10/2021,"10.16","10.20","10.11","10.20","65,872"
05/07/2021,"10.20","10.20","10.15","10.20","14,032"
05/06/2021,"10.14","10.24","10.12","10.24","65,247"
05/05/2021,"10.12","10.20","10.10","10.14","65,280"
05/04/2021,"10.17","10.20","10.01","10.13","1,316,241"
05/03/2021,"10.50","10.58","10.16","10.17","135,414"
04/30/2021,"10.35","10.49","10.30","10.49","19,621"
04/29/2021,"10.34","10.34","10.28","10.30","23,422"
04/28/2021,"10.25","10.28","10.24","10.25","20,128"
04/27/2021,"10.42","10.44","10.27","10.33","23,822"
04/26/2021,"10.50","10.50","10.21","10.48","176,157"
04/23/2021,"10.18","10.70","10.18","10.54","412,945"
04/22/2021,"10.20","10.20","10.18","10.18","8,725"
04/21/2021,"10.20","10.29","10.18","10.29","19,529"
04/20/2021,"10.20","10.23","10.15","10.20","20,154"
04/19/2021,"10.20","10.27","10.15","10.23","27,992"
04/16/2021,"10.33","10.35","10.19","10.20","151,383"
04/15/2021,"10.23","10.36","10.23","10.35","94,547"
04/14/2021,"10.11","10.27","10.11","10.21","36,520"
04/13/2021,"10.15","10.18","10.10","10.15","123,900"
04/12/2021,"10.21","10.25","10.10","10.15","68,726"
04/09/2021,"10.25","10.26","10.23","10.25","14,364"
04/08/2021,"10.24","10.27","10.17","10.27","74,793"
04/07/2021,"10.10","10.20","10.09","10.19","224,797"
04/06/2021,"10.10","10.10","10.04","10.07","34,709"
04/05/2021,"10.15","10.16","10.06","10.09","56,921"
04/01/2021,"10.10","10.10","10.05","10.10","75,589"
03/31/2021,"10.19","10.19","10.05","10.10","12,281"
03/30/2021,"10.10","10.10","10.00","10.09","65,098"
03/29/2021,"9.95","10.35","9.95","10.00","75,514"
03/26/2021,"10.09","10.16","9.82","9.97","570,981"
03/25/2021,"9.99","10.16","9.94","10.10","452,185"
03/24/2021,"10.13","10.13","9.95","10.05","689,344"
03/23/2021,"10.25","10.30","10.15","10.17","266,379"
03/22/2021,"10.30","10.35","10.25","10.27","206,705"
03/19/2021,"10.30","10.32","10.20","10.28","229,514"
03/18/2021,"10.34","10.35","10.29","10.32","74,511"
