Date,Open,High,Low,Close,Volume
08/20/2021,"10.01","10.01","10.01","10.01","5"
08/19/2021,"10.01","10.01","10.01","10.01","19,700"
08/18/2021,"10.03","10.03","10.03","10.03","111,542"
08/17/2021,"10.02","10.05","10.02","10.03","490,900"
08/16/2021,"10.03","10.03","10.03","10.03","3"
08/13/2021,"10.02","10.04","10.02","10.03","28,483"
08/11/2021,"10.03","10.03","10.03","10.03","119"
08/10/2021,"10.02","10.03","10.02","10.03","38,413"
08/06/2021,"10.02","10.02","10.01","10.01","12,208"
08/05/2021,"10.03","10.03","10.03","10.03","16,272"
08/04/2021,"10.04","10.04","10.04","10.04","45"
08/03/2021,"10.05","10.05","10.03","10.04","118,512"
08/02/2021,"10.05","10.07","10.03","10.03","52,350"
07/30/2021,"10.03","10.03","10.00","10.01","466,542"
07/29/2021,"10.00","10.03","10.00","10.00","4,267,585"
