Date,Open,High,Low,Close,Volume
08/11/2021,"14.31","14.74","13.80","14.12","59,462"
08/10/2021,"13.95","14.54","13.67","13.95","50,497"
08/09/2021,"15.56","15.56","13.82","14.13","17,832"
08/06/2021,"15.11","15.11","14.19","14.37","9,554"
08/05/2021,"14.23","15.38","14.23","15.00","15,535"
08/04/2021,"14.40","15.04","14.08","14.38","9,720"
08/03/2021,"14.36","14.94","13.90","14.63","9,800"
08/02/2021,"13.15","14.62","13.15","14.12","12,806"
07/30/2021,"13.85","14.03","13.46","13.81","21,967"
07/29/2021,"14.10","14.46","14.01","14.18","10,146"
07/28/2021,"13.05","14.66","13.05","14.13","9,784"
07/27/2021,"13.80","14.85","13.25","13.33","23,426"
07/26/2021,"15.28","15.28","13.50","13.84","79,796"
07/23/2021,"15.46","15.46","14.42","15.00","44,935"
07/22/2021,"12.62","15.30","12.62","15.15","62,469"
07/21/2021,"13.11","14.35","12.99","14.07","30,549"
07/20/2021,"12.50","13.37","12.22","13.22","116,613"
07/19/2021,"12.63","12.73","12.08","12.26","15,777"
07/16/2021,"12.94","13.30","12.31","12.48","45,446"
07/15/2021,"13.35","13.88","12.52","12.66","26,114"
07/14/2021,"13.94","13.94","13.09","13.14","20,009"
07/13/2021,"14.37","14.71","13.86","14.00","25,166"
07/12/2021,"13.41","14.49","13.41","14.44","28,508"
07/09/2021,"13.81","13.88","13.25","13.44","26,148"
07/08/2021,"13.53","13.87","13.50","13.59","18,365"
07/07/2021,"13.96","13.98","13.50","13.53","16,788"
07/06/2021,"14.38","14.44","13.83","14.01","51,536"
07/02/2021,"14.33","14.47","13.91","14.07","93,263"
07/01/2021,"14.01","14.70","13.35","13.91","81,423"
06/30/2021,"13.17","14.86","13.02","14.69","192,360"
06/29/2021,"13.34","13.87","12.86","13.21","366,907"
06/28/2021,"13.31","13.35","12.50","13.17","312,563"
06/25/2021,"13.91","14.37","12.95","13.06","1,318,600"
06/24/2021,"15.47","16.17","13.69","13.69","218,855"
06/23/2021,"15.57","15.97","15.37","15.37","109,392"
06/22/2021,"16.81","17.04","15.10","15.45","77,290"
06/21/2021,"16.89","17.15","16.71","16.89","111,381"
06/18/2021,"17.09","17.97","16.70","16.95","397,349"
06/17/2021,"16.69","17.65","16.66","17.25","111,049"
06/16/2021,"17.14","18.47","16.65","16.82","158,023"
06/15/2021,"17.21","17.78","16.98","17.29","83,753"
06/14/2021,"17.56","17.76","17.05","17.47","91,615"
06/11/2021,"18.14","18.56","17.09","17.47","48,024"
06/10/2021,"18.59","18.59","17.84","18.34","23,622"
06/09/2021,"18.07","18.76","17.50","18.31","40,236"
06/08/2021,"18.88","18.88","17.53","17.91","113,125"
06/07/2021,"17.33","19.82","17.10","18.61","204,411"
06/04/2021,"16.85","17.39","16.74","17.08","128,464"
06/03/2021,"17.09","17.33","16.26","17.00","344,827"
06/02/2021,"17.02","17.41","16.68","17.05","138,334"
06/01/2021,"16.60","17.65","16.60","16.80","334,967"
05/28/2021,"14.96","16.55","14.71","16.07","57,469"
05/27/2021,"13.87","15.21","13.87","15.12","29,411"
05/26/2021,"13.54","14.25","13.54","14.00","73,248"
05/25/2021,"13.21","13.93","12.94","13.69","93,022"
05/24/2021,"13.14","13.48","12.72","13.22","136,931"
05/21/2021,"12.35","13.45","12.00","13.25","270,735"
05/20/2021,"12.09","12.80","11.70","12.46","249,776"
05/19/2021,"12.56","12.76","11.70","12.25","223,580"
05/18/2021,"12.44","13.35","11.42","12.72","208,307"
05/17/2021,"13.71","14.46","12.27","12.45","160,626"
05/14/2021,"14.37","14.48","13.68","13.83","271,925"
05/13/2021,"13.10","14.83","12.70","14.37","627,645"
05/12/2021,"14.24","14.40","13.03","13.05","228,374"
05/11/2021,"15.17","15.24","13.22","14.17","322,139"
05/10/2021,"16.00","16.61","15.19","15.28","264,708"
05/07/2021,"17.25","17.50","16.01","16.25","2,937,415"
