Date,Open,High,Low,Close,Volume
08/12/2021,"9.85","9.97","9.80","9.95","24,757"
08/11/2021,"9.92","9.98","9.90","9.98","1,935"
08/09/2021,"9.86","10.01","9.86","10.00","175,504"
08/06/2021,"9.90","9.90","9.89","9.90","15,531"
08/05/2021,"9.94","9.94","9.88","9.88","358"
08/04/2021,"9.85","9.85","9.85","9.85","753"
08/03/2021,"9.85","9.85","9.85","9.85","100"
07/30/2021,"9.90","9.90","9.90","9.90","27,745"
07/29/2021,"9.89","9.90","9.86","9.90","145,650"
07/28/2021,"9.89","9.92","9.89","9.89","27,726"
07/27/2021,"9.86","9.95","9.86","9.95","25,665"
07/26/2021,"9.91","9.91","9.87","9.87","8,375"
07/23/2021,"9.92","9.92","9.92","9.92","670"
07/22/2021,"9.95","9.95","9.91","9.91","1,865"
07/21/2021,"9.95","9.95","9.95","9.95","722"
07/20/2021,"10.00","10.00","10.00","10.00","59"
07/19/2021,"9.92","10.00","9.92","10.00","517"
07/14/2021,"10.01","10.01","10.01","10.01","7"
07/13/2021,"9.98","10.01","9.97","10.01","1,835"
07/12/2021,"9.90","9.99","9.90","9.98","20,673"
07/09/2021,"9.94","10.00","9.94","9.95","56,502"
07/08/2021,"10.02","10.02","10.02","10.02","186"
07/07/2021,"10.00","10.02","10.00","10.00","19,190"
07/06/2021,"10.03","10.10","9.98","9.98","832"
07/02/2021,"9.95","10.03","9.95","10.00","28,502"
07/01/2021,"9.92","9.97","9.92","9.93","38,844"
06/30/2021,"9.95","10.00","9.90","9.91","148,146"
06/29/2021,"10.00","10.00","9.90","9.91","26,811"
06/28/2021,"10.03","10.10","9.96","9.97","79,274"
06/25/2021,"10.05","10.06","10.03","10.03","20,778"
06/24/2021,"10.02","10.04","10.02","10.04","104,840"
06/23/2021,"10.12","10.12","10.02","10.12","29,649"
06/22/2021,"10.02","10.18","10.01","10.18","17,031"
06/21/2021,"10.20","10.20","10.01","10.01","11,263"
06/18/2021,"10.11","10.26","10.11","10.26","20,146"
06/17/2021,"10.19","10.19","10.10","10.18","12,451"
06/16/2021,"10.08","10.12","10.08","10.12","1,101"
06/15/2021,"10.06","10.14","10.06","10.14","319"
06/14/2021,"10.06","10.06","10.06","10.06","95"
06/11/2021,"10.11","10.13","10.06","10.06","11,483"
06/10/2021,"10.10","10.16","10.10","10.16","6,599"
06/09/2021,"10.14","10.20","10.08","10.20","3,772"
06/08/2021,"10.03","10.14","10.00","10.14","1,648,697"
06/07/2021,"9.99","10.01","9.99","10.00","1,128"
06/04/2021,"10.09","10.10","10.09","10.10","2,403"
06/03/2021,"10.00","10.09","9.97","10.00","64,629"
06/02/2021,"10.06","10.10","10.05","10.09","2,111"
06/01/2021,"10.01","10.15","9.99","10.00","37,749"
05/28/2021,"10.09","10.15","10.00","10.00","2,742"
05/27/2021,"10.08","10.10","10.00","10.03","17,616"
05/26/2021,"10.10","10.10","10.04","10.09","9,247"
05/25/2021,"9.97","10.00","9.97","10.00","2,805"
05/24/2021,"10.01","10.01","9.98","9.98","2,232"
05/21/2021,"10.05","10.05","9.99","9.99","2,148"
05/20/2021,"10.08","10.08","9.98","10.00","13,983"
05/19/2021,"10.00","10.10","10.00","10.06","2,592"
05/18/2021,"10.07","10.08","9.99","10.00","150,684"
05/17/2021,"10.10","10.10","10.01","10.01","56,010"
05/14/2021,"10.03","10.10","10.00","10.02","487,828"
05/13/2021,"10.04","10.12","10.02","10.02","310,540"
05/12/2021,"10.15","10.15","10.08","10.15","58,368"
05/11/2021,"10.12","10.20","10.08","10.11","19,541"
05/10/2021,"10.06","10.15","10.06","10.15","1,517"
05/07/2021,"10.05","10.11","10.05","10.06","48,076"
05/06/2021,"10.27","10.27","10.00","10.09","2,015,519"
05/05/2021,"10.24","10.30","10.14","10.15","43,112"
05/04/2021,"10.17","10.30","10.17","10.26","11,524"
05/03/2021,"10.49","10.49","10.21","10.25","37,372"
04/30/2021,"10.27","10.48","10.24","10.46","16,606"
04/29/2021,"10.39","10.48","10.21","10.30","11,057"
04/28/2021,"10.25","10.35","10.17","10.28","55,573"
04/27/2021,"10.20","10.32","10.16","10.23","168,013"
04/26/2021,"10.21","10.25","10.16","10.23","38,614"
04/23/2021,"10.32","10.35","10.16","10.27","49,925"
04/22/2021,"10.49","10.49","10.18","10.37","65,502"
04/21/2021,"10.16","10.49","10.15","10.49","185,613"
04/20/2021,"10.29","10.49","10.06","10.18","303,671"
04/19/2021,"10.05","10.65","10.05","10.31","176,927"
04/16/2021,"10.55","10.65","10.22","10.25","384,784"
04/15/2021,"10.50","10.55","10.21","10.55","634,412"
04/14/2021,"10.12","10.80","10.10","10.60","6,484,565"
