Date,Open,High,Low,Close,Volume
08/11/2021,"20.66","22.09","20.38","21.89","1,216,188"
08/10/2021,"22.78","23.27","20.87","21.43","979,358"
08/09/2021,"23.26","23.75","22.55","22.96","272,504"
08/06/2021,"22.61","23.52","22.25","23.40","259,424"
08/05/2021,"22.23","22.90","21.12","22.62","367,064"
08/04/2021,"22.40","23.50","22.18","22.27","305,003"
08/03/2021,"24.00","24.24","22.37","22.37","789,338"
08/02/2021,"23.97","25.06","23.85","23.95","441,160"
07/30/2021,"26.24","26.24","23.68","23.86","554,057"
07/29/2021,"26.12","27.89","25.24","26.00","2,873,156"
07/28/2021,"26.39","26.39","23.59","24.51","919,838"
07/27/2021,"26.83","26.97","23.28","25.87","1,386,081"
07/26/2021,"27.75","29.23","27.58","28.43","286,653"
07/23/2021,"27.27","27.97","26.84","27.54","219,118"
07/22/2021,"26.50","27.14","26.50","27.06","134,486"
07/21/2021,"26.95","27.47","26.35","26.73","240,515"
07/20/2021,"26.15","27.23","25.74","26.74","206,691"
07/19/2021,"25.10","26.19","25.01","26.11","169,969"
07/16/2021,"25.54","26.50","25.23","26.15","250,055"
07/15/2021,"27.02","27.87","24.69","25.20","521,915"
07/14/2021,"29.52","29.52","26.17","27.44","775,408"
07/13/2021,"25.96","29.84","25.86","29.52","510,858"
07/12/2021,"24.55","27.31","24.20","27.04","463,487"
07/09/2021,"24.36","24.99","24.16","24.72","198,732"
07/08/2021,"24.88","25.19","22.91","24.00","548,410"
07/07/2021,"25.88","26.90","24.31","24.62","355,162"
07/06/2021,"27.01","27.16","25.55","25.93","195,623"
07/02/2021,"27.49","28.28","26.50","26.84","209,586"
07/01/2021,"29.41","29.41","26.74","27.27","400,230"
06/30/2021,"28.70","31.32","27.55","29.08","401,664"
06/29/2021,"27.35","30.21","27.07","28.77","442,582"
06/28/2021,"27.04","28.69","25.81","27.14","546,179"
06/25/2021,"25.84","27.60","25.45","27.04","402,064"
06/24/2021,"25.99","26.72","25.28","25.76","241,104"
06/23/2021,"26.19","26.54","25.11","25.81","270,531"
06/22/2021,"24.81","26.75","24.81","25.88","343,788"
06/21/2021,"25.42","25.93","24.11","24.69","268,897"
06/18/2021,"27.50","27.90","25.12","25.58","1,128,523"
06/17/2021,"26.92","31.86","26.92","27.80","773,765"
06/16/2021,"28.41","28.95","24.63","26.65","416,357"
06/15/2021,"28.26","30.02","27.96","28.77","252,699"
06/14/2021,"27.46","30.62","27.12","28.24","427,586"
06/11/2021,"27.36","27.98","26.51","27.27","149,681"
06/10/2021,"27.81","28.50","26.27","27.55","312,251"
06/09/2021,"26.70","29.09","26.10","28.00","405,862"
06/08/2021,"24.54","27.52","23.88","26.53","451,776"
06/07/2021,"23.04","24.65","22.77","24.09","227,613"
06/04/2021,"23.56","24.00","22.48","23.16","134,638"
06/03/2021,"24.21","24.75","23.26","23.29","157,790"
06/02/2021,"22.95","25.50","22.93","24.59","326,895"
06/01/2021,"23.50","24.25","22.35","22.87","266,269"
05/28/2021,"25.18","25.56","23.34","23.59","289,991"
05/27/2021,"24.43","27.94","24.01","25.33","502,292"
05/26/2021,"25.31","26.11","24.43","24.66","263,551"
05/25/2021,"23.66","26.28","23.20","25.35","400,302"
05/24/2021,"22.02","25.99","22.00","24.16","1,115,701"
05/21/2021,"19.40","22.28","19.19","21.76","677,158"
05/20/2021,"19.12","19.84","18.74","19.15","198,005"
05/19/2021,"18.58","19.50","18.58","19.20","176,690"
05/18/2021,"19.00","19.87","18.55","19.53","519,820"
05/17/2021,"18.21","19.08","17.66","18.90","297,371"
05/14/2021,"18.50","19.44","17.41","18.17","1,133,210"
05/13/2021,"18.18","19.96","16.40","18.50","1,546,488"
05/12/2021,"18.94","22.87","18.59","20.04","3,979,589"
05/11/2021,"17.40","20.63","16.69","19.31","684,911"
05/10/2021,"16.50","18.38","16.41","18.22","441,010"
05/07/2021,"16.95","17.29","16.44","16.69","189,580"
05/06/2021,"16.91","17.00","16.14","16.43","191,743"
05/05/2021,"16.02","17.58","16.02","17.11","409,828"
05/04/2021,"17.25","17.77","15.83","16.25","450,962"
05/03/2021,"17.94","18.64","17.34","17.47","250,290"
04/30/2021,"18.13","18.20","17.01","17.17","224,755"
