Date,Open,High,Low,Close,Volume
08/20/2021,"31.16","32.03","31.08","31.25","88,497"
08/19/2021,"32.18","32.40","31.13","31.32","71,629"
08/18/2021,"30.90","32.88","30.75","32.54","108,375"
08/17/2021,"30.97","31.47","30.52","30.84","108,499"
08/16/2021,"32.57","32.98","31.09","31.16","359,385"
08/13/2021,"33.35","33.89","32.34","32.81","109,186"
08/12/2021,"34.88","34.88","32.82","33.37","131,951"
08/11/2021,"35.50","35.96","33.99","34.45","154,881"
08/10/2021,"34.46","35.29","34.01","34.32","144,482"
08/09/2021,"33.38","34.96","32.85","34.21","212,633"
08/06/2021,"32.96","34.37","32.50","33.51","51,816"
08/05/2021,"32.19","33.25","32.19","32.72","58,731"
08/04/2021,"31.72","32.38","31.53","32.11","39,648"
08/03/2021,"33.27","33.39","31.55","31.72","120,647"
08/02/2021,"33.41","34.56","33.04","33.40","103,370"
07/30/2021,"32.67","34.10","32.24","33.22","88,973"
07/29/2021,"33.45","34.08","32.44","32.57","71,780"
07/28/2021,"33.30","33.99","32.10","33.18","126,267"
07/27/2021,"33.75","34.28","32.07","32.96","77,961"
07/26/2021,"33.34","34.66","33.25","34.01","63,624"
07/23/2021,"32.84","34.14","32.59","33.40","94,525"
07/22/2021,"32.79","33.33","31.44","32.10","110,670"
07/21/2021,"32.10","33.35","32.01","32.85","125,135"
07/20/2021,"29.93","31.74","29.93","31.40","153,237"
07/19/2021,"29.15","30.24","28.11","29.78","127,739"
07/16/2021,"31.25","31.33","29.89","29.90","46,600"
07/15/2021,"32.00","32.00","29.08","30.90","168,207"
07/14/2021,"32.08","32.97","31.40","31.77","113,412"
07/13/2021,"33.80","33.80","31.35","32.00","216,273"
07/12/2021,"33.91","34.44","32.40","33.84","189,306"
07/09/2021,"31.86","34.09","31.64","33.54","83,654"
07/08/2021,"30.64","32.12","29.93","31.31","63,621"
07/07/2021,"32.77","33.24","31.79","31.97","116,055"
07/06/2021,"33.28","33.63","32.01","32.80","133,987"
07/02/2021,"35.67","35.95","33.09","33.24","113,773"
07/01/2021,"35.68","36.80","34.60","35.67","175,271"
06/30/2021,"35.23","36.60","35.20","35.77","282,665"
06/29/2021,"36.80","37.26","35.06","35.50","347,526"
06/28/2021,"35.83","36.43","35.02","36.32","240,941"
06/25/2021,"35.35","36.92","34.59","35.07","1,225,761"
06/24/2021,"34.85","35.35","34.09","34.87","145,112"
06/23/2021,"32.87","35.44","32.87","34.64","306,011"
06/22/2021,"32.07","32.95","31.51","32.88","132,137"
06/21/2021,"31.91","32.48","31.09","31.98","108,579"
06/18/2021,"35.26","35.30","31.70","31.91","304,396"
06/17/2021,"35.14","36.13","34.48","35.62","381,937"
06/16/2021,"33.48","36.54","32.36","35.16","244,115"
06/15/2021,"30.97","33.73","30.74","32.79","290,738"
06/14/2021,"30.39","31.79","30.14","30.99","162,022"
06/11/2021,"31.28","31.71","30.05","30.31","74,478"
06/10/2021,"31.40","31.90","30.17","31.10","104,437"
06/09/2021,"29.86","31.38","29.56","31.15","100,348"
06/08/2021,"28.57","29.88","28.54","29.75","102,594"
06/07/2021,"27.45","28.44","27.10","28.35","190,455"
06/04/2021,"27.39","27.91","26.79","27.29","123,159"
06/03/2021,"28.58","28.58","26.80","27.14","121,118"
06/02/2021,"27.72","28.68","27.26","28.27","147,682"
06/01/2021,"29.59","29.59","27.35","27.71","171,846"
05/28/2021,"30.15","30.46","27.63","29.00","219,729"
05/27/2021,"25.91","32.00","25.61","29.75","1,723,512"
05/26/2021,"25.48","27.23","24.13","24.51","211,623"
05/25/2021,"23.88","25.92","23.28","25.22","259,457"
05/24/2021,"24.73","25.86","24.10","25.52","236,260"
05/21/2021,"25.58","25.58","24.00","24.50","145,922"
05/20/2021,"24.93","26.65","24.50","25.43","209,609"
05/19/2021,"25.10","25.48","24.15","25.04","256,549"
05/18/2021,"26.66","27.10","25.03","25.77","103,930"
05/17/2021,"26.50","27.45","26.10","27.00","63,952"
05/14/2021,"26.62","27.02","25.54","26.50","128,334"
05/13/2021,"25.00","26.99","23.44","25.76","118,167"
05/12/2021,"23.71","24.20","23.22","23.76","93,462"
05/11/2021,"25.10","25.10","23.01","24.30","87,714"
05/10/2021,"27.15","27.90","24.14","25.18","85,170"
05/07/2021,"27.55","28.50","26.88","27.08","58,047"
05/06/2021,"28.35","28.53","26.10","27.59","48,238"
05/05/2021,"27.84","29.08","27.81","28.25","71,735"
05/04/2021,"28.00","28.00","27.00","27.70","29,885"
05/03/2021,"27.79","28.87","27.54","28.25","72,648"
04/30/2021,"31.25","31.79","27.79","27.79","114,460"
04/29/2021,"32.85","33.00","29.76","31.28","116,544"
04/28/2021,"30.94","33.40","29.48","32.94","113,777"
04/27/2021,"29.78","31.75","29.38","30.55","142,258"
04/26/2021,"27.69","29.85","27.68","29.78","63,891"
04/23/2021,"26.30","27.44","26.10","27.29","59,503"
04/22/2021,"26.22","26.51","25.52","26.31","37,074"
04/21/2021,"25.56","26.75","25.38","26.22","75,815"
04/20/2021,"24.83","25.78","23.94","25.54","63,617"
