Date,Open,High,Low,Close,Volume
08/30/2021,"19.83","20.36","18.67","18.76","106,693"
08/27/2021,"19.65","20.20","19.56","19.99","240,845"
08/26/2021,"18.89","19.97","18.89","19.54","298,884"
08/25/2021,"17.81","19.90","17.75","18.86","270,848"
08/24/2021,"17.29","17.88","16.94","17.76","94,896"
08/23/2021,"16.71","17.41","16.56","17.28","122,517"
08/20/2021,"15.85","16.82","15.84","16.71","73,811"
08/19/2021,"16.01","16.86","15.51","15.99","202,475"
08/18/2021,"16.10","16.60","15.71","16.06","73,252"
08/17/2021,"16.10","16.36","15.50","16.19","55,760"
08/16/2021,"16.61","16.61","15.88","16.25","91,165"
08/13/2021,"17.20","17.20","15.75","16.53","161,683"
08/12/2021,"16.51","17.00","15.95","16.45","86,806"
08/11/2021,"16.59","16.62","15.50","16.27","155,044"
08/10/2021,"16.93","16.97","16.26","16.43","137,203"
08/09/2021,"17.05","17.22","16.51","16.87","132,160"
08/06/2021,"16.32","17.25","15.81","17.11","182,650"
08/05/2021,"15.95","16.69","15.83","16.08","148,525"
08/04/2021,"16.07","16.79","15.75","15.90","99,902"
08/03/2021,"15.54","16.39","14.77","16.33","150,488"
08/02/2021,"15.21","15.49","14.62","15.42","183,663"
07/30/2021,"16.34","16.34","14.61","15.05","240,870"
07/29/2021,"17.00","17.50","16.10","16.21","171,006"
07/28/2021,"16.38","17.04","16.32","16.86","53,490"
07/27/2021,"18.12","18.22","16.23","16.42","219,372"
07/26/2021,"19.38","19.70","18.18","18.21","218,371"
07/23/2021,"19.54","19.98","19.06","19.42","399,950"
07/22/2021,"19.45","19.75","19.01","19.40","67,750"
07/21/2021,"19.45","19.67","18.92","19.51","164,555"
07/20/2021,"18.69","19.91","18.69","19.36","160,907"
07/19/2021,"18.70","19.03","18.26","18.66","158,121"
07/16/2021,"19.03","19.94","18.75","18.90","300,976"
07/15/2021,"18.71","19.04","18.36","18.89","511,042"
07/14/2021,"19.58","19.58","18.62","18.87","398,616"
07/13/2021,"19.82","19.84","19.03","19.35","162,003"
07/12/2021,"20.01","20.24","19.55","19.94","197,191"
07/09/2021,"19.59","20.20","19.27","19.98","270,229"
07/08/2021,"19.84","19.84","19.00","19.56","369,249"
07/07/2021,"19.93","20.33","19.44","20.08","305,848"
07/06/2021,"20.08","20.19","19.43","19.92","252,567"
07/02/2021,"20.11","20.26","19.37","20.08","314,736"
07/01/2021,"19.39","20.51","19.11","20.01","280,489"
06/30/2021,"18.30","20.86","18.00","19.32","292,236"
06/29/2021,"19.33","19.33","18.22","18.35","529,392"
06/28/2021,"20.19","20.21","18.69","19.19","280,641"
06/25/2021,"19.50","20.30","18.75","19.00","2,460,291"
06/24/2021,"18.07","19.67","17.88","19.49","321,125"
06/23/2021,"18.19","18.20","17.16","17.88","245,367"
06/22/2021,"18.70","19.00","17.77","18.13","226,180"
06/21/2021,"18.46","19.17","17.95","18.64","382,064"
06/18/2021,"17.86","18.99","17.52","18.02","912,251"
06/17/2021,"17.48","18.50","17.42","18.06","295,650"
06/16/2021,"17.81","18.44","17.16","17.40","274,173"
06/15/2021,"16.54","17.85","16.54","17.76","379,443"
06/14/2021,"17.01","17.04","16.11","16.54","319,832"
06/11/2021,"16.76","17.28","15.91","17.00","323,991"
06/10/2021,"15.45","18.00","15.31","16.75","715,191"
06/09/2021,"15.34","15.58","15.04","15.31","321,332"
06/08/2021,"16.00","16.35","15.10","15.31","277,193"
06/07/2021,"15.50","16.19","15.36","15.96","627,981"
06/04/2021,"15.86","16.40","15.46","15.56","517,757"
06/03/2021,"16.14","16.14","15.30","15.54","511,927"
06/02/2021,"17.38","17.97","15.88","16.20","183,306"
06/01/2021,"17.91","18.34","17.16","17.20","266,932"
05/28/2021,"17.61","18.24","16.93","17.80","273,878"
05/27/2021,"17.20","17.88","16.80","17.70","445,342"
05/26/2021,"16.96","17.47","16.60","17.15","218,792"
05/25/2021,"17.95","18.87","16.75","17.00","343,717"
05/24/2021,"18.58","18.88","17.75","18.03","298,859"
05/21/2021,"18.62","18.99","18.24","18.41","175,952"
05/20/2021,"18.46","19.85","17.38","18.65","700,419"
05/19/2021,"20.00","21.06","16.51","17.28","1,073,639"
05/18/2021,"19.62","20.55","19.20","20.24","341,734"
05/17/2021,"17.84","19.68","17.12","19.39","112,400"
05/14/2021,"16.57","18.38","16.01","18.00","174,939"
05/13/2021,"15.53","16.66","14.42","16.34","212,096"
05/12/2021,"16.21","16.66","14.82","15.44","180,984"
05/11/2021,"17.50","17.50","16.23","16.25","123,233"
05/10/2021,"18.79","18.79","17.50","17.75","251,592"
05/07/2021,"18.23","19.89","18.00","18.95","532,683"
05/06/2021,"20.32","20.42","17.56","18.39","175,390"
05/05/2021,"20.99","20.99","19.52","20.50","151,700"
05/04/2021,"20.99","21.34","19.73","21.02","234,384"
05/03/2021,"20.86","21.54","20.18","21.08","255,342"
04/30/2021,"19.45","20.98","18.75","20.53","191,235"
04/29/2021,"18.38","19.24","17.90","19.13","244,258"
04/28/2021,"17.26","18.07","16.65","18.03","136,955"
04/27/2021,"17.32","17.55","16.51","17.23","133,273"
04/26/2021,"17.00","17.46","16.41","16.95","273,365"
04/23/2021,"16.91","17.56","16.17","16.64","133,631"
04/22/2021,"17.46","17.64","16.60","16.80","367,373"
04/21/2021,"18.98","19.01","17.35","17.61","273,445"
04/20/2021,"18.51","19.27","18.02","18.81","268,182"
04/19/2021,"18.93","19.07","17.99","18.49","248,590"
04/16/2021,"18.59","19.07","17.47","19.00","245,258"
04/15/2021,"20.00","20.57","18.09","18.68","644,885"
04/14/2021,"20.84","21.27","19.93","20.00","180,979"
04/13/2021,"20.46","21.73","20.25","20.86","195,933"
04/12/2021,"22.03","22.77","19.73","21.94","324,765"
04/09/2021,"22.22","23.25","21.45","22.03","122,214"
04/08/2021,"22.44","23.56","21.93","22.24","175,264"
04/07/2021,"24.43","24.46","22.57","22.66","127,592"
04/06/2021,"24.41","24.71","23.65","24.36","118,067"
04/05/2021,"24.33","25.14","23.01","24.63","316,711"
04/01/2021,"25.46","25.98","22.78","23.69","186,998"
03/31/2021,"24.13","26.24","23.62","25.08","153,207"
03/30/2021,"26.03","26.21","24.00","24.24","68,724"
03/29/2021,"27.11","27.16","24.56","26.47","204,986"
03/26/2021,"24.20","28.00","23.41","27.06","293,887"
03/25/2021,"23.38","24.84","22.46","24.23","1,553,505"
03/24/2021,"25.92","27.48","24.26","24.38","774,239"
03/23/2021,"26.98","26.98","24.04","26.20","1,004,376"
03/22/2021,"26.44","29.49","25.75","26.80","837,022"
03/19/2021,"27.00","27.19","24.85","26.44","4,465,550"
