Date,Open,High,Low,Close,Volume
08/30/2021,"8.60","9.20","8.33","9.06","206,519"
08/27/2021,"8.69","8.97","8.34","8.53","112,023"
08/26/2021,"8.47","8.85","8.43","8.61","77,013"
08/25/2021,"8.66","8.71","8.31","8.44","129,183"
08/24/2021,"8.26","8.83","8.25","8.64","177,622"
08/23/2021,"7.71","8.25","7.70","8.25","421,604"
08/20/2021,"7.15","7.69","7.01","7.64","246,504"
08/19/2021,"7.49","7.63","7.01","7.17","391,004"
08/18/2021,"7.61","7.77","7.31","7.60","294,497"
08/17/2021,"7.56","7.81","7.48","7.65","297,215"
08/16/2021,"7.62","8.05","7.55","7.70","238,862"
08/13/2021,"7.87","7.88","7.30","7.74","489,331"
08/12/2021,"8.16","8.25","7.85","8.07","445,492"
08/11/2021,"7.76","8.48","7.50","8.39","792,771"
08/10/2021,"9.80","9.80","8.95","8.97","375,628"
08/09/2021,"9.92","10.10","9.60","9.67","148,171"
08/06/2021,"10.38","10.40","9.89","9.92","145,378"
08/05/2021,"9.69","10.42","9.40","10.34","301,180"
08/04/2021,"10.11","10.29","9.65","9.65","358,573"
08/03/2021,"10.50","10.59","9.98","10.14","156,660"
08/02/2021,"10.26","10.82","10.12","10.45","370,362"
07/30/2021,"10.38","10.49","9.99","10.30","261,686"
07/29/2021,"11.15","11.39","10.36","10.43","323,030"
07/28/2021,"10.44","11.33","10.20","10.96","418,654"
07/27/2021,"10.74","10.90","9.95","10.44","640,108"
07/26/2021,"11.63","11.98","10.51","10.84","592,545"
07/23/2021,"11.80","11.90","10.33","11.70","890,262"
07/22/2021,"12.35","12.48","11.47","11.69","575,798"
07/21/2021,"11.92","12.88","11.05","12.46","1,557,336"
07/20/2021,"10.10","12.71","9.85","12.12","2,741,918"
07/19/2021,"9.66","10.21","9.61","10.10","186,467"
07/16/2021,"10.05","10.05","9.65","9.90","116,842"
07/15/2021,"9.70","10.25","9.57","9.98","156,811"
07/14/2021,"10.02","10.44","9.49","9.73","337,712"
07/13/2021,"10.27","10.44","9.96","10.03","170,463"
07/12/2021,"10.58","10.58","9.95","10.31","139,722"
07/09/2021,"10.12","10.73","9.93","10.61","288,467"
07/08/2021,"10.07","10.09","9.78","10.05","125,553"
07/07/2021,"9.94","10.25","9.74","10.07","140,061"
07/06/2021,"10.18","10.20","9.73","9.94","254,437"
07/02/2021,"10.54","10.58","9.93","10.18","180,100"
07/01/2021,"10.99","11.16","10.33","10.52","182,941"
06/30/2021,"10.84","11.43","10.60","11.03","202,091"
06/29/2021,"11.61","11.69","10.58","10.70","183,310"
06/28/2021,"11.38","11.83","11.29","11.61","216,167"
06/25/2021,"10.97","11.65","10.77","11.25","860,588"
06/24/2021,"10.31","11.00","10.31","10.98","154,019"
06/23/2021,"10.07","10.39","9.90","10.31","501,722"
06/22/2021,"9.78","10.21","9.56","10.05","277,404"
06/21/2021,"9.89","9.95","9.51","9.62","254,090"
06/18/2021,"10.08","10.41","9.77","9.78","287,971"
06/17/2021,"10.36","10.88","10.07","10.19","305,229"
06/16/2021,"10.92","10.93","10.05","10.36","379,903"
06/15/2021,"11.40","11.56","10.56","10.95","307,975"
06/14/2021,"12.00","12.35","11.05","11.42","580,752"
06/11/2021,"10.49","11.93","10.28","11.65","466,408"
06/10/2021,"10.59","10.80","9.95","10.36","430,108"
06/09/2021,"10.12","11.60","9.71","10.60","764,822"
06/08/2021,"10.90","11.08","9.84","10.05","362,345"
06/07/2021,"10.80","11.11","10.41","10.76","167,964"
06/04/2021,"10.63","11.19","10.29","10.68","164,437"
06/03/2021,"10.16","10.90","9.96","10.50","189,382"
06/02/2021,"9.67","10.43","9.67","10.15","178,474"
06/01/2021,"9.97","10.16","9.48","9.70","150,204"
05/28/2021,"9.92","10.26","9.72","9.74","152,348"
05/27/2021,"10.12","10.27","9.83","10.06","94,611"
05/26/2021,"10.26","10.30","10.06","10.12","81,017"
05/25/2021,"10.45","10.45","10.07","10.19","80,384"
05/24/2021,"10.88","10.97","10.20","10.26","133,924"
05/21/2021,"10.93","11.28","10.56","10.88","81,295"
05/20/2021,"10.36","10.90","10.36","10.70","93,918"
05/19/2021,"10.76","11.01","10.06","10.34","99,807"
05/18/2021,"10.30","11.51","9.99","11.08","250,560"
05/17/2021,"10.10","10.38","9.91","10.19","125,619"
05/14/2021,"9.76","10.44","9.76","10.07","183,616"
05/13/2021,"11.09","11.09","9.77","9.77","93,263"
05/12/2021,"9.93","11.25","9.43","11.03","97,064"
05/11/2021,"10.20","11.09","10.05","10.14","67,566"
05/10/2021,"11.59","11.73","10.26","10.48","85,064"
05/07/2021,"11.71","11.86","11.35","11.59","28,487"
05/06/2021,"11.30","12.02","10.98","11.65","120,066"
05/05/2021,"11.47","12.00","11.05","11.25","59,793"
05/04/2021,"11.50","11.54","11.03","11.48","59,618"
05/03/2021,"12.07","12.22","11.53","11.57","43,348"
04/30/2021,"12.09","12.34","11.69","12.00","109,990"
04/29/2021,"12.15","12.35","11.91","12.11","51,736"
04/28/2021,"12.10","12.40","11.99","12.07","65,537"
04/27/2021,"12.27","12.40","11.99","12.06","123,194"
04/26/2021,"12.28","12.74","12.10","12.23","124,014"
04/23/2021,"12.36","13.09","12.05","12.46","91,960"
04/22/2021,"12.14","12.63","12.05","12.21","79,228"
04/21/2021,"12.24","12.64","12.05","12.13","97,256"
04/20/2021,"12.76","13.08","12.07","12.17","72,320"
04/19/2021,"13.85","13.85","12.85","12.96","60,575"
04/16/2021,"14.38","14.38","13.34","13.95","72,550"
04/15/2021,"13.36","15.28","13.03","14.56","197,787"
04/14/2021,"12.75","13.60","12.66","13.24","86,117"
04/13/2021,"12.79","13.06","12.53","12.83","55,447"
04/12/2021,"12.68","12.83","12.30","12.74","63,229"
04/09/2021,"12.93","13.10","12.71","12.82","35,742"
04/08/2021,"13.23","13.35","12.64","12.95","57,130"
04/07/2021,"13.20","13.59","12.77","13.15","173,971"
04/06/2021,"13.41","13.60","13.14","13.32","115,681"
04/05/2021,"12.99","13.58","12.95","13.29","110,468"
04/01/2021,"13.30","13.58","12.58","12.92","166,657"
03/31/2021,"11.80","13.10","11.52","12.85","775,354"
03/30/2021,"11.18","11.42","10.68","11.40","115,649"
03/29/2021,"11.55","11.87","10.65","11.20","87,886"
03/26/2021,"11.52","12.53","11.20","11.51","189,790"
03/25/2021,"12.01","12.30","11.02","11.54","248,144"
03/24/2021,"13.30","13.66","12.01","12.06","222,335"
03/23/2021,"14.25","14.61","13.00","13.10","179,176"
03/22/2021,"15.63","16.18","14.04","14.49","339,926"
03/19/2021,"16.60","17.21","15.52","15.63","2,138,498"
03/18/2021,"16.19","16.85","15.95","16.64","169,664"
03/17/2021,"17.11","17.50","15.50","16.61","307,597"
03/16/2021,"17.50","17.90","16.51","17.60","166,510"
03/15/2021,"16.20","18.16","16.06","17.45","313,040"
03/12/2021,"15.46","16.00","15.18","15.80","196,412"
03/11/2021,"15.21","15.97","14.75","15.88","495,898"
03/10/2021,"12.87","17.50","12.85","14.79","1,545,814"
03/09/2021,"13.06","13.45","12.64","12.76","259,313"
03/08/2021,"14.49","14.49","12.60","12.85","292,786"
03/05/2021,"14.91","15.80","13.37","14.65","430,552"
03/04/2021,"15.57","16.20","14.25","14.89","322,456"
03/03/2021,"16.80","17.30","15.33","15.54","300,782"
03/02/2021,"17.56","17.94","16.79","16.98","162,254"
03/01/2021,"19.25","19.25","17.00","17.28","336,850"
02/26/2021,"16.89","17.91","16.60","17.26","215,035"
02/25/2021,"18.74","18.75","16.65","16.85","328,444"
02/24/2021,"18.46","19.33","18.35","18.63","463,028"
02/23/2021,"20.77","21.45","16.26","18.11","519,161"
02/22/2021,"23.65","24.48","21.03","21.10","370,670"
02/19/2021,"24.00","24.18","22.20","22.25","440,069"
02/18/2021,"23.53","24.81","23.23","24.49","243,397"
02/17/2021,"24.33","25.04","23.00","24.21","409,068"
02/16/2021,"26.80","27.79","23.01","24.50","777,511"
02/12/2021,"29.00","33.90","25.32","27.80","3,157,746"
