Date,Open,High,Low,Close,Volume
08/20/2021,"25.04","25.37","24.46","24.51","49,367"
08/19/2021,"25.15","25.91","23.85","25.33","59,887"
08/18/2021,"25.32","25.78","24.77","25.24","54,846"
08/17/2021,"24.19","26.30","23.03","25.20","78,596"
08/16/2021,"23.93","24.55","22.46","24.31","196,096"
08/13/2021,"25.71","25.71","24.02","24.15","93,104"
08/12/2021,"25.86","26.55","25.05","25.71","119,121"
08/11/2021,"26.51","27.51","25.70","25.97","71,197"
08/10/2021,"26.38","26.86","25.96","26.46","136,545"
08/09/2021,"26.95","27.50","25.68","26.18","118,358"
08/06/2021,"27.66","29.40","26.25","27.18","156,636"
08/05/2021,"28.40","28.40","27.41","28.12","496,774"
08/04/2021,"29.03","29.51","27.94","28.11","243,649"
08/03/2021,"30.01","30.34","29.07","29.26","79,177"
08/02/2021,"30.38","31.76","29.86","29.90","177,696"
07/30/2021,"29.17","30.50","28.43","30.26","92,847"
07/29/2021,"29.03","29.89","28.54","29.12","114,752"
07/28/2021,"27.71","29.68","27.28","28.77","59,549"
07/27/2021,"27.00","29.01","26.35","27.61","227,951"
07/26/2021,"27.13","27.45","26.04","27.03","94,103"
07/23/2021,"27.41","27.41","25.89","27.07","106,423"
07/22/2021,"28.23","28.44","27.32","27.34","92,799"
07/21/2021,"27.90","29.75","27.71","28.24","345,969"
07/20/2021,"27.50","28.28","27.36","27.74","290,541"
07/19/2021,"27.33","27.87","26.93","27.50","184,818"
07/16/2021,"27.69","28.87","27.29","27.69","137,502"
07/15/2021,"27.86","27.96","26.96","27.27","149,638"
07/14/2021,"28.84","28.84","27.50","27.86","146,250"
07/13/2021,"29.10","29.71","28.57","28.83","133,890"
07/12/2021,"28.73","29.88","28.27","29.04","210,157"
07/09/2021,"29.52","29.88","27.91","28.43","184,534"
07/08/2021,"29.67","29.67","27.62","29.41","277,843"
07/07/2021,"29.19","31.33","29.19","30.25","176,931"
07/06/2021,"30.03","30.82","28.67","29.02","430,572"
07/02/2021,"30.42","31.44","29.53","30.00","378,047"
07/01/2021,"31.31","31.31","29.67","30.50","251,791"
06/30/2021,"30.41","31.51","30.01","31.26","224,186"
06/29/2021,"31.70","32.30","29.98","30.48","294,843"
06/28/2021,"30.98","31.97","30.50","31.77","259,631"
06/25/2021,"31.47","32.15","30.66","31.00","1,593,061"
06/24/2021,"32.85","33.61","31.29","31.50","341,675"
06/23/2021,"33.70","34.07","31.85","32.72","289,152"
06/22/2021,"33.55","34.19","33.45","33.79","317,170"
06/21/2021,"33.56","33.87","33.03","33.48","378,990"
06/18/2021,"34.80","35.09","33.06","33.51","920,948"
06/17/2021,"35.45","35.70","34.40","34.79","767,213"
06/16/2021,"34.69","36.22","34.69","35.46","359,273"
06/15/2021,"34.40","35.33","33.93","34.89","187,766"
06/14/2021,"36.10","37.17","34.14","34.39","385,526"
06/11/2021,"35.75","36.17","35.61","36.11","229,422"
06/10/2021,"35.34","36.23","34.67","35.61","234,057"
06/09/2021,"35.57","36.42","35.35","35.61","188,722"
06/08/2021,"35.07","36.46","34.31","35.95","210,478"
06/07/2021,"36.55","36.67","34.68","34.86","285,539"
06/04/2021,"35.55","36.10","33.50","36.02","218,019"
06/03/2021,"36.02","36.73","35.18","35.99","178,234"
06/02/2021,"33.90","36.06","33.15","35.65","338,511"
06/01/2021,"32.90","34.00","32.29","33.96","135,910"
05/28/2021,"31.15","32.50","30.72","32.45","182,238"
05/27/2021,"29.78","32.54","28.53","32.33","119,785"
05/26/2021,"29.21","31.49","28.00","29.57","292,105"
05/25/2021,"28.53","29.10","27.93","28.09","167,358"
05/24/2021,"29.09","30.00","28.04","28.24","224,894"
05/21/2021,"29.83","30.50","28.34","28.77","175,401"
05/20/2021,"30.00","32.00","29.22","29.46","203,036"
05/19/2021,"30.22","30.22","28.29","29.84","143,499"
05/18/2021,"29.07","32.70","29.07","30.37","284,446"
05/17/2021,"28.25","30.85","28.20","29.36","169,936"
05/14/2021,"27.42","30.23","24.31","29.44","300,533"
05/13/2021,"30.96","31.99","27.01","27.06","426,544"
05/12/2021,"32.47","33.00","30.71","31.02","244,066"
05/11/2021,"32.35","33.47","30.75","32.99","212,773"
05/10/2021,"33.02","34.43","32.08","32.97","254,609"
05/07/2021,"30.55","32.85","29.61","32.57","206,136"
05/06/2021,"30.79","31.69","29.07","30.10","216,090"
05/05/2021,"28.92","33.07","28.31","30.37","226,361"
05/04/2021,"30.37","30.97","28.10","28.48","155,179"
05/03/2021,"30.65","32.39","29.31","30.16","113,533"
04/30/2021,"29.53","32.02","28.40","31.36","204,888"
04/29/2021,"29.60","31.04","28.79","29.32","206,329"
04/28/2021,"31.74","32.71","28.47","29.00","459,766"
04/27/2021,"28.75","34.47","28.00","31.27","985,184"
04/26/2021,"26.20","30.93","26.04","28.94","1,119,490"
04/23/2021,"24.50","28.55","24.25","25.53","5,224,724"
