Date,Open,High,Low,Close,Volume
08/20/2021,"9.95","9.95","9.86","9.88","25,462"
08/19/2021,"9.90","9.95","9.90","9.95","6,682"
08/18/2021,"9.98","9.98","9.90","9.96","64,370"
08/17/2021,"9.98","9.98","9.94","9.97","1,067,028"
08/16/2021,"10.02","10.02","9.85","9.97","34,358"
08/13/2021,"10.03","10.03","9.98","10.00","32,949"
08/12/2021,"10.00","10.01","9.99","10.00","69,966"
08/11/2021,"10.03","10.03","10.00","10.00","65,529"
08/10/2021,"9.98","10.03","9.98","10.00","9,792"
08/09/2021,"10.05","10.05","9.99","9.99","14,346"
08/06/2021,"10.00","10.05","9.99","10.03","26,252"
08/05/2021,"10.03","10.03","9.99","10.01","36,035"
08/04/2021,"9.99","10.01","9.96","10.01","29,505"
08/03/2021,"9.97","10.03","9.97","10.00","100,536"
08/02/2021,"9.97","10.01","9.96","9.97","66,163"
07/30/2021,"9.95","9.95","9.85","9.93","1,137,094"
07/29/2021,"10.00","10.00","9.90","9.93","753,126"
07/28/2021,"9.96","9.96","9.91","9.95","700"
07/19/2021,"9.97","9.97","9.97","9.97","310"
07/15/2021,"10.08","10.08","10.08","10.08","2"
07/14/2021,"10.08","10.08","10.08","10.08","102"
07/13/2021,"10.02","10.08","10.02","10.08","2,202"
07/12/2021,"9.95","9.99","9.95","9.99","465"
07/09/2021,"10.00","10.00","10.00","10.00","3,300"
07/08/2021,"9.94","10.00","9.94","10.00","701"
07/06/2021,"10.03","10.03","10.03","10.03","1,105"
07/02/2021,"9.95","9.95","9.95","9.95","258"
07/01/2021,"9.95","9.95","9.95","9.95","183"
06/30/2021,"10.07","10.07","9.91","9.96","6,885"
06/28/2021,"10.13","10.13","10.13","10.13","2"
06/25/2021,"10.13","10.13","10.13","10.13","34,999"
06/24/2021,"10.06","10.06","10.06","10.06","103"
06/23/2021,"10.05","10.05","10.05","10.05","5"
06/22/2021,"10.10","10.10","10.05","10.05","1,401"
06/21/2021,"10.06","10.06","10.06","10.06","21"
06/18/2021,"10.02","10.13","10.02","10.06","498"
06/17/2021,"10.10","10.10","10.10","10.10","55"
06/16/2021,"10.10","10.10","10.10","10.10","20,414"
06/15/2021,"10.20","10.20","10.12","10.12","330,592"
06/14/2021,"10.15","10.15","10.15","10.15","56,505"
06/11/2021,"10.15","10.15","10.15","10.15","9"
06/10/2021,"10.16","10.16","10.10","10.15","109,501"
06/09/2021,"10.10","10.11","10.09","10.11","50,850"
06/08/2021,"10.04","10.07","9.95","10.05","1,046,077"
06/07/2021,"9.99","10.04","9.98","10.04","6,109"
06/04/2021,"9.90","9.90","9.90","9.90","409"
06/03/2021,"9.84","9.90","9.84","9.89","603"
06/02/2021,"9.86","9.86","9.86","9.86","48,711"
06/01/2021,"9.87","9.87","9.87","9.87","837"
05/27/2021,"9.89","9.94","9.89","9.90","1,819"
05/26/2021,"9.97","9.97","9.89","9.89","300"
05/25/2021,"9.81","9.88","9.79","9.88","180,414"
05/24/2021,"9.90","9.90","9.81","9.85","84,100"
05/21/2021,"9.95","9.95","9.90","9.90","21,308"
05/20/2021,"10.05","10.05","9.95","9.95","4,524"
05/19/2021,"10.05","10.06","10.00","10.00","3,000"
05/18/2021,"10.05","10.05","10.05","10.05","190"
05/17/2021,"10.00","10.00","10.00","10.00","2,453"
05/14/2021,"10.06","10.06","10.00","10.04","18,011"
05/12/2021,"10.11","10.11","10.11","10.11","80"
05/11/2021,"10.11","10.11","10.06","10.11","25,777"
05/10/2021,"10.10","10.10","10.02","10.10","257,520"
05/07/2021,"10.10","10.10","10.10","10.10","20"
05/06/2021,"10.20","10.20","10.07","10.10","283,749"
05/05/2021,"10.15","10.15","10.15","10.15","2,835"
05/04/2021,"10.10","10.12","10.10","10.12","1,782"
05/03/2021,"10.16","10.16","10.16","10.16","4,364"
04/30/2021,"10.12","10.17","10.12","10.15","1,327"
04/29/2021,"10.10","10.16","10.10","10.16","311"
04/28/2021,"10.10","10.20","10.10","10.18","45,951"
04/27/2021,"10.10","10.14","10.08","10.12","218,004"
04/26/2021,"10.20","10.20","10.17","10.18","2,814"
04/23/2021,"10.16","10.16","10.16","10.16","111"
04/22/2021,"10.11","10.15","10.11","10.14","604"
04/21/2021,"10.10","10.13","10.10","10.13","100,285"
04/20/2021,"10.11","10.19","10.10","10.12","4,465"
04/19/2021,"10.10","10.15","10.10","10.12","3,562"
04/16/2021,"10.10","10.14","10.10","10.14","1,567"
04/15/2021,"10.15","10.20","10.10","10.12","16,432"
04/14/2021,"10.05","10.15","10.05","10.13","109,361"
04/13/2021,"10.05","10.11","10.05","10.10","83,774"
04/12/2021,"10.11","10.15","10.08","10.10","120,322"
04/09/2021,"10.10","10.18","10.10","10.11","2,499,892"
