Date,Open,High,Low,Close,Volume
08/20/2021,"16.28","17.38","16.03","16.93","103,447"
08/19/2021,"16.78","17.22","16.05","16.29","71,169"
08/18/2021,"17.54","17.88","16.95","17.00","76,391"
08/17/2021,"15.82","18.18","15.50","17.50","178,586"
08/16/2021,"17.66","17.66","15.75","15.82","102,676"
08/13/2021,"17.50","17.77","17.00","17.38","67,814"
08/12/2021,"17.86","17.86","17.19","17.47","62,794"
08/11/2021,"18.15","18.15","17.30","17.71","61,880"
08/10/2021,"17.89","18.16","17.76","18.09","57,741"
08/09/2021,"18.05","18.39","17.86","17.87","30,415"
08/06/2021,"18.13","18.20","17.76","17.97","32,459"
08/05/2021,"17.65","18.23","17.65","18.00","51,208"
08/04/2021,"18.00","18.09","17.39","17.63","76,140"
08/03/2021,"17.90","18.04","17.16","17.99","71,569"
08/02/2021,"17.64","18.11","17.31","17.95","92,055"
07/30/2021,"17.22","17.58","16.72","17.29","118,255"
07/29/2021,"18.01","18.22","16.99","17.31","79,220"
07/28/2021,"17.99","18.50","17.82","18.00","121,151"
07/27/2021,"18.16","18.26","17.13","17.83","106,516"
07/26/2021,"18.58","19.18","17.66","17.95","173,326"
07/23/2021,"19.84","19.84","18.59","18.73","36,309"
07/22/2021,"20.08","20.38","19.01","19.52","81,032"
07/21/2021,"20.07","20.85","19.54","20.35","92,340"
07/20/2021,"19.00","20.05","18.53","19.68","103,522"
07/19/2021,"18.77","19.21","18.10","18.99","172,880"
07/16/2021,"20.60","20.60","18.87","19.00","439,370"
07/15/2021,"20.02","20.51","19.07","19.63","108,583"
07/14/2021,"19.87","20.89","19.59","20.50","235,232"
07/13/2021,"20.26","20.79","19.57","20.48","198,835"
07/12/2021,"21.31","21.31","19.54","20.41","279,655"
07/09/2021,"19.18","21.35","18.85","21.31","229,665"
07/08/2021,"18.58","19.52","18.10","18.99","256,623"
07/07/2021,"19.87","20.60","18.20","18.66","177,218"
07/06/2021,"20.31","20.84","19.27","19.80","273,374"
07/02/2021,"21.11","21.46","19.92","20.00","245,638"
07/01/2021,"21.27","21.97","20.74","21.00","361,978"
06/30/2021,"24.00","24.00","21.13","21.20","220,998"
06/29/2021,"25.44","25.44","23.00","23.61","328,000"
06/28/2021,"24.02","25.30","23.95","24.94","122,437"
06/25/2021,"26.18","26.25","23.80","24.00","1,802,294"
06/24/2021,"26.04","26.86","25.82","26.38","217,296"
06/23/2021,"25.59","25.99","24.96","25.14","109,629"
06/22/2021,"25.74","25.90","24.85","25.33","112,786"
06/21/2021,"26.05","26.40","25.40","25.94","184,744"
06/18/2021,"24.49","25.98","24.49","25.76","162,744"
06/17/2021,"24.98","25.39","24.32","25.04","332,003"
06/16/2021,"25.66","26.15","24.26","24.99","117,465"
06/15/2021,"26.99","26.99","25.55","25.98","262,266"
06/14/2021,"24.63","26.30","24.63","25.72","198,320"
06/11/2021,"24.54","25.05","23.48","24.51","328,244"
06/10/2021,"24.16","25.21","23.70","24.60","85,225"
06/09/2021,"24.40","24.73","23.71","24.01","118,262"
06/08/2021,"24.80","24.80","23.37","23.79","425,562"
06/07/2021,"22.58","24.82","22.37","23.97","259,172"
06/04/2021,"22.25","22.74","21.90","22.32","148,896"
06/03/2021,"22.41","22.76","21.50","22.04","132,006"
06/02/2021,"22.20","22.97","21.86","22.66","158,015"
06/01/2021,"22.49","22.62","21.42","22.20","163,446"
05/28/2021,"22.61","23.97","22.34","22.50","277,298"
05/27/2021,"22.53","23.33","22.04","22.63","434,744"
05/26/2021,"22.48","22.84","21.88","22.42","118,106"
05/25/2021,"22.52","23.49","22.33","22.50","158,207"
05/24/2021,"22.04","23.07","21.92","22.50","331,587"
05/21/2021,"21.99","22.15","21.40","21.63","103,381"
05/20/2021,"21.89","22.77","21.40","21.66","121,747"
05/19/2021,"22.61","22.83","21.15","21.78","131,539"
05/18/2021,"22.51","22.81","21.66","21.79","164,604"
05/17/2021,"21.02","22.80","20.08","22.20","184,186"
05/14/2021,"21.12","21.86","20.75","20.94","85,296"
05/13/2021,"20.66","21.79","20.19","20.92","97,839"
05/12/2021,"20.80","21.49","20.24","20.37","63,449"
05/11/2021,"20.08","21.85","19.55","21.00","85,074"
05/10/2021,"21.27","21.73","20.29","20.52","42,231"
05/07/2021,"21.85","22.50","20.74","21.20","34,920"
05/06/2021,"20.50","22.30","20.50","21.77","57,412"
05/05/2021,"22.71","23.80","20.35","20.68","136,773"
05/04/2021,"23.39","24.04","22.51","22.68","110,826"
05/03/2021,"25.80","25.82","23.55","23.57","94,742"
04/30/2021,"24.57","26.75","24.57","25.81","86,140"
04/29/2021,"24.77","25.15","23.58","25.00","29,217"
04/28/2021,"24.25","24.73","24.20","24.54","31,037"
04/27/2021,"25.05","25.05","24.02","24.28","29,350"
04/26/2021,"22.94","24.50","22.94","24.31","33,811"
04/23/2021,"23.28","23.78","22.52","22.82","36,871"
04/22/2021,"24.51","24.93","22.49","23.11","91,996"
04/21/2021,"22.50","24.69","22.27","24.32","36,496"
04/20/2021,"22.87","23.67","22.05","22.82","30,000"
04/19/2021,"23.52","24.28","22.54","23.01","38,993"
04/16/2021,"24.83","25.32","23.39","23.86","89,451"
04/15/2021,"25.28","26.00","24.64","24.91","76,882"
04/14/2021,"23.08","26.35","23.07","25.57","159,618"
04/13/2021,"25.59","26.78","21.72","23.26","169,009"
04/12/2021,"23.32","27.00","22.00","25.00","629,040"
04/09/2021,"20.00","21.39","19.46","21.19","156,487"
04/08/2021,"19.89","20.24","19.32","19.92","54,795"
04/07/2021,"19.80","19.80","18.68","19.29","323,307"
04/06/2021,"19.87","20.24","19.29","19.57","51,020"
04/05/2021,"20.62","20.74","19.80","19.99","91,281"
04/01/2021,"20.75","20.81","19.50","20.20","184,587"
03/31/2021,"20.98","21.15","20.11","20.30","49,448"
03/30/2021,"20.48","21.41","20.17","20.50","38,351"
03/29/2021,"21.29","22.23","20.40","20.61","70,105"
03/26/2021,"22.15","22.15","20.72","21.54","39,099"
03/25/2021,"20.93","21.94","20.21","21.86","59,056"
03/24/2021,"23.15","23.50","21.29","21.30","206,189"
03/23/2021,"23.32","24.15","21.88","22.47","192,283"
03/22/2021,"23.85","24.90","22.83","24.01","61,394"
03/19/2021,"22.87","25.08","22.58","23.84","163,568"
03/18/2021,"24.42","25.18","22.54","22.54","55,834"
03/17/2021,"25.01","27.51","23.95","24.67","66,944"
