Date,Open,High,Low,Close,Volume
08/30/2021,"49.63","50.23","43.21","45.35","2,018,990"
08/27/2021,"48.12","50.00","46.46","50.00","2,109,330"
08/26/2021,"45.38","49.30","45.34","47.95","2,709,917"
08/25/2021,"46.11","46.30","43.03","44.97","3,890,701"
08/24/2021,"39.56","50.30","39.56","46.36","7,877,306"
08/23/2021,"34.06","39.31","34.06","39.04","1,612,995"
08/20/2021,"35.96","36.94","32.93","34.00","2,780,813"
08/19/2021,"31.49","38.48","31.25","34.50","5,199,869"
08/18/2021,"30.50","32.22","29.25","32.17","6,622,319"
08/17/2021,"28.05","31.43","28.04","31.34","6,848,170"
08/16/2021,"27.42","30.66","27.24","30.35","6,324,907"
08/13/2021,"32.99","33.18","30.50","30.67","3,666,284"
08/12/2021,"32.65","32.85","30.84","32.46","3,127,606"
08/11/2021,"32.75","33.10","30.81","32.70","2,745,554"
08/10/2021,"35.33","35.50","31.01","33.01","5,517,918"
08/09/2021,"33.45","34.92","32.41","34.35","2,624,530"
08/06/2021,"35.50","36.39","32.66","33.91","3,881,072"
08/05/2021,"37.76","38.54","36.08","37.64","1,872,396"
08/04/2021,"37.70","38.40","36.02","37.62","919,399"
08/03/2021,"38.20","38.90","37.17","37.65","791,690"
08/02/2021,"37.50","38.57","36.33","38.14","1,525,691"
07/30/2021,"39.60","39.99","36.50","36.80","1,482,969"
07/29/2021,"42.10","42.34","39.18","40.02","1,090,933"
07/28/2021,"41.00","42.62","40.88","41.64","1,113,505"
07/27/2021,"40.61","41.18","39.04","39.98","1,830,756"
07/26/2021,"41.50","42.90","39.83","41.19","1,094,130"
07/23/2021,"44.92","45.00","42.22","43.48","842,795"
07/22/2021,"50.00","50.17","45.60","45.76","834,717"
07/21/2021,"48.23","50.40","47.99","49.43","665,568"
07/20/2021,"45.23","48.61","45.23","47.79","875,430"
07/19/2021,"45.35","46.47","43.32","45.23","1,104,670"
07/16/2021,"48.21","48.25","46.12","46.62","844,268"
07/15/2021,"48.11","49.65","46.50","48.00","800,897"
07/14/2021,"51.87","52.70","48.30","48.40","855,277"
07/13/2021,"54.62","55.45","51.60","52.00","885,355"
07/12/2021,"55.60","56.88","53.82","54.18","688,367"
07/09/2021,"54.76","55.47","53.57","55.01","586,225"
07/08/2021,"53.36","57.29","52.66","54.12","1,038,750"
07/07/2021,"63.43","63.82","55.10","55.20","1,292,773"
07/06/2021,"60.89","64.83","59.85","63.13","814,119"
07/02/2021,"63.38","69.98","61.31","62.58","1,362,110"
07/01/2021,"71.51","73.89","61.02","63.08","2,047,188"
06/30/2021,"70.33","79.84","69.01","71.24","5,972,586"
06/29/2021,"64.36","74.25","62.86","70.55","2,989,955"
06/28/2021,"56.91","65.57","56.41","65.30","1,840,802"
06/25/2021,"55.15","57.28","53.75","56.31","3,129,024"
06/24/2021,"57.01","60.74","53.38","54.04","1,144,780"
06/23/2021,"50.44","57.29","50.42","56.79","1,145,342"
06/22/2021,"51.50","52.73","50.21","50.91","584,043"
06/21/2021,"53.14","53.14","49.54","51.09","903,322"
06/18/2021,"52.36","54.25","51.97","53.19","3,746,712"
06/17/2021,"50.18","56.21","50.14","52.55","1,738,495"
06/16/2021,"54.58","54.70","49.90","50.28","1,421,416"
06/15/2021,"58.90","59.23","51.62","55.53","2,206,536"
06/14/2021,"50.00","65.98","49.99","59.36","3,751,173"
06/11/2021,"45.21","50.00","45.10","49.87","990,447"
06/10/2021,"47.92","48.50","43.85","45.02","772,188"
06/09/2021,"45.94","48.13","43.68","47.92","1,109,630"
06/08/2021,"38.78","45.75","38.51","45.44","1,684,762"
06/07/2021,"39.23","39.23","38.18","38.83","240,106"
06/04/2021,"38.81","39.46","38.65","39.23","384,084"
06/03/2021,"39.02","39.02","37.94","38.50","569,865"
06/02/2021,"38.28","39.47","38.15","39.09","443,479"
06/01/2021,"38.80","39.88","36.75","38.13","437,714"
05/28/2021,"37.93","38.50","37.54","38.34","274,781"
05/27/2021,"38.50","38.58","37.10","37.86","334,534"
05/26/2021,"37.03","38.16","36.86","38.08","333,943"
05/25/2021,"36.90","37.69","36.54","36.78","385,561"
05/24/2021,"36.90","37.06","35.68","36.59","262,486"
05/21/2021,"36.69","37.79","36.44","36.90","274,930"
05/20/2021,"35.53","37.01","35.53","36.34","411,935"
05/19/2021,"34.99","36.12","34.42","35.23","297,818"
05/18/2021,"36.08","36.76","35.62","35.94","607,925"
05/17/2021,"36.80","36.89","34.52","36.00","648,514"
05/14/2021,"34.96","36.82","34.96","36.77","1,009,713"
05/13/2021,"36.62","37.39","34.59","34.73","1,235,219"
05/12/2021,"38.17","38.17","35.14","36.08","1,624,445"
05/11/2021,"35.78","39.36","35.50","38.07","1,055,358"
05/10/2021,"37.63","38.96","36.20","37.09","929,868"
05/07/2021,"36.98","38.84","36.27","37.29","727,254"
