Date,Open,High,Low,Close,Volume
08/30/2021,"9.93","10.12","9.68","9.80","2,709,580"
08/27/2021,"10.05","10.20","9.46","9.51","2,039,915"
08/26/2021,"10.62","10.64","9.89","10.03","1,600,048"
08/25/2021,"11.00","11.15","10.45","10.49","2,319,150"
08/24/2021,"10.96","11.70","10.93","11.15","3,753,965"
08/23/2021,"10.52","10.96","10.26","10.54","1,120,066"
08/20/2021,"10.38","11.33","9.89","10.46","3,199,695"
08/19/2021,"11.82","11.90","9.72","10.41","5,317,919"
08/18/2021,"13.50","14.10","11.73","12.15","6,838,318"
08/17/2021,"16.00","16.00","14.77","15.00","1,922,611"
08/16/2021,"17.08","17.10","15.89","15.98","2,298,575"
08/13/2021,"17.49","17.92","17.14","17.17","777,858"
08/12/2021,"18.50","18.70","17.02","17.36","1,038,659"
08/11/2021,"19.83","19.89","18.11","18.35","886,464"
08/10/2021,"20.10","20.28","19.82","20.05","253,802"
08/09/2021,"19.79","20.20","19.17","19.80","531,732"
08/06/2021,"20.45","20.45","19.08","19.56","301,515"
08/05/2021,"19.48","20.55","19.45","20.41","190,255"
08/04/2021,"20.29","21.00","19.38","19.46","716,716"
08/03/2021,"21.13","21.13","19.93","20.28","248,342"
08/02/2021,"20.51","21.28","20.13","21.12","336,990"
07/30/2021,"19.97","20.47","19.68","19.88","331,732"
07/29/2021,"20.28","21.18","20.09","20.50","535,942"
07/28/2021,"19.39","20.44","18.68","19.96","545,439"
07/27/2021,"17.33","21.40","15.88","19.34","5,935,413"
07/26/2021,"18.73","19.90","18.36","18.46","1,848,609"
07/23/2021,"19.69","20.14","19.30","19.81","1,706,958"
07/22/2021,"20.54","20.60","19.91","20.52","328,723"
07/21/2021,"19.91","20.89","19.91","20.76","477,968"
07/20/2021,"20.59","20.59","19.64","20.13","432,746"
07/19/2021,"19.14","20.70","19.01","20.60","468,355"
07/16/2021,"20.48","20.61","19.67","19.80","638,283"
07/15/2021,"19.64","20.72","19.47","20.69","591,678"
07/14/2021,"20.58","20.81","19.49","19.64","308,693"
07/13/2021,"21.05","21.05","19.91","20.14","626,648"
07/12/2021,"20.25","21.58","20.01","20.96","1,777,993"
07/09/2021,"19.55","21.21","19.55","20.35","1,702,695"
07/08/2021,"20.00","20.06","18.02","18.65","3,602,876"
07/07/2021,"23.06","23.46","20.29","20.37","1,080,269"
07/06/2021,"23.79","24.50","21.35","22.88","2,004,581"
07/02/2021,"24.10","25.10","23.90","25.05","378,049"
07/01/2021,"24.86","25.75","24.01","24.48","672,955"
06/30/2021,"23.48","25.00","23.17","24.50","856,587"
06/29/2021,"22.58","23.72","22.58","23.50","819,815"
06/28/2021,"23.52","23.91","22.48","22.52","722,634"
06/25/2021,"24.00","25.12","23.27","23.95","1,820,368"
06/24/2021,"23.41","23.79","23.07","23.59","1,069,339"
06/23/2021,"21.89","23.79","21.73","23.34","1,399,537"
06/22/2021,"19.90","21.69","19.87","21.47","1,130,867"
06/21/2021,"21.14","21.30","19.94","20.25","543,322"
06/18/2021,"21.51","21.58","20.08","21.01","834,612"
06/17/2021,"20.99","21.68","20.52","21.65","861,387"
06/16/2021,"21.99","22.31","20.51","20.91","1,024,557"
06/15/2021,"21.94","23.00","21.71","22.47","703,252"
06/14/2021,"22.18","22.66","21.50","21.93","528,445"
06/11/2021,"22.94","23.21","21.81","22.02","725,402"
06/10/2021,"24.49","24.89","22.55","22.82","794,787"
06/09/2021,"24.45","25.43","24.30","24.43","613,891"
06/08/2021,"23.81","25.24","23.79","24.71","532,572"
06/07/2021,"25.05","25.26","23.01","23.31","637,582"
06/04/2021,"22.59","26.00","22.50","25.43","1,034,759"
06/03/2021,"25.11","25.11","22.00","22.11","931,559"
06/02/2021,"25.54","26.35","24.84","25.29","415,166"
06/01/2021,"24.29","26.05","24.12","25.95","749,569"
05/28/2021,"25.72","25.72","23.66","23.86","541,444"
05/27/2021,"26.01","26.19","24.22","24.57","834,055"
05/26/2021,"23.26","26.65","23.26","26.00","1,104,574"
05/25/2021,"22.02","23.79","22.02","23.06","536,573"
05/24/2021,"23.16","23.16","21.01","21.52","646,912"
05/21/2021,"24.65","24.84","22.40","23.43","819,241"
05/20/2021,"22.79","25.33","22.79","24.49","1,610,627"
05/19/2021,"20.00","22.79","19.67","22.62","1,357,250"
05/18/2021,"19.18","21.67","19.18","21.50","1,071,161"
05/17/2021,"18.10","19.37","17.81","18.96","1,118,248"
05/14/2021,"17.73","18.15","16.01","17.45","1,562,960"
05/13/2021,"17.03","17.79","16.92","16.95","473,154"
05/12/2021,"16.88","17.50","16.41","16.88","1,196,545"
05/11/2021,"16.08","17.21","15.70","16.94","743,056"
05/10/2021,"17.86","17.86","16.37","16.48","896,397"
