Date,Open,High,Low,Close,Volume
08/12/2021,"9.70","9.70","9.68","9.70","41,273"
08/11/2021,"9.71","9.73","9.71","9.73","524"
08/10/2021,"9.70","9.77","9.70","9.71","6,627"
08/09/2021,"9.70","9.77","9.70","9.77","4,374"
08/06/2021,"9.70","9.73","9.70","9.73","4,352"
08/05/2021,"9.77","9.77","9.71","9.71","581"
08/04/2021,"9.70","9.72","9.70","9.72","947"
08/03/2021,"9.77","9.77","9.70","9.71","3,377"
08/02/2021,"9.82","9.82","9.82","9.82","383"
07/30/2021,"9.77","9.77","9.77","9.77","216"
07/29/2021,"9.73","9.76","9.73","9.75","2,085"
07/28/2021,"9.75","9.77","9.75","9.75","2,676"
07/27/2021,"9.75","9.76","9.75","9.76","1,930"
07/26/2021,"9.86","9.86","9.75","9.75","2,922"
07/23/2021,"9.79","9.83","9.79","9.79","1,189"
07/22/2021,"9.88","9.88","9.78","9.78","3,021"
07/21/2021,"9.86","9.86","9.78","9.78","2,748"
07/20/2021,"9.86","9.86","9.81","9.81","549"
07/19/2021,"9.86","9.87","9.80","9.80","3,518"
07/16/2021,"9.87","9.90","9.86","9.90","911"
07/15/2021,"9.87","9.91","9.86","9.90","1,161"
07/14/2021,"9.95","9.95","9.87","9.87","1,047"
07/13/2021,"9.94","9.94","9.91","9.91","819"
07/12/2021,"9.86","9.92","9.86","9.92","1,444"
07/09/2021,"9.86","9.88","9.84","9.85","10,384"
07/08/2021,"9.85","9.95","9.85","9.85","9,075"
07/07/2021,"9.86","9.88","9.85","9.88","3,580"
07/06/2021,"9.90","9.95","9.90","9.90","7,166"
07/02/2021,"9.86","9.88","9.85","9.88","806"
07/01/2021,"9.82","9.86","9.82","9.86","1,674"
06/30/2021,"9.86","9.87","9.84","9.85","11,628"
06/29/2021,"9.96","9.96","9.83","9.85","142,859"
06/28/2021,"9.95","9.95","9.89","9.89","24,554"
06/25/2021,"9.96","9.98","9.88","9.98","2,001"
06/24/2021,"9.90","9.98","9.89","9.94","43,225"
06/23/2021,"9.91","9.95","9.91","9.95","6,503"
06/22/2021,"9.95","9.95","9.92","9.92","12,483"
06/21/2021,"9.95","9.96","9.95","9.95","2,974"
06/18/2021,"9.99","9.99","9.91","9.96","2,529"
06/17/2021,"9.91","9.93","9.90","9.91","7,173"
06/16/2021,"9.93","9.94","9.90","9.93","2,769"
06/15/2021,"9.97","9.97","9.92","9.96","5,186"
06/14/2021,"10.00","10.00","9.90","9.97","17,756"
06/11/2021,"10.00","10.00","9.95","9.95","16,630"
06/10/2021,"10.00","10.00","9.95","9.98","2,312"
06/09/2021,"9.99","10.00","9.98","9.99","59,081"
06/08/2021,"9.95","10.00","9.95","9.96","19,063"
06/07/2021,"9.98","9.98","9.95","9.95","50,161"
06/04/2021,"9.97","9.98","9.90","9.95","142,463"
06/03/2021,"9.95","9.95","9.93","9.93","58,043"
06/02/2021,"9.98","9.98","9.94","9.95","77,447"
06/01/2021,"9.99","9.99","9.94","9.95","43,993"
05/28/2021,"10.00","10.00","9.96","9.98","56,587"
05/27/2021,"10.00","10.02","9.91","9.95","352,521"
05/26/2021,"9.90","9.95","9.87","9.89","32,375"
05/25/2021,"9.79","9.79","9.79","9.79","412"
05/24/2021,"9.81","9.81","9.80","9.80","120,443"
05/21/2021,"9.84","9.85","9.82","9.83","1,920"
05/20/2021,"9.80","9.86","9.80","9.86","2,629"
05/19/2021,"9.82","9.83","9.80","9.81","10,692"
05/18/2021,"9.82","9.85","9.82","9.84","1,160"
05/17/2021,"9.84","9.89","9.82","9.85","3,125"
05/14/2021,"9.83","9.89","9.83","9.87","2,574"
05/13/2021,"9.84","9.85","9.84","9.84","7,975"
05/12/2021,"9.85","9.87","9.83","9.84","25,397"
05/11/2021,"9.85","9.87","9.85","9.85","110,975"
05/10/2021,"9.89","9.95","9.86","9.86","7,455"
05/07/2021,"9.85","9.95","9.85","9.95","11,734"
05/06/2021,"9.91","9.91","9.90","9.90","17,101"
05/05/2021,"9.90","9.92","9.90","9.91","16,444"
05/04/2021,"9.85","9.93","9.85","9.93","17,502"
05/03/2021,"9.87","9.92","9.87","9.90","4,126"
04/30/2021,"9.96","9.96","9.86","9.87","505,062"
04/29/2021,"9.85","9.92","9.85","9.89","501,410"
04/28/2021,"9.85","9.90","9.85","9.86","18,895"
04/27/2021,"9.88","9.93","9.85","9.91","187,621"
04/26/2021,"9.85","9.89","9.85","9.88","60,737"
04/23/2021,"9.90","9.94","9.87","9.87","77,079"
04/22/2021,"9.90","9.95","9.90","9.93","120,459"
04/21/2021,"9.90","9.93","9.90","9.93","33,361"
04/20/2021,"9.92","9.98","9.92","9.92","73,487"
04/19/2021,"9.92","9.95","9.92","9.92","17,213"
04/16/2021,"9.95","10.03","9.93","9.94","366,735"
04/15/2021,"9.98","10.00","9.95","9.95","544,098"
04/14/2021,"9.94","10.00","9.94","9.97","289,093"
04/13/2021,"9.95","9.96","9.94","9.94","311,732"
04/12/2021,"10.00","10.00","9.92","9.94","107,866"
04/09/2021,"9.98","10.00","9.95","10.00","102,804"
04/08/2021,"10.00","10.01","9.95","9.98","277,480"
04/07/2021,"9.98","10.00","9.95","10.00","303,323"
04/06/2021,"9.91","9.96","9.90","9.95","196,534"
04/05/2021,"9.96","9.96","9.75","9.95","1,001,446"
04/01/2021,"9.98","9.98","9.90","9.95","1,236,907"
03/31/2021,"9.83","9.95","9.82","9.95","817,174"
03/30/2021,"9.82","9.87","9.82","9.85","6,129,103"
