Date,Open,High,Low,Close,Volume
08/11/2021,"10.50","10.55","10.02","10.17","194,867"
08/10/2021,"10.27","10.48","10.13","10.45","103,697"
08/09/2021,"10.32","10.37","9.91","10.24","80,256"
08/06/2021,"10.05","10.50","9.80","10.40","140,057"
08/05/2021,"10.00","10.27","9.64","10.03","156,840"
08/04/2021,"9.73","10.11","9.50","9.96","192,141"
08/03/2021,"9.66","10.12","9.31","9.70","152,272"
08/02/2021,"9.50","9.95","9.50","9.56","85,866"
07/30/2021,"9.52","9.69","9.32","9.32","89,461"
07/29/2021,"9.93","9.94","9.55","9.55","28,488"
07/28/2021,"9.78","10.20","9.44","9.80","121,364"
07/27/2021,"9.85","9.90","9.44","9.68","78,479"
07/26/2021,"10.33","10.40","9.83","9.98","115,500"
07/23/2021,"10.40","10.75","10.02","10.40","307,117"
07/22/2021,"9.95","10.45","9.95","10.32","186,905"
07/21/2021,"9.58","10.40","9.58","9.96","225,673"
07/20/2021,"9.23","9.67","9.13","9.50","127,447"
07/19/2021,"8.72","9.29","8.60","9.16","178,072"
07/16/2021,"8.60","9.55","8.60","8.84","208,768"
07/15/2021,"9.20","9.46","8.51","8.55","226,642"
07/14/2021,"10.24","10.24","9.19","9.19","325,942"
07/13/2021,"10.00","10.40","9.97","10.29","173,616"
07/12/2021,"9.58","9.94","9.51","9.87","71,079"
07/09/2021,"9.38","9.82","9.38","9.65","73,415"
07/08/2021,"9.00","9.65","8.91","9.35","165,213"
07/07/2021,"9.64","9.64","9.24","9.31","176,173"
07/06/2021,"9.80","9.80","9.19","9.64","114,386"
07/02/2021,"9.24","9.78","9.02","9.78","122,044"
07/01/2021,"9.33","9.61","8.92","9.20","279,026"
06/30/2021,"9.73","9.85","8.93","9.17","482,951"
06/29/2021,"10.00","10.38","9.77","9.85","184,020"
06/28/2021,"10.42","10.43","9.82","9.90","157,797"
06/25/2021,"10.49","10.50","10.03","10.43","124,581"
06/24/2021,"9.86","10.49","9.76","10.45","297,195"
06/23/2021,"9.99","9.99","9.60","9.93","77,790"
06/22/2021,"9.83","10.03","9.55","9.94","105,761"
06/21/2021,"9.74","9.95","9.49","9.89","97,932"
06/18/2021,"8.98","9.72","8.98","9.70","128,439"
06/17/2021,"9.60","9.65","9.00","9.28","143,340"
06/16/2021,"10.06","10.06","8.95","9.37","221,309"
06/15/2021,"9.74","10.09","9.53","9.96","91,147"
06/14/2021,"10.15","10.15","9.62","9.72","66,176"
06/11/2021,"9.72","10.27","9.52","10.02","68,656"
06/10/2021,"10.20","10.20","9.70","9.90","104,640"
06/09/2021,"10.08","10.44","9.59","10.05","233,150"
06/08/2021,"10.45","10.50","9.95","9.95","120,082"
06/07/2021,"10.20","10.45","10.12","10.42","293,089"
06/04/2021,"9.97","10.20","9.97","10.14","116,961"
06/03/2021,"9.88","10.15","9.61","9.86","129,251"
06/02/2021,"9.56","10.20","9.35","9.94","180,554"
06/01/2021,"9.99","10.06","9.37","9.61","229,962"
05/28/2021,"9.47","10.00","9.34","9.95","181,309"
05/27/2021,"9.34","9.46","8.69","9.39","133,433"
05/26/2021,"8.95","9.26","8.66","9.24","200,418"
05/25/2021,"8.53","8.97","8.53","8.80","122,988"
05/24/2021,"8.24","8.86","8.18","8.47","183,385"
05/21/2021,"7.98","8.44","7.79","8.17","242,787"
05/20/2021,"7.61","8.14","7.61","7.87","68,669"
05/19/2021,"7.66","7.77","7.42","7.55","75,228"
05/18/2021,"7.99","8.01","7.76","7.83","29,305"
05/17/2021,"7.62","8.02","7.61","7.91","75,178"
05/14/2021,"7.10","7.66","7.09","7.51","105,511"
05/13/2021,"7.87","8.18","6.75","7.08","310,350"
05/12/2021,"7.54","8.30","7.54","7.69","152,024"
05/11/2021,"7.54","8.25","7.32","8.18","164,163"
05/10/2021,"8.00","8.07","7.54","7.64","130,924"
05/07/2021,"7.96","8.17","7.91","8.08","77,057"
05/06/2021,"8.03","8.15","7.80","7.99","108,996"
05/05/2021,"7.99","8.28","7.99","8.08","51,698"
05/04/2021,"8.35","8.35","8.05","8.09","42,420"
05/03/2021,"7.94","8.50","7.90","8.36","136,683"
04/30/2021,"8.06","8.33","7.79","7.91","66,359"
04/29/2021,"8.39","8.40","8.12","8.15","73,219"
04/28/2021,"8.30","8.40","8.18","8.31","46,896"
04/27/2021,"8.13","8.33","8.03","8.28","43,026"
04/26/2021,"8.10","8.40","8.02","8.25","62,531"
04/23/2021,"8.02","8.20","7.83","8.00","85,309"
04/22/2021,"8.33","8.33","7.81","8.02","111,511"
04/21/2021,"7.61","8.28","7.51","8.00","140,189"
04/20/2021,"8.38","8.69","7.62","7.90","133,635"
04/19/2021,"8.41","8.90","7.96","8.37","133,956"
04/16/2021,"8.13","8.61","7.88","8.39","169,185"
04/15/2021,"8.66","8.95","8.13","8.25","146,583"
04/14/2021,"8.55","9.10","8.45","8.65","178,119"
04/13/2021,"8.40","9.60","8.40","8.51","418,576"
04/12/2021,"8.49","8.49","7.94","8.25","65,446"
04/09/2021,"8.67","8.67","8.25","8.47","67,583"
04/08/2021,"8.27","8.50","8.06","8.46","84,645"
04/07/2021,"8.16","8.34","7.90","8.04","88,780"
04/06/2021,"8.09","8.38","7.90","8.03","58,524"
04/05/2021,"8.56","8.57","8.01","8.09","110,789"
04/01/2021,"8.50","8.64","8.20","8.50","162,025"
03/31/2021,"8.18","8.50","8.00","8.43","173,191"
03/30/2021,"7.87","8.18","7.70","7.97","115,706"
03/29/2021,"7.90","8.15","7.80","8.02","105,518"
03/26/2021,"8.11","8.18","7.50","7.79","176,600"
03/25/2021,"7.90","8.20","7.65","8.07","214,390"
03/24/2021,"9.50","9.50","7.90","8.15","1,532,594"
03/23/2021,"9.03","9.16","8.42","8.65","160,826"
03/22/2021,"9.00","9.55","8.84","9.19","108,101"
03/19/2021,"9.00","9.34","8.60","8.86","384,639"
03/18/2021,"9.09","9.75","8.64","8.72","313,304"
03/17/2021,"9.04","9.39","8.66","9.27","148,346"
03/16/2021,"9.40","9.67","8.57","9.19","292,081"
03/15/2021,"8.43","9.71","8.38","9.47","760,222"
03/12/2021,"8.09","8.45","7.93","8.31","174,320"
03/11/2021,"8.05","8.44","7.83","7.89","299,700"
03/10/2021,"7.17","8.29","7.15","7.96","224,017"
03/09/2021,"7.20","7.55","6.90","7.10","316,927"
03/08/2021,"7.39","7.60","7.00","7.13","303,983"
03/05/2021,"7.68","7.69","7.11","7.30","193,273"
03/04/2021,"8.17","8.32","7.15","7.47","399,614"
03/03/2021,"8.55","8.75","8.06","8.27","314,818"
03/02/2021,"8.75","8.88","8.03","8.33","121,496"
03/01/2021,"8.53","8.90","8.10","8.82","234,025"
02/26/2021,"8.26","8.69","8.00","8.35","418,663"
02/25/2021,"8.99","8.99","7.81","8.07","814,520"
