Date,Open,High,Low,Close,Volume
08/11/2021,"15.52","15.95","15.30","15.82","520,012"
08/10/2021,"14.90","15.62","14.80","15.52","485,086"
08/09/2021,"14.98","15.21","14.62","14.86","386,548"
08/06/2021,"15.36","15.37","14.91","15.05","306,691"
08/05/2021,"14.79","15.45","14.15","15.25","695,337"
08/04/2021,"15.16","15.36","14.62","14.72","600,428"
08/03/2021,"15.14","15.42","14.98","15.25","374,264"
08/02/2021,"14.83","15.68","14.83","15.20","362,499"
07/30/2021,"15.28","15.42","14.65","14.74","384,829"
07/29/2021,"15.61","15.61","15.22","15.39","278,602"
07/28/2021,"15.72","15.75","15.10","15.47","334,939"
07/27/2021,"15.75","15.75","14.98","15.51","586,922"
07/26/2021,"15.06","15.99","15.03","15.91","575,954"
07/23/2021,"15.08","15.25","14.86","15.00","295,935"
07/22/2021,"15.73","15.73","14.94","15.01","489,020"
07/21/2021,"15.28","15.91","15.28","15.70","681,716"
07/20/2021,"14.18","15.13","14.00","15.03","657,832"
07/19/2021,"14.65","14.65","13.71","14.13","1,070,548"
07/16/2021,"15.32","15.44","14.80","14.90","647,368"
07/15/2021,"15.06","15.28","14.70","15.18","583,523"
07/14/2021,"15.46","15.85","15.03","15.14","370,721"
07/13/2021,"15.62","15.65","15.23","15.38","304,938"
07/12/2021,"15.67","15.77","15.09","15.61","554,607"
07/09/2021,"15.83","16.18","15.71","15.73","845,524"
07/08/2021,"15.19","15.65","14.80","15.60","1,017,639"
07/07/2021,"16.25","16.25","15.55","15.66","718,800"
07/06/2021,"16.57","16.76","15.86","16.19","610,461"
07/02/2021,"17.08","17.33","16.41","16.56","504,257"
07/01/2021,"17.11","17.54","16.81","16.97","682,305"
06/30/2021,"16.54","17.15","16.35","17.04","638,874"
06/29/2021,"17.36","17.36","16.45","16.47","745,913"
06/28/2021,"17.97","17.97","17.03","17.23","514,062"
06/25/2021,"17.60","18.12","17.50","17.80","4,990,329"
06/24/2021,"18.04","18.23","17.36","17.66","650,182"
06/23/2021,"18.45","18.49","17.70","17.89","704,355"
06/22/2021,"19.11","19.11","18.34","18.36","571,751"
06/21/2021,"18.99","19.26","18.70","19.10","424,342"
06/18/2021,"18.60","18.97","18.52","18.86","1,908,189"
06/17/2021,"18.50","18.97","18.46","18.68","443,580"
06/16/2021,"18.65","18.92","18.35","18.61","464,096"
06/15/2021,"18.85","19.03","18.16","18.68","610,847"
06/14/2021,"18.65","19.18","18.55","18.94","728,981"
06/11/2021,"19.30","19.59","18.36","18.50","2,495,329"
06/10/2021,"19.94","19.99","19.16","19.26","642,165"
06/09/2021,"19.88","20.00","19.36","19.69","776,798"
06/08/2021,"20.11","20.35","19.50","20.00","792,969"
06/07/2021,"19.90","21.10","19.90","19.99","833,131"
06/04/2021,"20.47","20.75","19.85","19.86","589,476"
06/03/2021,"21.47","21.65","20.22","20.35","676,737"
06/02/2021,"22.00","22.70","21.53","21.66","638,859"
06/01/2021,"21.77","22.50","21.72","21.91","732,910"
05/28/2021,"20.45","21.69","20.45","21.32","1,249,628"
05/27/2021,"19.63","20.77","19.51","20.48","864,661"
05/26/2021,"19.63","19.77","19.22","19.38","249,637"
05/25/2021,"19.58","20.20","19.34","19.41","466,684"
05/24/2021,"19.19","19.81","18.77","19.43","784,063"
05/21/2021,"19.29","19.45","18.80","18.95","350,417"
05/20/2021,"19.19","19.45","18.60","18.76","332,287"
05/19/2021,"19.55","19.74","18.92","19.00","510,693"
05/18/2021,"20.25","20.31","19.71","19.72","386,240"
05/17/2021,"20.21","20.34","19.47","20.13","392,808"
05/14/2021,"20.10","20.45","20.00","20.20","353,512"
05/13/2021,"19.75","20.47","19.21","19.72","283,957"
05/12/2021,"20.55","20.67","19.66","19.83","450,739"
05/11/2021,"20.12","20.89","19.65","20.65","747,534"
05/10/2021,"20.61","20.95","20.40","20.75","283,355"
05/07/2021,"20.02","20.69","20.01","20.62","378,534"
05/06/2021,"20.20","20.38","19.57","20.04","228,796"
05/05/2021,"20.24","20.45","19.98","20.17","351,645"
05/04/2021,"20.25","20.52","19.70","20.12","432,946"
05/03/2021,"21.19","21.19","20.14","20.29","435,511"
04/30/2021,"21.22","21.41","20.72","21.04","418,804"
04/29/2021,"21.03","22.00","21.03","21.26","645,572"
04/28/2021,"20.92","21.29","20.68","21.07","256,236"
04/27/2021,"21.03","21.31","20.75","20.99","561,990"
04/26/2021,"21.39","21.97","20.88","21.02","1,640,623"
04/23/2021,"20.28","21.24","20.15","21.17","626,485"
04/22/2021,"19.39","20.57","19.23","20.51","917,374"
04/21/2021,"19.24","19.92","19.05","19.43","711,533"
04/20/2021,"20.06","20.07","18.90","19.33","614,100"
04/19/2021,"19.98","20.15","19.57","20.07","297,649"
04/16/2021,"19.91","20.25","19.49","20.13","275,140"
04/15/2021,"20.25","20.40","19.80","19.95","367,197"
04/14/2021,"19.82","21.11","19.77","19.97","601,012"
04/13/2021,"20.08","20.56","18.90","19.68","737,539"
04/12/2021,"21.03","21.77","19.88","20.31","796,141"
04/09/2021,"21.40","21.98","20.17","21.37","1,672,825"
04/08/2021,"20.80","21.51","20.66","21.25","5,053,853"
04/07/2021,"20.00","20.72","19.84","20.58","2,765,789"
04/06/2021,"19.75","19.92","19.20","19.74","2,071,997"
04/05/2021,"19.10","19.50","18.90","19.13","3,266,521"
04/01/2021,"18.61","19.20","18.26","18.85","10,277,860"
