Date,Open,High,Low,Close,Volume
08/20/2021,"2.4200","2.5600","2.2800","2.3100","873,314"
08/19/2021,"2.4300","2.4800","2.3500","2.4000","102,727"
08/18/2021,"2.3400","2.4800","2.2700","2.4200","460,761"
08/17/2021,"2.4000","2.4000","2.2800","2.3405","152,256"
08/16/2021,"2.4300","2.4375","2.3384","2.4000","170,285"
08/13/2021,"2.4900","2.5036","2.4100","2.4300","80,155"
08/12/2021,"2.5000","2.5400","2.4427","2.5200","69,797"
08/11/2021,"2.6200","2.6523","2.4800","2.5300","196,409"
08/10/2021,"2.6400","2.6850","2.5500","2.6300","106,128"
08/09/2021,"2.6200","2.7800","2.6200","2.6400","202,456"
08/06/2021,"2.6300","2.7500","2.6000","2.6600","303,392"
08/05/2021,"2.6100","2.8800","2.5621","2.6200","385,263"
08/04/2021,"2.4500","3.0400","2.3900","2.7000","2,242,854"
08/03/2021,"2.5400","2.5900","2.3900","2.3900","193,640"
08/02/2021,"2.5300","2.6400","2.4400","2.5900","495,120"
07/30/2021,"2.3600","2.4392","2.3400","2.3700","186,639"
07/29/2021,"2.4500","2.4800","2.3600","2.4300","325,172"
07/28/2021,"2.5000","2.6000","2.3200","2.4000","600,149"
07/27/2021,"2.6900","2.7100","2.4600","2.5700","393,764"
07/26/2021,"2.7600","2.8600","2.6500","2.7900","852,379"
07/23/2021,"4.5000","5.0000","2.8000","3.0400","12,165,830"
07/22/2021,"2.6200","4.1100","2.6000","3.8300","12,997,890"
07/21/2021,"2.6600","2.6800","2.6200","2.6500","23,196"
07/20/2021,"2.5800","2.6700","2.5280","2.6500","103,788"
07/19/2021,"2.6400","2.7000","2.5200","2.6000","73,283"
07/16/2021,"2.7700","2.7700","2.7000","2.7300","37,580"
07/15/2021,"2.8117","2.9204","2.6800","2.7300","58,921"
07/14/2021,"2.8800","2.8800","2.7300","2.7500","70,313"
07/13/2021,"2.9500","2.9900","2.8200","2.8700","67,518"
07/12/2021,"3.0400","3.0446","2.9000","2.9300","64,862"
07/09/2021,"2.9400","2.9800","2.8708","2.9500","80,202"
07/08/2021,"3.0300","3.0300","2.8700","2.9400","195,819"
07/07/2021,"3.0300","3.1900","2.9000","2.9300","154,549"
07/06/2021,"3.1300","3.2000","2.9900","3.0000","248,967"
07/02/2021,"3.1900","3.3300","3.1100","3.1600","268,016"
07/01/2021,"3.2100","3.2899","3.1300","3.1600","130,133"
06/30/2021,"3.5100","3.5609","3.1000","3.1700","462,761"
06/29/2021,"3.2400","3.7800","3.1500","3.7000","1,998,018"
06/28/2021,"3.0500","3.0661","2.9200","2.9300","1,071,295"
06/25/2021,"3.0300","3.0900","3.0101","3.0500","60,922"
06/24/2021,"3.0900","3.1800","3.0200","3.0300","130,307"
06/23/2021,"3.0400","3.0999","2.9804","3.0350","49,211"
06/22/2021,"3.0100","3.0500","2.9400","3.0259","56,504"
06/21/2021,"2.9700","3.0205","2.9600","2.9700","38,161"
06/18/2021,"3.0400","3.0500","2.9700","3.0100","54,919"
06/17/2021,"3.1200","3.1765","3.0200","3.0400","67,649"
06/16/2021,"3.2200","3.2200","3.0700","3.1000","118,791"
06/15/2021,"3.0709","3.3956","3.0600","3.2400","363,234"
06/14/2021,"2.9600","3.1100","2.9600","3.0900","93,362"
06/11/2021,"2.9600","3.0100","2.9100","2.9700","50,469"
06/10/2021,"3.0300","3.0399","2.9200","2.9500","113,398"
06/09/2021,"3.1500","3.1500","2.9800","3.0100","158,426"
06/08/2021,"3.0800","3.1100","3.0000","3.1000","55,889"
06/07/2021,"3.0000","3.1700","3.0000","3.0700","138,419"
06/04/2021,"3.0700","3.0900","2.8700","2.9800","211,195"
06/03/2021,"3.1400","3.1400","2.9800","3.1000","132,285"
06/02/2021,"3.1750","3.2200","3.1000","3.1500","77,530"
06/01/2021,"3.1900","3.2300","3.1300","3.2000","60,335"
05/28/2021,"3.2800","3.3199","3.1500","3.2100","70,837"
05/27/2021,"3.2600","3.3900","3.2200","3.3000","100,619"
05/26/2021,"3.4500","3.4500","3.2000","3.3000","117,132"
05/25/2021,"3.2500","3.2900","3.1500","3.2200","74,620"
05/24/2021,"3.2100","3.3400","3.2100","3.2900","31,451"
05/21/2021,"3.2800","3.3400","3.2200","3.2700","44,079"
05/20/2021,"3.1400","3.3000","3.1400","3.3000","56,375"
05/19/2021,"3.1200","3.2100","3.1154","3.2100","38,948"
05/18/2021,"3.1400","3.3100","3.1100","3.1900","232,963"
05/17/2021,"3.2300","3.2890","3.1400","3.1900","96,041"
05/14/2021,"3.0200","3.2700","3.0150","3.2400","224,700"
05/13/2021,"3.2100","3.4000","3.0100","3.0900","255,749"
05/12/2021,"3.3300","3.4800","3.2200","3.2300","167,257"
05/11/2021,"3.1000","3.3550","3.0300","3.3000","192,118"
