Date,Open,High,Low,Close,Volume
08/12/2021,"167.68","186.14","166.25","178.12","13,819,700"
08/11/2021,"166.82","172.00","156.77","171.20","17,993,631"
08/10/2021,"139.49","140.61","135.10","135.68","5,022,979"
08/09/2021,"134.90","140.03","133.48","137.19","3,915,585"
08/06/2021,"135.29","139.56","130.66","132.13","4,449,963"
08/05/2021,"128.14","137.40","124.30","133.17","5,132,253"
08/04/2021,"128.01","133.46","125.76","127.98","1,862,066"
08/03/2021,"133.81","139.41","125.06","128.68","3,793,934"
08/02/2021,"122.00","134.15","121.00","133.41","4,736,552"
07/30/2021,"121.05","125.25","120.36","120.76","1,317,666"
07/29/2021,"123.00","127.40","122.99","123.87","2,836,211"
07/28/2021,"117.31","122.64","116.38","121.79","1,829,233"
07/27/2021,"121.65","123.69","112.60","115.75","2,360,296"
07/26/2021,"116.79","123.50","115.60","121.82","1,962,100"
07/23/2021,"116.92","118.77","113.81","116.57","1,327,318"
07/22/2021,"120.00","120.75","115.30","116.91","1,440,150"
07/21/2021,"118.05","121.99","116.58","119.15","2,123,855"
07/20/2021,"116.92","118.30","113.14","117.63","1,894,488"
07/19/2021,"109.83","115.39","109.20","115.28","2,504,073"
07/16/2021,"115.29","115.90","109.51","113.79","2,148,650"
07/15/2021,"111.97","114.30","107.26","113.09","3,463,275"
07/14/2021,"121.00","121.00","112.02","113.13","3,835,977"
07/13/2021,"128.12","129.00","118.53","119.38","5,274,179"
07/12/2021,"123.62","130.90","122.76","129.90","6,942,325"
07/09/2021,"122.95","123.20","117.22","120.00","3,218,369"
07/08/2021,"112.57","121.68","110.82","119.75","2,991,350"
07/07/2021,"120.50","121.54","114.22","117.40","2,895,235"
07/06/2021,"122.04","123.48","115.89","120.00","3,391,593"
07/02/2021,"125.55","127.88","118.17","121.21","4,133,606"
07/01/2021,"126.00","130.88","122.68","123.92","5,060,789"
06/30/2021,"122.00","134.38","120.11","124.90","10,763,540"
06/29/2021,"125.00","125.50","120.77","122.93","2,995,538"
06/28/2021,"123.53","126.99","120.26","123.89","4,050,954"
06/25/2021,"124.40","125.00","117.77","122.20","4,327,959"
06/24/2021,"128.63","134.50","122.28","123.42","8,849,813"
06/23/2021,"120.30","125.75","119.41","125.14","5,762,243"
06/22/2021,"120.60","123.35","115.69","119.65","5,954,865"
06/21/2021,"125.50","125.72","118.43","121.35","4,223,314"
06/18/2021,"126.80","128.46","120.42","123.86","5,368,486"
06/17/2021,"120.95","128.30","119.36","126.31","9,289,259"
06/16/2021,"119.53","122.00","114.20","119.01","8,832,211"
06/15/2021,"125.77","126.97","117.43","123.03","7,099,302"
06/14/2021,"120.26","134.82","120.00","124.69","16,323,880"
06/11/2021,"143.28","143.64","125.00","125.51","10,197,660"
06/10/2021,"150.39","155.87","144.00","146.42","3,922,069"
06/09/2021,"164.07","167.50","150.28","152.43","4,171,125"
06/08/2021,"171.00","182.00","161.92","162.01","3,756,258"
06/07/2021,"169.72","178.00","164.20","170.00","3,840,486"
06/04/2021,"167.22","191.89","160.11","164.04","6,401,361"
06/03/2021,"150.50","172.25","145.15","164.83","6,058,748"
06/02/2021,"145.49","159.80","138.08","157.14","2,793,497"
06/01/2021,"150.00","155.21","136.00","144.49","3,523,095"
05/28/2021,"164.00","164.49","143.71","148.22","5,253,135"
05/27/2021,"145.16","171.87","138.62","166.83","5,054,138"
05/26/2021,"135.18","149.59","133.00","146.58","3,491,440"
05/25/2021,"141.76","146.72","132.56","133.70","2,304,354"
05/24/2021,"152.07","164.64","138.00","139.77","4,718,622"
05/21/2021,"140.60","156.24","137.38","153.85","4,072,529"
05/20/2021,"135.00","145.40","129.26","139.08","4,889,219"
05/19/2021,"110.75","136.74","108.41","132.91","6,595,343"
05/18/2021,"111.69","124.90","111.41","119.49","5,006,076"
05/17/2021,"100.01","115.90","96.01","115.00","4,914,596"
05/14/2021,"87.76","103.95","86.25","103.36","4,400,689"
05/13/2021,"96.25","97.87","80.85","84.05","5,638,182"
05/12/2021,"115.28","115.48","88.88","91.82","12,764,670"
05/11/2021,"83.43","89.49","81.20","89.44","3,806,655"
05/10/2021,"93.05","94.57","86.21","88.21","2,291,282"
05/07/2021,"96.47","100.86","94.20","95.97","1,648,158"
05/06/2021,"97.26","98.00","88.38","92.04","2,312,447"
05/05/2021,"109.15","109.15","97.50","98.19","1,387,381"
05/04/2021,"115.00","115.00","101.10","107.36","2,081,743"
05/03/2021,"111.12","117.99","105.73","114.20","1,773,481"
04/30/2021,"103.90","112.50","103.68","109.02","1,199,530"
04/29/2021,"115.70","116.00","103.00","108.56","2,145,302"
04/28/2021,"116.93","120.46","111.24","113.75","1,648,323"
04/27/2021,"114.94","123.09","112.30","116.33","2,629,879"
04/26/2021,"108.81","114.80","108.01","111.24","1,936,438"
04/23/2021,"102.98","111.95","102.46","107.38","2,120,344"
04/22/2021,"102.50","108.30","99.23","101.44","2,104,563"
04/21/2021,"91.40","101.34","89.33","100.61","1,713,111"
04/20/2021,"96.33","101.00","90.38","91.79","1,626,178"
04/19/2021,"104.42","104.42","93.62","97.55","2,723,645"
04/16/2021,"111.08","111.23","103.00","104.65","1,584,794"
04/15/2021,"109.29","116.96","105.69","110.40","2,347,314"
04/14/2021,"110.23","115.56","104.30","104.51","2,062,503"
04/13/2021,"111.88","114.27","102.69","110.46","3,733,059"
04/12/2021,"127.75","127.95","111.20","112.46","2,891,054"
04/09/2021,"122.00","134.00","118.00","127.29","4,545,446"
04/08/2021,"128.51","128.98","119.18","123.33","2,548,890"
04/07/2021,"136.55","138.97","123.81","126.07","2,674,534"
04/06/2021,"140.29","145.78","138.06","144.30","1,018,706"
04/05/2021,"147.71","156.27","136.00","140.52","2,029,189"
04/01/2021,"133.94","147.48","133.00","144.28","1,871,593"
03/31/2021,"131.63","137.79","128.00","128.86","1,137,727"
03/30/2021,"133.48","137.61","122.60","129.28","1,521,903"
03/29/2021,"140.80","156.93","132.53","134.49","2,652,448"
03/26/2021,"125.00","144.86","118.25","142.95","3,260,354"
03/25/2021,"106.30","130.36","105.95","123.73","3,820,893"
03/24/2021,"121.88","134.16","110.11","112.28","5,499,431"
03/23/2021,"159.97","164.06","115.58","118.48","11,899,110"
03/22/2021,"127.94","165.66","124.05","164.87","8,566,559"
03/19/2021,"108.00","128.80","106.60","125.28","8,769,694"
03/18/2021,"83.54","124.75","81.96","115.09","21,520,789"
03/17/2021,"56.78","62.26","54.50","60.79","2,762,873"
03/16/2021,"62.27","64.50","56.85","60.05","1,266,420"
03/15/2021,"58.89","63.01","56.83","62.93","1,434,831"
03/12/2021,"53.50","58.50","53.50","58.00","1,130,195"
03/11/2021,"54.75","59.55","54.05","59.24","1,260,699"
03/10/2021,"57.30","58.55","52.12","52.99","1,540,877"
03/09/2021,"49.40","55.45","49.05","53.24","2,035,157"
03/08/2021,"50.67","52.22","45.14","46.87","1,382,279"
03/05/2021,"54.54","55.29","42.51","51.16","2,322,120"
03/04/2021,"56.15","59.55","49.09","54.92","2,218,934"
03/03/2021,"61.70","63.01","55.60","57.58","1,610,341"
03/02/2021,"67.21","67.76","58.29","60.36","1,772,288"
03/01/2021,"66.78","73.46","65.87","66.65","1,315,048"
02/26/2021,"68.79","71.88","63.35","65.64","1,558,583"
02/25/2021,"74.08","79.62","66.08","68.52","1,423,157"
02/24/2021,"73.74","83.29","72.01","74.51","985,584"
02/23/2021,"72.95","75.38","61.01","73.06","1,703,111"
02/22/2021,"87.30","89.49","75.06","77.01","1,081,699"
02/19/2021,"83.75","93.00","83.50","89.73","753,732"
02/18/2021,"84.00","84.52","78.50","82.32","1,016,577"
02/17/2021,"91.75","92.27","84.14","87.24","941,756"
02/16/2021,"104.77","105.00","90.27","92.28","1,053,900"
02/12/2021,"93.00","102.21","92.62","102.18","646,025"
02/11/2021,"93.50","105.58","92.55","95.13","1,432,969"
02/10/2021,"80.91","91.39","78.71","91.04","1,080,836"
02/09/2021,"75.92","82.75","75.52","80.25","902,208"
02/08/2021,"77.34","78.34","74.10","76.00","713,307"
02/05/2021,"76.14","79.78","74.01","75.24","542,316"
02/04/2021,"80.55","81.09","74.19","75.75","720,152"
02/03/2021,"76.93","81.91","76.51","79.75","854,626"
02/02/2021,"71.04","80.00","71.04","75.47","1,061,343"
02/01/2021,"63.00","70.85","61.90","70.25","812,960"
01/29/2021,"64.56","67.40","60.12","62.19","721,699"
01/28/2021,"64.54","67.41","63.52","65.15","617,802"
01/27/2021,"60.07","70.80","58.00","64.70","1,398,431"
01/26/2021,"67.71","68.69","63.30","64.45","1,506,598"
01/25/2021,"65.00","72.67","64.01","67.36","1,781,029"
01/22/2021,"62.40","64.88","58.53","64.47","1,241,616"
01/21/2021,"55.05","65.29","55.05","63.77","1,702,374"
01/20/2021,"54.51","56.22","53.25","55.22","935,527"
01/19/2021,"58.13","61.63","53.00","54.28","1,872,415"
01/15/2021,"60.64","62.60","55.60","56.00","1,409,538"
01/14/2021,"60.92","67.43","59.49","60.64","1,288,652"
01/13/2021,"60.61","69.48","57.70","57.88","1,785,613"
01/12/2021,"56.11","63.50","55.53","62.48","1,830,985"
01/11/2021,"51.00","56.00","50.53","54.71","1,338,175"
01/08/2021,"58.00","58.00","50.28","52.73","1,407,739"
01/07/2021,"55.99","61.26","55.04","55.39","1,518,920"
01/06/2021,"47.05","57.00","45.14","52.14","2,903,194"
01/05/2021,"45.10","53.63","44.20","48.37","3,590,669"
01/04/2021,"40.34","45.00","38.05","43.99","1,347,052"
12/31/2020,"38.20","40.95","36.26","40.75","969,034"
12/30/2020,"41.20","41.50","38.11","38.87","1,049,533"
12/29/2020,"42.04","42.49","39.51","40.75","646,398"
12/28/2020,"44.31","45.00","38.05","42.63","1,882,237"
12/24/2020,"46.59","47.47","42.51","43.96","873,425"
12/23/2020,"47.50","51.40","43.02","46.32","3,142,408"
12/22/2020,"43.10","48.08","40.65","47.84","3,731,347"
12/21/2020,"44.00","47.99","40.00","41.10","2,833,826"
12/18/2020,"38.02","48.66","37.06","44.09","7,266,463"
12/17/2020,"28.64","39.85","28.25","35.77","7,042,150"
12/16/2020,"26.00","30.01","22.61","29.47","13,459,750"
