Date,Open,High,Low,Close,Volume
08/11/2021,"11.00","11.05","10.77","10.98","38,770"
08/10/2021,"10.95","10.95","10.71","10.90","29,385"
08/09/2021,"10.98","11.00","10.77","10.99","11,381"
08/06/2021,"11.10","11.10","10.80","10.95","5,337"
08/05/2021,"10.72","11.00","10.72","10.99","18,625"
08/04/2021,"10.74","11.07","10.64","10.99","51,741"
08/03/2021,"10.76","10.84","10.57","10.80","68,655"
08/02/2021,"10.70","10.88","10.56","10.85","52,561"
07/30/2021,"10.84","10.94","10.63","10.65","19,696"
07/29/2021,"10.73","10.85","10.68","10.80","18,092"
07/28/2021,"10.75","10.77","10.57","10.57","93,101"
07/27/2021,"10.66","10.71","10.60","10.60","24,763"
07/26/2021,"10.70","10.90","10.53","10.66","46,787"
07/23/2021,"10.70","11.16","10.60","10.82","1,346,696"
