Date,Open,High,Low,Close,Volume
08/30/2021,"6.29","6.52","6.05","6.32","159,607"
08/27/2021,"6.13","6.38","6.01","6.30","355,235"
08/26/2021,"5.97","6.73","5.83","6.07","371,805"
08/25/2021,"6.19","6.43","5.90","6.07","440,443"
08/24/2021,"5.50","6.70","5.41","6.18","660,979"
08/23/2021,"5.58","5.58","5.30","5.49","250,474"
08/20/2021,"5.50","5.60","5.33","5.34","148,593"
08/19/2021,"5.91","5.99","5.20","5.63","587,177"
08/18/2021,"5.74","6.08","5.44","5.93","218,021"
08/17/2021,"5.84","5.88","5.59","5.63","178,433"
08/16/2021,"6.44","6.44","5.80","5.89","156,701"
08/13/2021,"6.73","6.95","6.45","6.50","168,112"
08/12/2021,"7.00","7.13","6.81","6.86","78,845"
08/11/2021,"7.17","7.29","6.91","7.00","139,462"
08/10/2021,"7.55","7.55","7.08","7.31","109,014"
08/09/2021,"7.15","7.48","6.90","7.34","149,676"
08/06/2021,"7.26","7.37","7.01","7.14","127,580"
08/05/2021,"7.27","7.47","7.24","7.31","118,150"
08/04/2021,"7.65","7.86","7.36","7.50","122,168"
08/03/2021,"7.70","7.93","7.58","7.81","123,868"
08/02/2021,"7.72","8.30","7.70","7.86","300,575"
07/30/2021,"7.96","7.99","7.55","7.68","105,004"
07/29/2021,"7.77","7.96","7.47","7.75","119,143"
07/28/2021,"7.39","8.25","7.39","7.80","285,852"
07/27/2021,"8.13","8.15","7.37","7.60","366,034"
07/26/2021,"8.34","8.40","8.08","8.16","298,090"
07/23/2021,"8.91","9.00","8.25","8.35","295,231"
07/22/2021,"9.11","9.63","9.01","9.03","233,912"
07/21/2021,"8.81","10.38","8.53","9.41","682,965"
07/20/2021,"8.88","9.16","8.58","8.81","329,969"
07/19/2021,"8.59","9.26","8.30","8.99","530,905"
07/16/2021,"9.05","9.50","8.64","8.69","389,656"
07/15/2021,"9.25","10.80","8.81","9.20","685,992"
07/14/2021,"10.28","10.28","9.02","9.11","528,160"
07/13/2021,"10.95","11.77","10.06","10.06","825,320"
07/12/2021,"11.50","12.49","10.83","11.35","1,163,380"
07/09/2021,"11.65","12.18","10.33","11.22","2,330,823"
07/08/2021,"8.25","13.65","8.15","12.88","11,871,040"
07/07/2021,"10.05","10.22","8.82","9.00","585,193"
07/06/2021,"10.80","10.88","10.20","10.27","388,547"
07/02/2021,"11.84","11.95","10.81","11.06","405,874"
07/01/2021,"12.06","12.44","11.67","11.84","480,980"
06/30/2021,"13.00","13.03","12.25","12.31","509,772"
06/29/2021,"13.42","13.80","12.79","12.92","725,172"
06/28/2021,"12.80","14.48","12.70","13.60","2,171,723"
06/25/2021,"14.15","14.21","13.26","13.36","784,062"
06/24/2021,"14.53","14.98","14.10","14.10","636,676"
06/23/2021,"14.55","15.20","14.05","14.41","998,524"
06/22/2021,"14.52","14.95","14.00","14.25","1,380,583"
06/21/2021,"16.77","16.80","14.25","15.67","2,244,134"
06/18/2021,"19.00","19.90","16.70","16.80","10,629,660"
06/17/2021,"55.01","75.80","14.81","16.17","14,890,730"
06/16/2021,"47.00","59.44","46.50","59.00","69,661"
06/15/2021,"41.94","50.00","40.12","49.00","79,645"
06/14/2021,"41.00","43.00","37.00","43.00","56,426"
06/11/2021,"43.65","45.50","42.10","43.05","16,188"
06/10/2021,"46.99","47.68","42.80","43.65","23,087"
06/09/2021,"46.51","48.80","46.12","47.40","14,660"
06/08/2021,"47.65","50.59","47.15","48.88","16,718"
06/07/2021,"54.50","54.50","50.69","51.66","8,775"
06/04/2021,"52.17","52.17","50.00","50.00","8,777"
06/03/2021,"53.80","55.27","52.05","52.50","27,274"
06/02/2021,"50.85","53.95","48.00","53.90","25,279"
06/01/2021,"47.43","49.95","45.08","49.95","11,725"
05/28/2021,"45.38","52.00","45.38","48.03","30,867"
05/27/2021,"39.41","46.76","39.37","45.15","41,950"
05/26/2021,"37.14","38.10","36.47","38.10","6,212"
05/25/2021,"36.19","36.19","35.00","36.00","4,629"
05/24/2021,"35.85","35.85","35.19","35.21","3,585"
05/21/2021,"36.44","36.44","34.45","35.45","16,228"
05/20/2021,"31.56","34.43","31.56","34.10","17,434"
05/19/2021,"31.18","32.84","31.18","31.33","6,419"
05/18/2021,"33.59","34.05","32.68","32.98","12,200"
05/17/2021,"33.78","34.51","30.98","32.95","20,426"
05/14/2021,"33.30","33.49","32.00","33.02","17,667"
05/13/2021,"35.54","36.09","31.21","31.52","28,012"
05/12/2021,"35.01","36.80","34.18","34.60","27,064"
05/11/2021,"35.93","36.97","33.41","33.97","31,644"
05/10/2021,"38.38","39.68","35.50","36.12","26,724"
05/07/2021,"39.47","39.96","38.11","38.20","14,377"
05/06/2021,"42.66","43.19","38.60","39.19","30,177"
05/05/2021,"40.60","41.90","36.36","38.64","30,466"
05/04/2021,"41.79","42.10","39.51","40.56","20,953"
05/03/2021,"43.47","45.24","40.41","42.08","34,232"
04/30/2021,"46.38","46.38","43.47","44.80","22,719"
04/29/2021,"46.87","47.48","45.00","46.63","17,424"
04/28/2021,"47.00","49.87","46.21","47.40","44,664"
04/27/2021,"49.90","52.53","45.90","48.00","129,044"
04/26/2021,"38.10","46.94","37.35","45.00","121,980"
04/23/2021,"35.51","37.91","34.94","36.10","50,838"
04/22/2021,"38.00","39.00","35.10","35.95","90,481"
04/21/2021,"35.96","39.60","35.00","38.20","105,614"
04/20/2021,"37.53","40.00","35.04","36.18","89,139"
04/19/2021,"45.20","45.84","35.88","36.96","116,139"
04/16/2021,"47.40","47.89","44.50","45.19","65,802"
04/15/2021,"50.30","51.96","47.29","47.41","85,201"
04/14/2021,"57.64","60.99","51.10","52.04","245,019"
04/13/2021,"50.50","55.19","47.00","54.00","301,725"
04/12/2021,"46.21","59.26","44.10","49.43","888,476"
04/09/2021,"46.11","67.00","45.73","49.05","3,964,557"
04/08/2021,"67.72","71.49","41.03","42.30","1,507,346"
04/07/2021,"54.00","107.33","53.66","82.17","7,063,231"
04/06/2021,"11.40","46.00","11.40","39.00","1,776,683"
