Date,Open,High,Low,Close,Volume
08/20/2021,"9.71","9.74","9.68","9.70","4,664"
08/19/2021,"9.69","9.69","9.67","9.69","6,842"
08/18/2021,"9.70","9.70","9.70","9.70","290"
08/17/2021,"9.68","9.70","9.67","9.70","34,047"
08/16/2021,"9.70","9.74","9.67","9.70","2,186"
08/13/2021,"9.73","9.73","9.68","9.71","2,403"
08/12/2021,"9.74","9.74","9.67","9.69","16,108"
08/11/2021,"9.69","9.72","9.69","9.70","653"
08/10/2021,"9.74","9.74","9.70","9.70","10,488"
08/09/2021,"9.67","9.75","9.67","9.73","10,084"
08/06/2021,"9.65","9.72","9.65","9.70","447,326"
08/05/2021,"9.71","9.75","9.68","9.70","64,897"
08/04/2021,"9.70","9.76","9.70","9.76","1,523"
08/03/2021,"9.76","9.76","9.74","9.74","1,686"
08/02/2021,"9.79","9.80","9.72","9.72","3,437"
07/30/2021,"9.80","9.80","9.72","9.73","28,346"
07/29/2021,"9.76","9.83","9.76","9.81","1,290"
07/28/2021,"9.75","9.84","9.75","9.83","5,516"
07/27/2021,"9.80","9.85","9.75","9.80","10,565"
07/26/2021,"9.86","9.86","9.80","9.82","3,406"
07/23/2021,"9.81","9.88","9.80","9.83","1,905"
07/22/2021,"9.84","9.87","9.84","9.86","2,351"
07/21/2021,"9.89","9.89","9.79","9.88","1,764"
07/20/2021,"9.76","9.89","9.76","9.89","64,055"
07/19/2021,"9.88","9.89","9.77","9.89","113,694"
07/16/2021,"9.77","9.90","9.76","9.89","1,377"
07/15/2021,"9.85","9.85","9.85","9.85","1,459"
07/14/2021,"9.89","9.89","9.85","9.85","409"
07/13/2021,"9.81","9.90","9.81","9.90","1,010"
07/12/2021,"9.89","9.92","9.81","9.90","26,209"
07/09/2021,"9.85","9.90","9.81","9.86","8,523"
07/08/2021,"9.85","9.90","9.85","9.90","1,829"
07/07/2021,"9.87","9.95","9.77","9.90","5,776"
07/06/2021,"9.90","9.90","9.77","9.90","2,959"
07/02/2021,"9.82","9.90","9.82","9.90","7,751"
07/01/2021,"9.95","9.95","9.77","9.87","79,491"
06/30/2021,"9.87","9.93","9.80","9.93","72,548"
06/29/2021,"9.81","9.87","9.80","9.84","17,066"
06/28/2021,"9.93","9.93","9.82","9.90","4,697"
06/25/2021,"9.90","9.90","9.85","9.90","6,491"
06/24/2021,"9.95","9.95","9.86","9.90","1,848"
06/23/2021,"9.85","9.92","9.85","9.92","5,452"
06/22/2021,"9.97","10.00","9.81","10.00","67,650"
06/21/2021,"9.96","9.97","9.88","9.92","3,181"
06/18/2021,"9.84","10.00","9.79","10.00","113,718"
06/17/2021,"9.85","9.89","9.77","9.89","107,887"
06/16/2021,"9.88","9.93","9.77","9.85","42,230"
06/15/2021,"9.95","9.95","9.88","9.94","6,746"
06/14/2021,"9.96","9.96","9.92","9.96","3,007"
06/11/2021,"10.00","10.00","9.80","9.96","15,173"
06/10/2021,"9.96","9.98","9.91","9.96","4,518"
06/09/2021,"9.99","9.99","9.88","9.95","6,140"
06/08/2021,"9.92","9.98","9.90","9.95","7,383"
06/07/2021,"9.83","9.89","9.82","9.89","1,571"
06/04/2021,"9.90","9.90","9.80","9.86","5,491"
06/03/2021,"9.90","9.93","9.71","9.93","46,096"
06/02/2021,"9.91","9.93","9.87","9.90","135,913"
06/01/2021,"9.92","9.92","9.88","9.90","9,097"
05/28/2021,"9.91","9.91","9.86","9.91","726"
05/27/2021,"9.94","9.94","9.89","9.89","43,991"
05/26/2021,"9.88","9.91","9.88","9.90","15,465"
05/25/2021,"9.86","9.90","9.86","9.90","2,825"
05/24/2021,"9.89","9.89","9.87","9.87","3,306"
05/21/2021,"9.93","9.93","9.93","9.93","213"
05/20/2021,"9.90","9.95","9.90","9.93","3,543"
05/19/2021,"9.95","9.95","9.90","9.94","2,083"
05/18/2021,"9.99","9.99","9.89","9.95","202,079"
05/17/2021,"9.90","9.93","9.90","9.93","5,414"
05/14/2021,"9.95","9.95","9.95","9.95","164"
05/13/2021,"9.95","9.95","9.94","9.95","11,290"
05/12/2021,"9.96","9.96","9.96","9.96","492"
05/11/2021,"9.90","9.95","9.90","9.95","13,356"
05/10/2021,"9.92","9.94","9.91","9.94","1,204"
05/07/2021,"9.97","10.00","9.97","10.00","1,320"
05/06/2021,"9.93","10.00","9.90","9.98","2,032"
05/05/2021,"9.91","10.00","9.91","9.97","5,036"
05/04/2021,"10.00","10.00","9.95","9.95","17,277"
05/03/2021,"9.96","10.00","9.92","9.98","55,753"
04/30/2021,"9.99","10.00","9.95","9.97","1,406"
04/29/2021,"9.99","10.03","9.96","9.96","1,059"
04/28/2021,"9.95","10.00","9.95","9.97","9,839"
04/27/2021,"9.91","10.02","9.91","9.94","7,407"
04/26/2021,"9.97","9.99","9.94","9.95","4,072"
04/23/2021,"10.00","10.00","9.92","9.95","5,858"
04/22/2021,"10.00","10.00","9.90","9.92","13,159"
04/21/2021,"9.95","9.95","9.90","9.94","16,267"
04/20/2021,"9.91","9.94","9.90","9.92","4,727"
04/19/2021,"9.97","10.00","9.89","9.89","399,366"
04/16/2021,"10.01","10.01","9.95","9.95","116,591"
04/15/2021,"9.95","10.00","9.95","9.98","7,331"
04/14/2021,"9.97","10.00","9.96","10.00","70,449"
04/13/2021,"9.98","9.99","9.95","9.95","124,135"
04/12/2021,"9.98","9.99","9.95","9.97","77,955"
04/09/2021,"9.93","9.99","9.93","9.95","49,355"
04/08/2021,"9.93","9.98","9.92","9.96","209,948"
04/07/2021,"9.94","9.95","9.90","9.92","16,651"
04/06/2021,"10.00","10.00","9.90","9.95","158,480"
04/05/2021,"9.97","10.04","9.97","9.98","140,479"
04/01/2021,"9.95","10.00","9.95","9.98","48,847"
03/31/2021,"9.96","9.97","9.87","9.90","386,289"
03/30/2021,"9.93","9.94","9.89","9.90","60,787"
03/29/2021,"9.98","9.98","9.93","9.93","29,803"
03/26/2021,"9.93","10.00","9.90","9.97","381,125"
03/25/2021,"9.59","9.98","9.59","9.92","475,156"
03/24/2021,"9.96","10.00","9.90","9.93","178,344"
03/23/2021,"9.97","10.00","9.90","9.95","337,834"
03/22/2021,"10.01","10.01","9.95","9.95","905,090"
03/19/2021,"10.00","10.00","9.96","9.97","43,846"
03/18/2021,"10.01","10.01","9.99","9.99","546,354"
03/17/2021,"10.00","10.01","9.99","10.01","331,710"
03/16/2021,"10.00","10.02","9.98","9.99","2,085,211"
03/15/2021,"10.03","10.04","10.00","10.00","723,981"
03/12/2021,"10.00","10.03","10.00","10.00","822,724"
03/11/2021,"10.00","10.05","10.00","10.00","1,662,012"
03/10/2021,"10.10","10.15","10.00","10.00","12,106,470"
