Date,Open,High,Low,Close,Volume
08/30/2021,"7.00","7.29","7.00","7.18","14,705"
08/27/2021,"7.67","7.78","6.69","6.70","62,650"
08/26/2021,"7.63","7.67","7.45","7.55","7,500"
08/25/2021,"7.28","7.66","7.23","7.50","5,979"
08/24/2021,"7.17","7.17","7.02","7.13","41,405"
08/23/2021,"7.38","7.38","7.12","7.19","10,698"
08/20/2021,"7.28","7.35","7.16","7.31","6,467"
08/19/2021,"7.49","7.49","7.16","7.28","5,951"
08/18/2021,"7.32","7.50","7.20","7.25","4,038"
08/17/2021,"7.52","7.60","7.12","7.21","5,361"
08/16/2021,"7.35","7.75","7.35","7.54","2,768"
08/13/2021,"8.00","8.11","7.51","7.77","7,325"
08/12/2021,"8.56","8.56","7.83","7.90","8,647"
08/11/2021,"8.48","8.54","8.33","8.41","2,628"
08/10/2021,"8.34","8.75","8.34","8.38","2,643"
08/09/2021,"8.50","8.99","8.28","8.31","16,792"
08/06/2021,"8.45","8.58","8.24","8.41","15,157"
08/05/2021,"8.56","8.60","8.35","8.60","9,569"
08/04/2021,"8.75","8.75","8.55","8.60","3,688"
08/03/2021,"8.75","8.99","8.75","8.77","2,230"
08/02/2021,"9.14","9.43","8.55","8.69","59,240"
07/30/2021,"9.42","9.42","8.96","9.24","1,002"
07/29/2021,"9.08","9.27","8.76","9.00","33,180"
07/28/2021,"8.90","9.21","8.75","9.16","4,444"
07/27/2021,"9.58","9.63","8.75","8.90","18,645"
07/26/2021,"9.75","9.77","9.11","9.53","4,057"
07/23/2021,"9.86","9.86","9.42","9.43","6,277"
07/22/2021,"9.64","10.26","9.61","9.84","4,468"
07/21/2021,"9.78","10.24","9.50","9.64","5,560"
07/20/2021,"9.98","10.57","9.60","9.99","6,618"
07/19/2021,"10.70","10.70","9.51","9.93","69,182"
07/16/2021,"10.47","10.94","10.01","10.80","1,170"
07/15/2021,"10.31","10.82","10.01","10.60","4,328"
07/14/2021,"10.84","10.84","10.32","10.32","2,419"
07/13/2021,"10.49","10.83","10.44","10.75","857"
07/12/2021,"11.00","11.00","10.50","10.50","2,981"
07/09/2021,"10.55","10.83","10.55","10.62","4,071"
07/08/2021,"10.00","10.45","10.00","10.45","2,691"
07/07/2021,"10.21","10.29","10.00","10.10","15,339"
07/06/2021,"10.91","10.92","10.13","10.44","16,750"
07/02/2021,"11.38","11.52","10.78","11.12","30,179"
07/01/2021,"12.12","12.12","11.32","11.54","19,605"
06/30/2021,"11.90","12.48","11.04","11.66","46,769"
06/29/2021,"12.55","12.55","11.77","12.01","51,393"
06/28/2021,"12.61","12.86","12.21","12.69","11,284"
06/25/2021,"12.63","13.21","12.52","12.61","14,653"
06/24/2021,"13.74","13.93","12.15","12.85","79,690"
06/23/2021,"13.89","14.52","12.64","12.64","48,853"
06/22/2021,"14.33","15.04","13.75","13.85","69,210"
06/21/2021,"16.25","16.26","14.11","14.50","66,593"
06/18/2021,"16.05","16.31","15.56","16.00","8,640"
06/17/2021,"16.39","16.41","16.00","16.41","28,489"
06/16/2021,"16.61","16.75","16.01","16.41","31,893"
06/15/2021,"16.38","16.72","16.08","16.42","70,741"
06/14/2021,"16.57","16.67","16.00","16.08","33,709"
06/11/2021,"16.01","16.52","16.01","16.50","4,176"
06/10/2021,"16.03","16.27","16.00","16.21","11,397"
06/09/2021,"16.06","16.36","16.03","16.03","3,610"
06/08/2021,"16.01","16.27","15.92","16.23","19,887"
06/07/2021,"16.15","16.44","15.99","15.99","24,535"
06/04/2021,"16.20","16.60","15.71","16.19","10,841"
06/03/2021,"14.83","16.63","14.76","16.22","27,144"
06/02/2021,"15.18","15.27","14.68","14.88","26,209"
06/01/2021,"15.08","15.40","14.76","15.37","28,119"
05/28/2021,"14.73","15.12","14.55","14.90","9,260"
05/27/2021,"14.94","15.00","14.71","14.74","10,917"
05/26/2021,"14.89","14.99","14.55","14.61","5,687"
05/25/2021,"14.75","15.04","14.65","14.91","7,064"
05/24/2021,"14.93","14.98","14.65","14.74","7,567"
05/21/2021,"14.84","14.88","14.59","14.88","4,614"
05/20/2021,"14.88","14.99","14.58","14.90","8,629"
05/19/2021,"14.57","14.83","14.41","14.69","6,485"
05/18/2021,"14.78","14.78","14.25","14.55","4,346"
05/17/2021,"13.49","15.07","13.49","14.95","43,639"
05/14/2021,"12.86","13.80","12.76","13.77","36,012"
05/13/2021,"13.02","13.30","12.62","12.69","11,300"
05/12/2021,"13.35","13.66","12.72","12.97","36,253"
05/11/2021,"13.39","14.04","13.09","13.36","25,381"
05/10/2021,"13.66","14.47","13.27","13.51","25,576"
05/07/2021,"13.77","14.07","13.20","13.50","41,442"
05/06/2021,"14.48","14.48","13.51","13.76","54,154"
05/05/2021,"15.34","15.34","14.47","14.48","42,140"
05/04/2021,"15.27","15.60","15.03","15.06","33,060"
05/03/2021,"15.81","15.81","14.95","15.21","33,334"
04/30/2021,"16.36","16.36","15.43","15.55","56,160"
04/29/2021,"16.56","16.56","15.75","16.00","19,014"
04/28/2021,"16.20","16.39","15.94","16.34","9,170"
04/27/2021,"15.92","16.21","15.69","16.08","18,475"
04/26/2021,"15.95","16.36","15.40","16.00","15,711"
04/23/2021,"16.36","16.59","15.95","16.13","25,029"
04/22/2021,"15.23","16.13","15.23","16.04","30,721"
04/21/2021,"15.38","16.17","14.86","15.32","39,702"
04/20/2021,"15.39","15.50","14.93","15.25","62,451"
04/19/2021,"16.05","16.05","15.25","15.25","46,292"
04/16/2021,"16.44","16.99","15.63","16.12","54,096"
04/15/2021,"17.47","17.47","16.20","16.41","87,477"
04/14/2021,"17.08","17.35","16.20","16.65","104,415"
04/13/2021,"17.98","18.59","16.00","17.46","292,275"
04/12/2021,"22.12","23.37","17.19","17.74","847,117"
04/09/2021,"22.82","37.70","19.25","24.23","5,357,273"
